title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 Fleer Baseball Card #503 Danny Darwin - Houston Astros,$1.11,$0.00,"Sold Mar 17, 2026",alicensattic,New,https://www.ebay.com/itm/125843262626,N,,,N,N,1.11,0.0,1.11,2026-03-17,bin,False,False,,,503
1991 Fleer - Tom Glavine #689,$0.79,$0.80,"Sold Mar 17, 2026",mck-1183,New,https://www.ebay.com/itm/298108464496,N,,,Y,N,0.79,0.8,1.59,2026-03-17,auction,False,False,,,689
1991 Fleer - Tony Gwynn #529,$0.79,$0.80,"Sold Mar 17, 2026",mck-1183,New,https://www.ebay.com/itm/298108434325,N,,,Y,N,0.79,0.8,1.59,2026-03-17,auction,False,False,,,529
Jose Uribe 1991 Fleer #275 San Francisco Giants,$1.49,$0.00,"Sold Mar 17, 2026",petescagnell-0,New,https://www.ebay.com/itm/187876398605,N,,,N,N,1.49,0.0,1.49,2026-03-17,bin,False,False,,,275
1991 Fleer Pro Vision #1 Kirby Puckett,$1.99,$0.79,"Sold Mar 17, 2026",ixcollectables,New,https://www.ebay.com/itm/358299132359,N,,,Y,N,1.99,0.79,2.78,2026-03-17,auction,False,False,,1.0,
Derek Jeter New York Yankees 2001 Oreo/Ritz #DJ2,$1.99,$1.99,"Sold Mar 17, 2026",k2smith,New,https://www.ebay.com/itm/377023770321,N,,,Y,N,1.99,1.99,3.98,2026-03-17,auction,False,False,,,
"KEN GRIFFEY JR. Rookies, Singles & Parallels /You Pick The Cards (With Pictures)",$1.00,$1.50,"Sold Feb 22, 2026",mags3030,New,https://www.ebay.com/itm/376873658671,N,,,N,N,1.0,1.5,2.5,2026-02-22,bin,False,False,,,
NEW LISTING1991 Fleer Ultra Baseball Ken Griffey Jr. Ultra Team #4 HOF Seattle Mariners,$1.99,$0.00,"Sold Mar 17, 2026",jkslugger,New,https://www.ebay.com/itm/267611159576,N,,,N,N,1.99,0.0,1.99,2026-03-17,bin,False,False,,4.0,
"Fleer 1991 Second Generation Baseball Card Ken Griffey Jr, Barry Bonds #710",$1.85,$0.00,"Sold Mar 17, 2026",fargi_39,New,https://www.ebay.com/itm/168234070730,N,,,N,N,1.85,0.0,1.85,2026-03-17,bin,False,True,,,710
1991 Fleer Ultra Ozzie Smith #296 St. Louis Cardinals HOF LEGEND NM-MT,$0.94,$3.65,"Sold Mar 17, 2026",jerdaw,New,https://www.ebay.com/itm/186983577318,N,,,N,N,0.94,3.65,4.59,2026-03-17,bin,False,False,,,296
1991 Fleer Pro-Visions Bo Jackson Kansas City Royals #5,$0.99,$2.00,"Sold Mar 17, 2026",hawkscardcollect,New,https://www.ebay.com/itm/317919742660,N,,,N,N,0.99,2.0,2.99,2026-03-17,bin,False,False,,5.0,
RICK REUSCHEL 1991 FLEER AUTOGRAPHED SIGNED # 270 SAN FRANCISCO GIANTS,$2.40,$2.00,"Sold Mar 17, 2026",tmc23,New,https://www.ebay.com/itm/166921297137,N,,,N,Y,2.4,2.0,4.4,2026-03-17,bin,True,False,,,270
1991 Fleer Update #U-7 Mo Vaughn,$1.05,$1.11,"Sold Mar 17, 2026",alkimb-6,New,https://www.ebay.com/itm/316387203594,N,,,N,Y,1.05,1.11,2.16,2026-03-17,bin,True,False,,7.0,
1991 ULTRA #66 RYNE SANDBERG PSA 9,$20.00,$5.99,"Sold Mar 17, 2026",psa,New,https://www.ebay.com/itm/306573594025,Y,PSA,9,N,N,20.0,5.99,25.99,2026-03-17,bin,False,True,PSA,9.0,66
1991 ULTRA #339 RANDY JOHNSON SEATTLE MARINERS,$1.79,$0.00,"Sold Mar 17, 2026",candmcollect,New,https://www.ebay.com/itm/205995683469,N,,,N,Y,1.79,0.0,1.79,2026-03-17,bin,True,False,,,339
1991 ULTRA #340 EDGAR MARTINEZ SEATTLE MARINERS,$1.79,$0.00,"Sold Mar 17, 2026",candmcollect,New,https://www.ebay.com/itm/206032472043,N,,,N,Y,1.79,0.0,1.79,2026-03-17,bin,True,False,,,340
Will Clark - 1991 Fleer #2 Of 12 Pro Visions Insert - San Francisco Giants,$1.00,$0.74,"Sold Mar 17, 2026",kellers_cards,New,https://www.ebay.com/itm/198148859657,N,,,N,Y,1.0,0.74,1.74,2026-03-17,bin,True,False,,2.0,12
OREL HERSHISER Oddball Insert & Regular issue DODGERS Baseball YOU CHOOSE,$1.00,$1.25,"Sold Mar 17, 2026",thogalas-0,New,https://www.ebay.com/itm/353871168557,N,,,N,N,1.0,1.25,2.25,2026-03-17,bin,False,False,,,
"Ozzie Smith ~ Baseball Card BB BOGO ""Buy 1 get 2 free"" You Pick! FREE SHIP",$1.80,$0.00,"Sold Mar 17, 2026",kingpins,New,https://www.ebay.com/itm/205572499281,N,,,N,N,1.8,0.0,1.8,2026-03-17,bin,False,False,,1.0,
Commemorative Card (1990 No Hitters) 1991 Fleer 'box bottom',$2.95,$2.45,"Sold Mar 16, 2026",bamcards,New,https://www.ebay.com/itm/389362254467,N,,,N,N,2.95,2.45,5.4,2026-03-16,bin,False,False,,,
GREG MADDUX cards *** U PICK *** (Buy 2 or more for 60% DISCOUNT) Listing 1 of 2,$1.00,$1.00,"Sold Mar 16, 2026",tfpf,New,https://www.ebay.com/itm/384458688693,N,,,N,N,1.0,1.0,2.0,2026-03-16,bin,False,False,,2.0,60
"HOF NOLAN RYAN YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G15)",$0.99,$1.00,"Sold Mar 16, 2026",fireonmtn59,New,https://www.ebay.com/itm/126593133803,N,,,N,N,0.99,1.0,1.99,2026-03-16,bin,False,False,,,G15
"Barry Bonds, Gary Sheffield, Anderson Vintage Sports Card Authentic Jersey Card",$1.99,$5.00,"Sold Mar 16, 2026",thetradingcardclub,New,https://www.ebay.com/itm/267599181680,N,,,Y,N,1.99,5.0,6.99,2026-03-16,auction,False,True,TAG,,
"BO JACKSON YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G38)",$0.99,$1.00,"Sold Mar 16, 2026",fireonmtn59,New,https://www.ebay.com/itm/126646073627,N,,,N,N,0.99,1.0,1.99,2026-03-16,bin,False,False,,,G38
"Bo Jackson Base / Insert Singles -You Pick -Topps, Fleer Donruss, etc",$1.29,$0.00,"Sold Mar 16, 2026",ebesnebe,New,https://www.ebay.com/itm/284377648812,N,,,N,N,1.29,0.0,1.29,2026-03-16,bin,False,False,,,
Ken Griffey Jr. Baseball Cards- You Pick- Discount shipping,$1.00,$0.75,"Sold Mar 16, 2026",adlib10,New,https://www.ebay.com/itm/286871875495,N,,,N,N,1.0,0.75,1.75,2026-03-16,bin,False,False,,,
KEN GRIFFEY JR. 1991 FLEER BASEBALL 1975 DESIGN MARINERS #10 Q1339,$1.58,$6.00,"Sold Mar 16, 2026",quickconsign,New,https://www.ebay.com/itm/277788326845,N,,,Y,N,1.58,6.0,7.58,2026-03-16,auction,False,True,,10.0,Q1339
Bo Jackson Baseball - Football - Base/Inserts - You Pick - $2.00 or 2 Card Min.,$2.00,$0.00,"Sold Mar 16, 2026",disabled_vet,New,https://www.ebay.com/itm/116016323739,N,,,N,N,2.0,0.0,2.0,2026-03-16,bin,False,False,,2.0,00
1991 Fleer All-Stars Ken Griffey Jr. Seattle Mariners #7,$1.99,$0.94,"Sold Mar 16, 2026",nectarcards,New,https://www.ebay.com/itm/397669201829,N,,,N,N,1.99,0.94,2.93,2026-03-16,bin,False,False,,7.0,
1991 Fleer - All Star Team Ken Griffey Jr #7,$0.99,$1.32,"Sold Mar 16, 2026",beachtre-93,New,https://www.ebay.com/itm/127730233554,N,,,Y,N,0.99,1.32,2.31,2026-03-16,auction,False,False,,7.0,
1991 Fleer Bo Jackson Pro Visions Black #5 Royals,$3.28,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026112372,N,,,Y,N,3.28,4.99,8.27,2026-03-16,auction,False,False,,5.0,
"RYNE SANDBERG HOF YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G69)",$0.99,$1.00,"Sold Mar 16, 2026",fireonmtn59,New,https://www.ebay.com/itm/126711361868,N,,,N,N,0.99,1.0,1.99,2026-03-16,bin,False,False,,,G69
"Ryne Sandberg Sammy Sosa Rookie Topps Donruss & inserts ""YOU PICK "" Chicago Cubs",$0.99,$0.95,"Sold Mar 16, 2026",oldstuffsave,New,https://www.ebay.com/itm/285413246552,N,,,N,N,0.99,0.95,1.94,2026-03-16,bin,False,False,,,
1991 Fleer Baseball - Pro Visions Factory Set Break Barry Bonds #1 Pirates MINT,$1.25,$1.32,"Sold Mar 16, 2026",bubba-896085,New,https://www.ebay.com/itm/406757695914,N,,,Y,N,1.25,1.32,2.57,2026-03-16,auction,False,False,,1.0,
"Nolan Ryan Cards - Base Cards, Inserts, etc. - You Pick - HOF - Astros, Mets",$0.99,$0.00,"Sold Mar 16, 2026",maple_city_card_corner,New,https://www.ebay.com/itm/276251803079,N,,,N,N,0.99,0.0,0.99,2026-03-16,bin,False,False,,,
Darryl Strawberry 1991 Fleer Baseball Pro-Visions New York Mets #12,$1.69,$0.00,"Sold Mar 16, 2026",getoutdoors7,New,https://www.ebay.com/itm/277750807411,N,,,N,N,1.69,0.0,1.69,2026-03-16,bin,False,False,,,12
1991 Fleer Mark McGwire Pro Visions Black #4 Athletics,$2.13,$4.99,"Sold Mar 16, 2026",dcsports87,New,https://www.ebay.com/itm/377026092146,N,,,Y,N,2.13,4.99,7.12,2026-03-16,auction,False,False,,4.0,
Eddie Murray 1991 Fleer #214 Dodgers MLB READ FREE SHIPPING AutographDen,$0.35,$0.00,"Sold Mar 16, 2026",autographden,New,https://www.ebay.com/itm/277792958922,N,,,Y,N,0.35,0.0,0.35,2026-03-16,auction,False,False,,,214
1991 FLEER PRO VISION JOSE CANSECO PSA DNA Signed Card #6 A's Autograph Auto,$89.99,$5.00,"Sold Mar 16, 2026",dontmess,New,https://www.ebay.com/itm/326888446836,Y,PSA,6,N,N,89.99,5.0,94.99,2026-03-16,bin,False,True,PSA,6.0,
1991 Fleer All Star Barry Larkin #2 Cincinnati Reds,$1.50,$0.00,"Sold Mar 16, 2026",desertgypsy17,New,https://www.ebay.com/itm/226471207596,N,,,N,N,1.5,0.0,1.5,2026-03-16,bin,False,False,,2.0,
CAL RIPKEN JR CARDS Your Pick TOPPS Fleer Donruss Leaf 1983 1984 1985-87 1988-97,$0.99,$1.00,"Sold Mar 16, 2026",ospectre,New,https://www.ebay.com/itm/274333084732,N,,,N,N,0.99,1.0,1.99,2026-03-16,bin,False,False,,,87
1991 Fleer Ultra - Ken Griffey Jr #336,$1.25,$0.00,"Sold Mar 16, 2026",stellar_soles,New,https://www.ebay.com/itm/277752485473,N,,,N,Y,1.25,0.0,1.25,2026-03-16,bin,True,False,,,336
JOSE CANSECO FLEER BASEBALL 1991 POWER AND SPEED #6 OF 12 OAKLAND ATHELTICS ⚾️🔥,$1.50,$1.00,"Sold Mar 16, 2026",andybuzz101,New,https://www.ebay.com/itm/376192330751,N,,,N,Y,1.5,1.0,2.5,2026-03-16,bin,True,False,,6.0,12
Rickey Henderson 1991 Fleer Ultra Team #5 Oakland Athletics,$1.95,$0.00,"Sold Mar 16, 2026",victory-sports,New,https://www.ebay.com/itm/326492975044,N,,,N,N,1.95,0.0,1.95,2026-03-16,bin,False,False,,5.0,
Bo Jackson 1991 Ultra Team (Ultra Gold) #6 Kansas City Royals,$2.50,$0.00,"Sold Mar 16, 2026",victory-sports,New,https://www.ebay.com/itm/326582688938,N,,,N,N,2.5,0.0,2.5,2026-03-16,bin,False,False,,6.0,
Wade Boggs ⚾️ Cards - You Pick - Base Inserts- Listing 1 of 2 (2 CARD MINIMUM),$0.99,$0.00,"Sold Mar 16, 2026",maple_city_card_corner,New,https://www.ebay.com/itm/274982315984,N,,,N,N,0.99,0.0,0.99,2026-03-16,bin,False,False,,1.0,
