title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
1991 Fleer Baseball Card #503 Danny Darwin - Houston Astros,$1.11,"Sold Mar 17, 2026",N,,,N,N,$0.00,alicensattic,New,https://www.ebay.com/itm/125843262626
1991 Fleer - Tom Glavine #689,$0.79,"Sold Mar 17, 2026",N,,,Y,N,$0.80,mck-1183,New,https://www.ebay.com/itm/298108464496
1991 Fleer - Tony Gwynn #529,$0.79,"Sold Mar 17, 2026",N,,,Y,N,$0.80,mck-1183,New,https://www.ebay.com/itm/298108434325
Jose Uribe 1991 Fleer #275 San Francisco Giants,$1.49,"Sold Mar 17, 2026",N,,,N,N,$0.00,petescagnell-0,New,https://www.ebay.com/itm/187876398605
1991 Fleer Pro Vision #1 Kirby Puckett,$1.99,"Sold Mar 17, 2026",N,,,Y,N,$0.79,ixcollectables,New,https://www.ebay.com/itm/358299132359
Derek Jeter New York Yankees 2001 Oreo/Ritz #DJ2,$1.99,"Sold Mar 17, 2026",N,,,Y,N,$1.99,k2smith,New,https://www.ebay.com/itm/377023770321
"KEN GRIFFEY JR. Rookies, Singles & Parallels /You Pick The Cards (With Pictures)",$1.00,"Sold Feb 22, 2026",N,,,N,N,$1.50,mags3030,New,https://www.ebay.com/itm/376873658671
NEW LISTING1991 Fleer Ultra Baseball Ken Griffey Jr. Ultra Team #4 HOF Seattle Mariners,$1.99,"Sold Mar 17, 2026",N,,,N,N,$0.00,jkslugger,New,https://www.ebay.com/itm/267611159576
"Fleer 1991 Second Generation Baseball Card Ken Griffey Jr, Barry Bonds #710",$1.85,"Sold Mar 17, 2026",N,,,N,N,$0.00,fargi_39,New,https://www.ebay.com/itm/168234070730
1991 Fleer Ultra Ozzie Smith #296 St. Louis Cardinals HOF LEGEND NM-MT,$0.94,"Sold Mar 17, 2026",N,,,N,N,$3.65,jerdaw,New,https://www.ebay.com/itm/186983577318
1991 Fleer Pro-Visions Bo Jackson Kansas City Royals #5,$0.99,"Sold Mar 17, 2026",N,,,N,N,$2.00,hawkscardcollect,New,https://www.ebay.com/itm/317919742660
RICK REUSCHEL 1991 FLEER AUTOGRAPHED SIGNED # 270 SAN FRANCISCO GIANTS,$2.40,"Sold Mar 17, 2026",N,,,N,Y,$2.00,tmc23,New,https://www.ebay.com/itm/166921297137
1991 Fleer Update #U-7 Mo Vaughn,$1.05,"Sold Mar 17, 2026",N,,,N,Y,$1.11,alkimb-6,New,https://www.ebay.com/itm/316387203594
1991 ULTRA #66 RYNE SANDBERG PSA 9,$20.00,"Sold Mar 17, 2026",Y,PSA,9,N,N,$5.99,psa,New,https://www.ebay.com/itm/306573594025
1991 ULTRA #339 RANDY JOHNSON SEATTLE MARINERS,$1.79,"Sold Mar 17, 2026",N,,,N,Y,$0.00,candmcollect,New,https://www.ebay.com/itm/205995683469
1991 ULTRA #340 EDGAR MARTINEZ SEATTLE MARINERS,$1.79,"Sold Mar 17, 2026",N,,,N,Y,$0.00,candmcollect,New,https://www.ebay.com/itm/206032472043
Will Clark - 1991 Fleer #2 Of 12 Pro Visions Insert - San Francisco Giants,$1.00,"Sold Mar 17, 2026",N,,,N,Y,$0.74,kellers_cards,New,https://www.ebay.com/itm/198148859657
OREL HERSHISER Oddball Insert & Regular issue DODGERS Baseball YOU CHOOSE,$1.00,"Sold Mar 17, 2026",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/353871168557
"Ozzie Smith ~ Baseball Card BB BOGO ""Buy 1 get 2 free"" You Pick! FREE SHIP",$1.80,"Sold Mar 17, 2026",N,,,N,N,$0.00,kingpins,New,https://www.ebay.com/itm/205572499281
Commemorative Card (1990 No Hitters) 1991 Fleer 'box bottom',$2.95,"Sold Mar 16, 2026",N,,,N,N,$2.45,bamcards,New,https://www.ebay.com/itm/389362254467
GREG MADDUX cards *** U PICK *** (Buy 2 or more for 60% DISCOUNT) Listing 1 of 2,$1.00,"Sold Mar 16, 2026",N,,,N,N,$1.00,tfpf,New,https://www.ebay.com/itm/384458688693
"HOF NOLAN RYAN YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G15)",$0.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,fireonmtn59,New,https://www.ebay.com/itm/126593133803
"Barry Bonds, Gary Sheffield, Anderson Vintage Sports Card Authentic Jersey Card",$1.99,"Sold Mar 16, 2026",N,,,Y,N,$5.00,thetradingcardclub,New,https://www.ebay.com/itm/267599181680
"BO JACKSON YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G38)",$0.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,fireonmtn59,New,https://www.ebay.com/itm/126646073627
"Bo Jackson Base / Insert Singles -You Pick -Topps, Fleer Donruss, etc",$1.29,"Sold Mar 16, 2026",N,,,N,N,$0.00,ebesnebe,New,https://www.ebay.com/itm/284377648812
Ken Griffey Jr. Baseball Cards- You Pick- Discount shipping,$1.00,"Sold Mar 16, 2026",N,,,N,N,$0.75,adlib10,New,https://www.ebay.com/itm/286871875495
KEN GRIFFEY JR. 1991 FLEER BASEBALL 1975 DESIGN MARINERS #10 Q1339,$1.58,"Sold Mar 16, 2026",N,,,Y,N,$6.00,quickconsign,New,https://www.ebay.com/itm/277788326845
Bo Jackson Baseball - Football - Base/Inserts - You Pick - $2.00 or 2 Card Min.,$2.00,"Sold Mar 16, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/116016323739
1991 Fleer All-Stars Ken Griffey Jr. Seattle Mariners #7,$1.99,"Sold Mar 16, 2026",N,,,N,N,$0.94,nectarcards,New,https://www.ebay.com/itm/397669201829
1991 Fleer - All Star Team Ken Griffey Jr #7,$0.99,"Sold Mar 16, 2026",N,,,Y,N,$1.32,beachtre-93,New,https://www.ebay.com/itm/127730233554
1991 Fleer Bo Jackson Pro Visions Black #5 Royals,$3.28,"Sold Mar 16, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/377026112372
"RYNE SANDBERG HOF YOU PICK YOUR CARD, ASSORTED YEARS & COMPANIES (item#G69)",$0.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,fireonmtn59,New,https://www.ebay.com/itm/126711361868
"Ryne Sandberg Sammy Sosa Rookie Topps Donruss & inserts ""YOU PICK "" Chicago Cubs",$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.95,oldstuffsave,New,https://www.ebay.com/itm/285413246552
1991 Fleer Baseball - Pro Visions Factory Set Break Barry Bonds #1 Pirates MINT,$1.25,"Sold Mar 16, 2026",N,,,Y,N,$1.32,bubba-896085,New,https://www.ebay.com/itm/406757695914
"Nolan Ryan Cards - Base Cards, Inserts, etc. - You Pick - HOF - Astros, Mets",$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,maple_city_card_corner,New,https://www.ebay.com/itm/276251803079
Darryl Strawberry 1991 Fleer Baseball Pro-Visions New York Mets #12,$1.69,"Sold Mar 16, 2026",N,,,N,N,$0.00,getoutdoors7,New,https://www.ebay.com/itm/277750807411
1991 Fleer Mark McGwire Pro Visions Black #4 Athletics,$2.13,"Sold Mar 16, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/377026092146
Eddie Murray 1991 Fleer #214 Dodgers MLB READ FREE SHIPPING AutographDen,$0.35,"Sold Mar 16, 2026",N,,,Y,N,$0.00,autographden,New,https://www.ebay.com/itm/277792958922
1991 FLEER PRO VISION JOSE CANSECO PSA DNA Signed Card #6 A's Autograph Auto,$89.99,"Sold Mar 16, 2026",Y,PSA,6,N,N,$5.00,dontmess,New,https://www.ebay.com/itm/326888446836
1991 Fleer All Star Barry Larkin #2 Cincinnati Reds,$1.50,"Sold Mar 16, 2026",N,,,N,N,$0.00,desertgypsy17,New,https://www.ebay.com/itm/226471207596
CAL RIPKEN JR CARDS Your Pick TOPPS Fleer Donruss Leaf 1983 1984 1985-87 1988-97,$0.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,ospectre,New,https://www.ebay.com/itm/274333084732
1991 Fleer Ultra - Ken Griffey Jr #336,$1.25,"Sold Mar 16, 2026",N,,,N,Y,$0.00,stellar_soles,New,https://www.ebay.com/itm/277752485473
JOSE CANSECO FLEER BASEBALL 1991 POWER AND SPEED #6 OF 12 OAKLAND ATHELTICS ⚾️🔥,$1.50,"Sold Mar 16, 2026",N,,,N,Y,$1.00,andybuzz101,New,https://www.ebay.com/itm/376192330751
Rickey Henderson 1991 Fleer Ultra Team #5 Oakland Athletics,$1.95,"Sold Mar 16, 2026",N,,,N,N,$0.00,victory-sports,New,https://www.ebay.com/itm/326492975044
Bo Jackson 1991 Ultra Team (Ultra Gold) #6 Kansas City Royals,$2.50,"Sold Mar 16, 2026",N,,,N,N,$0.00,victory-sports,New,https://www.ebay.com/itm/326582688938
Wade Boggs ⚾️ Cards - You Pick - Base Inserts- Listing 1 of 2 (2 CARD MINIMUM),$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,maple_city_card_corner,New,https://www.ebay.com/itm/274982315984
1991 Fleer Update #U-62 Ivan Rodriguez PSA 10 HOF (RC),$32.00,"Sold Mar 16, 2026",Y,PSA,10,N,N,$4.99,sullivanscountry-store,New,https://www.ebay.com/itm/167961845183
"1991 Fleer #710 Ken Griffey, Jr / Barry Bonds) BASEBALL Mariners",$3.00,"Sold Mar 16, 2026",N,,,N,N,$0.00,dellcards,New,https://www.ebay.com/itm/197747082469
1991 FLEER #1 KIRBY PUCKETT PRO-VISIONS MINNESOTA TWINS,$1.79,"Sold Mar 16, 2026",N,,,N,Y,$0.00,candmcollect,New,https://www.ebay.com/itm/206108146593
1991 Fleer Pro-visions insert set * Cards 1-4* Henderson/Bonds/ Sandberg,$11.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,tradejakestore,New,https://www.ebay.com/itm/177145726211
1991 Fleer - Pro-Vision Jose Canseco #6,$12.99,"Sold Mar 16, 2026",N,,,Y,N,$5.20,cardyboyz,New,https://www.ebay.com/itm/317987384990
1991 Fleer Ultra Frank Thomas #85 PSA8,$9.99,"Sold Mar 16, 2026",Y,PSA,8,N,N,$4.50,indiexboycards,New,https://www.ebay.com/itm/205039086452
