title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
"MLB 1991 Stadium Club Charter Member NOLAN RYAN #NNO ""300th Career Win"" Rangers",$1.99,$0.00,"Sold Jan 29, 2026",mancave1995,New,https://www.ebay.com/itm/275156938337,N,,,N,N,1.99,0.0,1.99,2026-01-29,bin,False,False,,,
Nolan Ryan-1991 Topps Stadium Club Charter Member 300th Career Win Texas Rangers,$2.95,$0.00,"Sold Jan 21, 2026",danpe2305,New,https://www.ebay.com/itm/287088809181,N,,,N,N,2.95,0.0,2.95,2026-01-21,bin,False,False,,,
1991 Stadium Club Charter Member Nolan Ryan (300th Career Win) HOF,$1.25,$1.32,"Sold Feb 6, 2026",the_jawn,New,https://www.ebay.com/itm/197735851807,N,,,N,N,1.25,1.32,2.57,2026-02-06,bin,False,False,,,
1991 Stadium Club Charter Members 300th Win Nolan Ryan Rangers HOF PSA 9 MINT,$35.00,$4.95,"Sold Feb 11, 2026",brfreddy76,New,https://www.ebay.com/itm/267258286286,Y,PSA,9,N,N,35.0,4.95,39.95,2026-02-11,bin,False,True,PSA,9.0,
B40a Nolan Ryan 300th Win 1991 Stadium club charter member,$2.00,$1.32,"Sold Mar 13, 2026",andstr705,New,https://www.ebay.com/itm/317722033275,N,,,N,N,2.0,1.32,3.32,2026-03-13,bin,False,False,,,B40A
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze 300th Win Tribute,$10.00,$0.00,"Sold Feb 16, 2026",xiomi44,New,https://www.ebay.com/itm/389343698694,N,,,N,N,10.0,0.0,10.0,2026-02-16,bin,False,False,,,
🔥⚾️1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WIN PSA 9🔥🏟,$43.70,$5.45,"Sold Feb 11, 2026",brasoncz-0,New,https://www.ebay.com/itm/397043915785,Y,PSA,9,N,N,43.7,5.45,49.15,2026-02-11,bin,False,True,PSA,9.0,
1991 Stadium Club Charter Member Commemorative Nolan Ryan Medallion,$9.99,$0.00,"Sold Feb 16, 2026",cardclubhousellc,New,https://www.ebay.com/itm/236622022142,N,,,N,N,9.99,0.0,9.99,2026-02-16,bin,False,False,,,
1991 Stadium Club - Charter Member - Nolan Ryan - “7th No Hitter” - NrMt,$2.07,$0.00,"Sold Mar 13, 2026",grover46,New,https://www.ebay.com/itm/267588629846,N,,,N,N,2.07,0.0,2.07,2026-03-13,bin,False,False,,,
