price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
1.99,0.0,1.99,2026-01-29,bin,False,,,,"MLB 1991 Stadium Club Charter Member NOLAN RYAN #NNO ""300...",$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.95,0.0,2.95,2026-01-21,bin,False,,,,Nolan Ryan-1991 Topps Stadium Club Charter Member 300th C...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.25,1.32,2.57,2026-02-06,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan (300th Career...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.0,1.32,3.32,2026-03-13,bin,False,B40A,,,B40a Nolan Ryan 300th Win 1991 Stadium club charter member,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
10.0,0.0,10.0,2026-02-16,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
9.99,0.0,9.99,2026-02-16,bin,False,,,,1991 Stadium Club Charter Member Commemorative Nolan Ryan...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.07,0.0,2.07,2026-03-13,bin,False,,,,1991 Stadium Club - Charter Member - Nolan Ryan - “7th No...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
10.99,2.99,13.98,2026-03-06,bin,False,,,,1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYA...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.99,0.0,2.99,2026-02-08,bin,False,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Ryan Ex...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
10.99,1.99,12.98,2026-02-24,bin,False,,,,1991 Stadium Club Charter Member Commemorative Bronze Med...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
16.79,0.0,16.79,2026-03-20,bin,False,70,,,1991 Topps Stadium Club Charter Member Set Nolan Ryan Med...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.25,0.0,2.25,2026-01-04,bin,False,,,,1991 Stadium Club Charter Member #NNO Nolan Ryan,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.5,1.85,4.35,2026-03-20,bin,True,,,,Nolan Ryan 1991 Stadium Club Members Charter Card,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
11.99,0.0,11.99,2026-03-03,bin,False,,,,1991 Topps Stadium Club Bronze Nolan Ryan Charter Member ...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.99,0.0,1.99,2025-12-25,bin,False,,,,1991 Stadium Club Charter Member - Nolan Ryan No-Hitter,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.99,0.89,2.88,2026-03-25,bin,False,,,,1991 Stadium Club Charter Member - Nolan Ryan No-Hitter,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.05,1.5,2.55,2026-03-17,bin,False,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Texas R...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.89,0.0,1.89,2026-01-06,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan #NNO,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.99,0.0,1.99,2026-01-01,bin,False,,,,1991 STADIUM CLUB CHARTER MEMBER #NNO NOLAN RYAN TEXAS RA...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.0,5.75,8.75,2026-02-22,bin,True,,,,Nolan Ryan 1991 Stadium Club Charter Member Commemorative...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
3.0,0.0,3.0,2025-12-27,bin,False,,,,1991 Stadium Club Charter Member Nolan Ryan #NNO Texas Ra...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
2.99,1.49,4.48,2026-02-13,bin,False,,,,Nolan Ryan 1991 Stadium Club Members Charter Card,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
1.95,0.0,1.95,2026-01-21,bin,False,,,,Nolan Ryan-1991 Topps Stadium Club Charter Member Texas R...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
5.5,5.45,10.95,2026-02-26,bin,False,,,,1991 Topps Stadium Club Nolan Ryan Charter Member Bronze ...,$4-$7-$7,eBay Raw | Model B - Star / High Liquidity | 43 comps,eBay Raw
