title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 Stadium Club Charter Member Only Limited Edition 50 Card Set,$12.95,$0.00,"Sold Mar 29, 2026",nostalgiatradingcards,New,https://www.ebay.com/itm/326933289647,https://i.ebayimg.com/images/g/eCYAAeSwoCJpUbXf/s-l500.webp,N,,,N,N,12.95,0.0,12.95,2026-03-29,bin,False,False,,,50
1991 Topps Stadium Club Charter Member Set Nolan Ryan Medallion Keychain 50 Card,$9.96,$5.99,"Sold Mar 28, 2026",chcat57,New,https://www.ebay.com/itm/226387995003,https://i.ebayimg.com/images/g/cI8AAOSwuENnAzYl/s-l500.webp,N,,,N,N,9.96,5.99,15.95,2026-03-28,bin,False,False,,,50
"U Pick from Nolan Ryan 100+ Oddball items - 1982 - 1995 (Food issues, Magazines)",$1.00,$1.50,"Sold Mar 27, 2026",nedco7,New,https://www.ebay.com/itm/133749305968,https://i.ebayimg.com/images/g/ijAAAOSwqDxgjs39/s-l500.webp,N,,,N,N,1.0,1.5,2.5,2026-03-27,bin,False,True,,,100
TOPPS STADIUM CLUB BASEBALL 1991 CHARTER MEMBER ONLY COMPLETE SET - NOLAN RYAN,$15.95,$6.43,"Sold Mar 27, 2026",michba-2651,New,https://www.ebay.com/itm/206026356687,https://i.ebayimg.com/images/g/drUAAeSwDNFo9tBe/s-l500.webp,N,,,N,Y,15.95,6.43,22.38,2026-03-27,bin,True,False,,,
1991 Stadium Club Charter Member - Nolan Ryan No-Hitter,$1.99,$0.89,"Sold Mar 25, 2026",66trevor,New,https://www.ebay.com/itm/206162666558,https://i.ebayimg.com/images/g/ZLcAAeSwLTlpwf~J/s-l500.webp,N,,,N,N,1.99,0.89,2.88,2026-03-25,bin,False,False,,,
NOLAN RYAN Oddball Insert & Regular issue Baseball METS RANGERS YOU CHOOSE,$1.00,$1.25,"Sold Mar 24, 2026",thogalas-0,New,https://www.ebay.com/itm/355405878646,https://i.ebayimg.com/images/g/w5wAAOSw9gxlr~Sl/s-l500.webp,N,,,N,N,1.0,1.25,2.25,2026-03-24,bin,False,False,,,
Topps Stadium Club Charter Member Set Nolan Ryan Medallion/Cards with Key Chain,$0.99,$7.46,"Sold Mar 24, 2026",dafor_79,New,https://www.ebay.com/itm/377042959018,https://i.ebayimg.com/images/g/8OUAAeSwfVVplRRX/s-l500.webp,N,,,Y,N,0.99,7.46,8.45,2026-03-24,auction,False,False,,,
1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WIN PSA 10,$75.00,$5.00,"Sold Mar 24, 2026",4_sharp_corners,New,https://www.ebay.com/itm/389762018457,https://i.ebayimg.com/images/g/g84AAeSwjchpuXBu/s-l500.webp,Y,PSA,10,Y,N,75.0,5.0,80.0,2026-03-24,auction,False,True,PSA,10.0,
1991 Topps Stadium Club Charter Member Commemorative Nolan Ryan HOF Medallion,$4.12,$5.50,"Sold Mar 23, 2026",probstein123,New,https://www.ebay.com/itm/366280283330,https://i.ebayimg.com/images/g/-oAAAeSwXVZpuFmI/s-l500.webp,N,,,Y,N,4.12,5.5,9.62,2026-03-23,auction,False,False,,,
