title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
1991 Stadium Club Charter Member Only Limited Edition 50 Card Set,$12.95,"Sold Mar 29, 2026",N,,,N,N,$0.00,nostalgiatradingcards,New,https://www.ebay.com/itm/326933289647,https://i.ebayimg.com/images/g/eCYAAeSwoCJpUbXf/s-l500.webp
1991 Topps Stadium Club Charter Member Set Nolan Ryan Medallion Keychain 50 Card,$9.96,"Sold Mar 28, 2026",N,,,N,N,$5.99,chcat57,New,https://www.ebay.com/itm/226387995003,https://i.ebayimg.com/images/g/cI8AAOSwuENnAzYl/s-l500.webp
"U Pick from Nolan Ryan 100+ Oddball items - 1982 - 1995 (Food issues, Magazines)",$1.00,"Sold Mar 27, 2026",N,,,N,N,$1.50,nedco7,New,https://www.ebay.com/itm/133749305968,https://i.ebayimg.com/images/g/ijAAAOSwqDxgjs39/s-l500.webp
TOPPS STADIUM CLUB BASEBALL 1991 CHARTER MEMBER ONLY COMPLETE SET - NOLAN RYAN,$15.95,"Sold Mar 27, 2026",N,,,N,Y,$6.43,michba-2651,New,https://www.ebay.com/itm/206026356687,https://i.ebayimg.com/images/g/drUAAeSwDNFo9tBe/s-l500.webp
1991 Stadium Club Charter Member - Nolan Ryan No-Hitter,$1.99,"Sold Mar 25, 2026",N,,,N,N,$0.89,66trevor,New,https://www.ebay.com/itm/206162666558,https://i.ebayimg.com/images/g/ZLcAAeSwLTlpwf~J/s-l500.webp
NOLAN RYAN Oddball Insert & Regular issue Baseball METS RANGERS YOU CHOOSE,$1.00,"Sold Mar 24, 2026",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/355405878646,https://i.ebayimg.com/images/g/w5wAAOSw9gxlr~Sl/s-l500.webp
Topps Stadium Club Charter Member Set Nolan Ryan Medallion/Cards with Key Chain,$0.99,"Sold Mar 24, 2026",N,,,Y,N,$7.46,dafor_79,New,https://www.ebay.com/itm/377042959018,https://i.ebayimg.com/images/g/8OUAAeSwfVVplRRX/s-l500.webp
1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WIN PSA 10,$75.00,"Sold Mar 24, 2026",Y,PSA,10,Y,N,$5.00,4_sharp_corners,New,https://www.ebay.com/itm/389762018457,https://i.ebayimg.com/images/g/g84AAeSwjchpuXBu/s-l500.webp
1991 Topps Stadium Club Charter Member Commemorative Nolan Ryan HOF Medallion,$4.12,"Sold Mar 23, 2026",N,,,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/366280283330,https://i.ebayimg.com/images/g/-oAAAeSwXVZpuFmI/s-l500.webp
Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 22, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/116160962053,https://i.ebayimg.com/images/g/FBsAAOSwgtFmLBwR/s-l500.webp
