price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note
9.96,5.99,15.95,2026-03-28,bin,False,50,,,1991 Topps Stadium Club Charter Member Set Nolan Ryan Med...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.0,1.5,2.5,2026-03-27,bin,False,100,,,U Pick from Nolan Ryan 100+ Oddball items - 1982 - 1995 (...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.99,0.89,2.88,2026-03-25,bin,False,,,,1991 Stadium Club Charter Member - Nolan Ryan No-Hitter,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.0,1.25,2.25,2026-03-24,bin,False,,,,NOLAN RYAN Oddball Insert & Regular issue Baseball METS R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
0.99,7.46,8.45,2026-03-24,auction,False,,,,Topps Stadium Club Charter Member Set Nolan Ryan Medallio...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
4.12,5.5,9.62,2026-03-23,auction,False,,,,1991 Topps Stadium Club Charter Member Commemorative Nola...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.0,0.0,2.0,2026-03-22,bin,False,00,,2.0,Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
5.05,4.95,10.0,2026-03-22,auction,False,,,,1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYA...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
15.43,5.99,21.42,2026-02-28,bin,False,,,,VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Co...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
2.5,1.85,4.35,2026-03-20,bin,True,,,,Nolan Ryan 1991 Stadium Club Members Charter Card,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
16.79,0.0,16.79,2026-03-20,bin,False,70,,,1991 Topps Stadium Club Charter Member Set Nolan Ryan Med...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
3.26,5.0,8.26,2026-03-19,auction,False,,,,1991 Stadium Club Charter Member Bronze Nolan Ryan,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
1.05,1.5,2.55,2026-03-17,bin,False,,,,1991 Topps Stadium Club Charter Member Nolan Ryan Texas R...,eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
0.99,15.6,16.59,2026-03-15,auction,False,,,,"1991 Stadium Club Charter Member Nolan Ryan Medallion, Se...",eBay Raw,$8-$21-$21,eBay Raw | raw only | Model B - Star / High Liquidity | 63 comps
