title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
Lot Of 20 1991 Topps Stadium Club Charter Member Barry Bonds Pittsburgh Pirates,$3.64,$11.90,"Sold Mar 22, 2026",sbooo22,New,https://www.ebay.com/itm/406512520754,https://i.ebayimg.com/images/g/ptwAAeSwChppSuFx/s-l500.webp,N,,,N,Y,3.64,11.9,15.54,2026-03-22,bin,True,False,,,20
1991 Topps Stadium Club Charter Member Barry Bonds Base Pittsburgh Pirates,$1.00,$0.74,"Sold Mar 21, 2026",piegrantcards,New,https://www.ebay.com/itm/206055827624,https://i.ebayimg.com/images/g/Y~8AAeSwiLRph5Ke/s-l500.webp,N,,,N,Y,1.0,0.74,1.74,2026-03-21,bin,True,False,,,
Barry Bonds Baseball Cards ***You Pick*** Pirates / Giants Revised 11/21,$1.29,$0.19,"Sold Mar 16, 2026",bezimm_59,New,https://www.ebay.com/itm/404270869327,https://i.ebayimg.com/images/g/cEwAAOSw9ndkUSS8/s-l500.webp,N,,,N,N,1.29,0.19,1.48,2026-03-16,bin,False,False,,,11
Barry Bonds Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 11, 2026",disabled_vet,New,https://www.ebay.com/itm/115728234975,https://i.ebayimg.com/images/g/C5AAAOSw7XhkDJCj/s-l500.webp,N,,,N,N,2.0,0.0,2.0,2026-03-11,bin,False,False,,2.0,00
1991 Stadium Club Charter Member #3 Barry Bonds Pittsburgh Pirates,$0.99,$0.00,"Sold Mar 6, 2026",jsh1082,New,https://www.ebay.com/itm/256484461308,https://i.ebayimg.com/images/g/W9QAAOSwweZmIZ-h/s-l500.webp,N,,,N,Y,0.99,0.0,0.99,2026-03-06,bin,True,False,,3.0,
Barry Bonds 1991 Stadium Club Charter Member #NNO Pittsburgh Pirates,$2.29,$0.00,"Sold Mar 6, 2026",montereysportscards,New,https://www.ebay.com/itm/236300119963,https://i.ebayimg.com/images/g/CF4AAeSwhcxotMAH/s-l500.webp,N,,,N,Y,2.29,0.0,2.29,2026-03-06,bin,True,False,,,
1991 Stadium Club Charter Member - Barry Bonds g382,$0.99,$0.79,"Sold Mar 6, 2026",goldengra-49,New,https://www.ebay.com/itm/316767673012,https://i.ebayimg.com/images/g/-PsAAOSwbUJnxQcy/s-l500.webp,N,,,N,N,0.99,0.79,1.78,2026-03-06,bin,False,False,,,G382
Barry Bonds MLB Baseball Singles (Pick Your Cards),$1.95,$0.00,"Sold Mar 3, 2026",avzensportscards,New,https://www.ebay.com/itm/174277401016,https://i.ebayimg.com/images/g/QKAAAOSw7OFmCZOT/s-l500.webp,N,,,N,N,1.95,0.0,1.95,2026-03-03,bin,False,False,,,
A9512- 1991 Stadium Club Charter Member Cards -You Pick- 15+ FREE US SHIP,$0.99,$1.09,"Sold Mar 1, 2026",richindeals7,New,https://www.ebay.com/itm/334477631814,https://i.ebayimg.com/images/g/3jYAAOSw-DZirQ3N/s-l500.webp,N,,,N,N,0.99,1.09,2.08,2026-03-01,bin,False,False,,,A9512
