title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
Lot Of 20 1991 Topps Stadium Club Charter Member Barry Bonds Pittsburgh Pirates,$3.64,"Sold Mar 22, 2026",N,,,N,Y,$11.90,sbooo22,New,https://www.ebay.com/itm/406512520754,https://i.ebayimg.com/images/g/ptwAAeSwChppSuFx/s-l500.webp
1991 Topps Stadium Club Charter Member Barry Bonds Base Pittsburgh Pirates,$1.00,"Sold Mar 21, 2026",N,,,N,Y,$0.74,piegrantcards,New,https://www.ebay.com/itm/206055827624,https://i.ebayimg.com/images/g/Y~8AAeSwiLRph5Ke/s-l500.webp
Barry Bonds Baseball Cards ***You Pick*** Pirates / Giants Revised 11/21,$1.29,"Sold Mar 16, 2026",N,,,N,N,$0.19,bezimm_59,New,https://www.ebay.com/itm/404270869327,https://i.ebayimg.com/images/g/cEwAAOSw9ndkUSS8/s-l500.webp
Barry Bonds Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 11, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/115728234975,https://i.ebayimg.com/images/g/C5AAAOSw7XhkDJCj/s-l500.webp
1991 Stadium Club Charter Member #3 Barry Bonds Pittsburgh Pirates,$0.99,"Sold Mar 6, 2026",N,,,N,Y,$0.00,jsh1082,New,https://www.ebay.com/itm/256484461308,https://i.ebayimg.com/images/g/W9QAAOSwweZmIZ-h/s-l500.webp
Barry Bonds 1991 Stadium Club Charter Member #NNO Pittsburgh Pirates,$2.29,"Sold Mar 6, 2026",N,,,N,Y,$0.00,montereysportscards,New,https://www.ebay.com/itm/236300119963,https://i.ebayimg.com/images/g/CF4AAeSwhcxotMAH/s-l500.webp
1991 Stadium Club Charter Member - Barry Bonds g382,$0.99,"Sold Mar 6, 2026",N,,,N,N,$0.79,goldengra-49,New,https://www.ebay.com/itm/316767673012,https://i.ebayimg.com/images/g/-PsAAOSwbUJnxQcy/s-l500.webp
Barry Bonds MLB Baseball Singles (Pick Your Cards),$1.95,"Sold Mar 3, 2026",N,,,N,N,$0.00,avzensportscards,New,https://www.ebay.com/itm/174277401016,https://i.ebayimg.com/images/g/QKAAAOSw7OFmCZOT/s-l500.webp
A9512- 1991 Stadium Club Charter Member Cards -You Pick- 15+ FREE US SHIP,$0.99,"Sold Mar 1, 2026",N,,,N,N,$1.09,richindeals7,New,https://www.ebay.com/itm/334477631814,https://i.ebayimg.com/images/g/3jYAAOSw-DZirQ3N/s-l500.webp
