price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note
1.0,0.74,1.74,2026-03-21,bin,True,,,,1991 Topps Stadium Club Charter Member Barry Bonds Base P...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.29,0.19,1.48,2026-03-16,bin,False,11,,,Barry Bonds Baseball Cards ***You Pick*** Pirates / Giant...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
2.0,0.0,2.0,2026-03-11,bin,False,00,,2.0,Barry Bonds Base/Inserts - You Pick - $2.00 or 2 Card Min...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
0.99,0.0,0.99,2026-03-06,bin,True,,,3.0,1991 Stadium Club Charter Member #3 Barry Bonds Pittsburg...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
2.29,0.0,2.29,2026-03-06,bin,True,,,,Barry Bonds 1991 Stadium Club Charter Member #NNO Pittsbu...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
0.99,0.79,1.78,2026-03-06,bin,False,G382,,,1991 Stadium Club Charter Member - Barry Bonds g382,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.95,0.0,1.95,2026-03-03,bin,False,,,,Barry Bonds MLB Baseball Singles (Pick Your Cards),eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.75,0.0,1.75,2026-02-28,bin,False,,,,1991 STADIUM CLUB CHARTER MEMBER #NNO BARRY BONDS PITTSBU...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.25,0.0,1.25,2026-02-25,auction,False,,,,Barry Bonds 1991 Stadium Club Charter Member #NNO Pirates...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
0.99,0.0,0.99,2026-01-16,auction,False,,,,BARRY BONDS 1991 TOPPS STADIUM CLUB CHARTER MEMBER CARD,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.69,0.0,1.69,2026-01-02,bin,False,220,,,Barry Bonds 1991 Stadium Club #220 Pittsburgh Pirates,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.25,0.74,1.99,2026-03-13,bin,False,220,,,1991 Stadium Club #220 Barry Bonds,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
2.69,0.0,2.69,2026-02-20,bin,True,220,,,1991 Stadium Club #220 Barry Bonds Pittsburgh Pirates,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.49,0.99,2.48,2026-02-13,bin,False,220,,,1991 Stadium Club #220 Barry Bonds Near Mint or Better,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.59,0.0,1.59,2026-01-03,bin,True,220,,,1991 Topps Stadium Club #220 Barry Bonds,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.99,0.0,1.99,2026-02-15,bin,True,220,,,1991 Stadium Club #220 - Barry Bonds - Pittsburgh Pirates...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.69,0.0,1.69,2025-12-30,bin,False,220,,,1991 Topps Stadium Club #220 Barry Bonds,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
1.25,4.99,6.24,2026-03-22,auction,False,,,,1991 Topps Stadium Club Charter Member Barry Bonds #NNO A...,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
0.99,5.0,5.99,2026-03-12,auction,False,220,,,1991 Stadium Club Baseball #220 Barry Bonds,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
0.25,1.32,1.57,2026-02-21,auction,False,220,,,1991 Topps Stadium Club - Barry Bonds #220,eBay Raw,$2-$2-$2,eBay Raw | raw only | Model B - Star / High Liquidity | 20 comps
51.0,7.95,58.95,2025-12-26,auction,False,,BGS,9.5,1991 TOPPS Stadium Club Barry Bonds Charter Member BGS 9....,eBay BGS 9.5,$59-$29-$29,eBay BGS 9.5 | Model B - Star / High Liquidity | 1 comp
16.5,5.99,22.49,2025-12-28,auction,False,220,PSA,9.0,1991 STADIUM CLUB #220 BARRY BONDS PSA 9,eBay PSA 9,$22-$11-$11,eBay PSA 9 | Model B - Star / High Liquidity | 1 comp
80.99,4.99,85.98,2026-02-02,bin,True,,PSA,10.0,1991 Stadium Club Charter Members Barry Bonds PSA 10,eBay PSA 10,$86-$77-$77,eBay PSA 10 | Model B - Star / High Liquidity | 1 comp
