title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
1991 STADIUM CLUB CHARTER MEMBERS NOLAN RYAN HOF 300th WIN PSA 10,$75.00,"Sold Mar 24, 2026",Y,PSA,10,Y,N,$5.00,4_sharp_corners,New,https://www.ebay.com/itm/389762018457
1991 Topps Stadium Club Charter Member Commemorative Nolan Ryan HOF Medallion,$4.12,"Sold Mar 23, 2026",N,,,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/366280283330
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION HOF,$5.05,"Sold Mar 22, 2026",N,,,Y,N,$4.95,jhawk444,New,https://www.ebay.com/itm/277797576499
VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$15.43,"Sold Feb 28, 2026",N,,,N,N,$5.99,burbankcardcollector,New,https://www.ebay.com/itm/236641043041
Nolan Ryan 1991 Stadium Club Members Charter Card,$2.50,"Sold Mar 20, 2026",N,,,N,Y,$1.85,flawlessimagesports210,New,https://www.ebay.com/itm/364493082771
1991 Topps Stadium Club Charter Member Set Nolan Ryan Medallion Keychain 70 Card,$16.79,"Sold Mar 20, 2026",N,,,N,N,$0.00,swedemom,New,https://www.ebay.com/itm/277397407000
1991 Stadium Club Charter Member Bronze Nolan Ryan,$3.26,"Sold Mar 19, 2026",N,,,Y,N,$5.00,tntnorthnj,New,https://www.ebay.com/itm/206132093520
1991 Topps Stadium Club Charter Member Nolan Ryan Texas Rangers,$1.05,"Sold Mar 17, 2026",N,,,N,N,$1.50,rueck_5451,New,https://www.ebay.com/itm/376671709199
1991 Topps Stadium Club - Charter Member 50 Card Set - KEN GRIFFEY JR. - GRETZKY,$10.99,"Sold Mar 16, 2026",N,,,N,N,$4.95,nsdptch7,Brand New,https://www.ebay.com/itm/358198903359
"1991 Stadium Club Charter Member Nolan Ryan Medallion, Set of Cards, & Keychain",$0.99,"Sold Mar 15, 2026",N,,,Y,N,$15.60,collectplayandenjoy,Brand New,https://www.ebay.com/itm/306810988671
1991 Stadium Club - Charter Member - Nolan Ryan - “7th No Hitter” - NrMt,$2.07,"Sold Mar 13, 2026",N,,,N,N,$0.00,grover46,New,https://www.ebay.com/itm/267588629846
B40a Nolan Ryan 300th Win 1991 Stadium club charter member,$2.00,"Sold Mar 13, 2026",N,,,N,N,$1.32,andstr705,New,https://www.ebay.com/itm/317722033275
1991 Topps Stadium Club Nolan Ryan Charter Member Texas Rangers HOF (Medallion),$8.99,"Sold Mar 13, 2026",N,,,N,N,$4.00,pietilacards,New,https://www.ebay.com/itm/366176935363
NILAN RYAN 1991 TOPPS STADIUM CLUB CHARTER MEMBER NO NUMBER FREE SHIPPING,$1.30,"Sold Mar 11, 2026",N,,,N,Y,$0.00,walnutchair19,New,https://www.ebay.com/itm/127476902411
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,"Sold Mar 11, 2026",N,,,N,N,$5.49,detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,"Sold Mar 11, 2026",N,,,N,N,$6.09,man,New,https://www.ebay.com/itm/227163638275
Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stadium Club Charter Member,$5.00,"Sold Mar 9, 2026",N,,,N,Y,$7.95,jpd0_17,New,https://www.ebay.com/itm/197985649288
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,"Sold Mar 9, 2026",N,,,Y,N,$6.87,nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933
"1991 Topps Stadium Club Charter Member Box, Card Set, Medallion, & Keychain MINT",$10.00,"Sold Jan 2, 2026",N,,,N,N,$11.95,mistercollect,New,https://www.ebay.com/itm/365970982411
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF Rangers",$3.50,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656473
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texas Rangers HOF",$3.20,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656472
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,"Sold Mar 8, 2026",N,,,N,Y,$5.52,pech5548,New,https://www.ebay.com/itm/227220003821
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,"Sold Mar 6, 2026",N,,,Y,N,$10.00,kidizop1959,New,https://www.ebay.com/itm/317964874048
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION (LOOK),$10.99,"Sold Mar 6, 2026",N,,,N,N,$2.99,sdpawnbristol,Brand New,https://www.ebay.com/itm/127532500939
"1991 Stadium Club Charter Member Box Set - Ryan Medallion, Keychain, 50 Card Set",$10.00,"Sold Dec 10, 2025",N,,,N,N,$10.00,jsf021408,New,https://www.ebay.com/itm/167869949829
