title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 Topps Stadium Club Charter Member Nolan Ryan Texas Rangers,$1.05,$1.50,"Sold Mar 17, 2026",rueck_5451,New,https://www.ebay.com/itm/376671709199,N,,,N,N,1.05,1.5,2.55,2026-03-17,bin,False,False,,,
1991 STADIUM CLUB CHARTER MEMBER RANDY JOHNSON SEATTLE MARINERS,$1.79,$0.00,"Sold Mar 17, 2026",candmcollect,New,https://www.ebay.com/itm/206061491059,N,,,N,Y,1.79,0.0,1.79,2026-03-17,bin,True,False,,,
Barry Bonds Baseball Cards ***You Pick*** Pirates / Giants Revised 11/21,$1.29,$0.19,"Sold Mar 16, 2026",bezimm_59,New,https://www.ebay.com/itm/404270869327,N,,,N,N,1.29,0.19,1.48,2026-03-16,bin,False,False,,,11
1991 Topps Stadium Club - Charter Member 50 Card Set - KEN GRIFFEY JR. - GRETZKY,$10.99,$4.95,"Sold Mar 16, 2026",nsdptch7,Brand New,https://www.ebay.com/itm/358198903359,N,,,N,N,10.99,4.95,15.94,2026-03-16,bin,False,False,,,50
Rickey Henderson Oakland A's 1991 Topps Stadium Club Charter Member #0,$2.35,$0.00,"Sold Mar 16, 2026",fbcdaw,New,https://www.ebay.com/itm/277615728502,N,,,N,N,2.35,0.0,2.35,2026-03-16,bin,False,False,,,0
Rickey Henderson 1991 Stadium Club Charter Member #NNO! 2 Card Min! See Desc!,$1.50,$0.00,"Sold Mar 16, 2026",grayssportscardsinc,New,https://www.ebay.com/itm/376978598068,N,,,N,Y,1.5,0.0,1.5,2026-03-16,bin,True,False,,2.0,
"1991 Stadium Club Charter Member Nolan Ryan Medallion, Set of Cards, & Keychain",$0.99,$15.60,"Sold Mar 15, 2026",collectplayandenjoy,Brand New,https://www.ebay.com/itm/306810988671,N,,,Y,N,0.99,15.6,16.59,2026-03-15,auction,False,False,,,
1991 Stadium Club Charter Member No #00 Ken Griffey Jr SP NMT MINT HOF Star,$1.22,$1.25,"Sold Mar 14, 2026",hs588,New,https://www.ebay.com/itm/317672860357,N,,,N,N,1.22,1.25,2.47,2026-03-14,bin,False,False,,,00
Nolan Ryan 1991 Stadium Club Members Charter Card,$2.50,$1.85,"Sold Mar 14, 2026",flawlessimagesports210,New,https://www.ebay.com/itm/364493082771,N,,,N,Y,2.5,1.85,4.35,2026-03-14,bin,True,False,,,
1991 STADIUM CLUB CHARTER MEMBERS RICKEY HENDERSON HOF PSA 10,$49.95,$5.95,"Sold Mar 13, 2026",log4n,New,https://www.ebay.com/itm/226526828716,Y,PSA,10,N,N,49.95,5.95,55.9,2026-03-13,bin,False,True,PSA,10.0,
1991 Stadium Club - Charter Member - Nolan Ryan - “7th No Hitter” - NrMt,$2.07,$0.00,"Sold Mar 13, 2026",grover46,New,https://www.ebay.com/itm/267588629846,N,,,N,N,2.07,0.0,2.07,2026-03-13,bin,False,False,,,
"RYNE SANDBERG YOU PICK SEE SCANS OF EVERY CARD CUBS SUPERSTAR 100,S",$0.99,$0.99,"Sold Mar 13, 2026",uconnbob38,New,https://www.ebay.com/itm/166856945592,N,,,N,N,0.99,0.99,1.98,2026-03-13,bin,False,True,,,100
B40a Nolan Ryan 300th Win 1991 Stadium club charter member,$2.00,$1.32,"Sold Mar 13, 2026",andstr705,New,https://www.ebay.com/itm/317722033275,N,,,N,N,2.0,1.32,3.32,2026-03-13,bin,False,False,,,B40A
1991 Topps Stadium Club Nolan Ryan Charter Member Texas Rangers HOF (Medallion),$8.99,$4.00,"Sold Mar 13, 2026",pietilacards,New,https://www.ebay.com/itm/366176935363,N,,,N,N,8.99,4.0,12.99,2026-03-13,bin,False,False,,,
"Ken Griffey, Jr. 1991 Stadium Club Charter Member Father Son Duo Seattle Mariner",$2.22,$0.99,"Sold Mar 13, 2026",photo.hike,New,https://www.ebay.com/itm/365774558593,N,,,N,N,2.22,0.99,3.21,2026-03-13,bin,False,False,,,
RICKEY HENDERSON (1981-2021) / Pick Your Cards /Buy4+ Save20%,$0.99,$0.89,"Sold Mar 13, 2026",eclectic_eden,New,https://www.ebay.com/itm/175000190869,N,,,N,N,0.99,0.89,1.88,2026-03-13,bin,False,False,,,
George Brett - U Pick from 240+ different items - Oddballs (1976-present),$1.00,$1.50,"Sold Mar 12, 2026",nedco7,New,https://www.ebay.com/itm/133739743523,N,,,N,N,1.0,1.5,2.5,2026-03-12,bin,False,False,,,240
Barry Bonds Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 11, 2026",disabled_vet,New,https://www.ebay.com/itm/115728234975,N,,,N,N,2.0,0.0,2.0,2026-03-11,bin,False,False,,2.0,00
NILAN RYAN 1991 TOPPS STADIUM CLUB CHARTER MEMBER NO NUMBER FREE SHIPPING,$1.30,$0.00,"Sold Mar 11, 2026",walnutchair19,New,https://www.ebay.com/itm/127476902411,N,,,N,Y,1.3,0.0,1.3,2026-03-11,bin,True,False,,,
Randy Johnson Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 11, 2026",disabled_vet,New,https://www.ebay.com/itm/116380732254,N,,,N,N,2.0,0.0,2.0,2026-03-11,bin,False,False,,2.0,00
1991 Stadium Club Charter Member Ken Griffey Jr HOF 0e0,$1.58,$4.99,"Sold Mar 11, 2026",comc_consignment,New,https://www.ebay.com/itm/336454601656,N,,,N,N,1.58,4.99,6.57,2026-03-11,bin,False,False,,,
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,$5.49,"Sold Mar 11, 2026",detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703,N,,,N,N,0.99,5.49,6.48,2026-03-11,bin,False,False,,,
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,$6.09,"Sold Mar 11, 2026",man,New,https://www.ebay.com/itm/227163638275,N,,,N,N,12.0,6.09,18.09,2026-03-11,bin,False,False,,,
Ryne Sandberg 1991 Stadium Club Charter Member #NNO! 2 Card Min! See Desc!,$0.99,$0.00,"Sold Mar 10, 2026",grayssportscardsinc,New,https://www.ebay.com/itm/377013751208,N,,,N,Y,0.99,0.0,0.99,2026-03-10,bin,True,False,,2.0,
Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stadium Club Charter Member,$5.00,$7.95,"Sold Mar 9, 2026",jpd0_17,New,https://www.ebay.com/itm/197985649288,N,,,N,Y,5.0,7.95,12.95,2026-03-09,bin,True,False,,,
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,$6.87,"Sold Mar 9, 2026",nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933,N,,,Y,N,5.5,6.87,12.37,2026-03-09,auction,False,False,,,
"1991 Topps Stadium Club Charter Member Box, Card Set, Medallion, & Keychain MINT",$10.00,$11.95,"Sold Jan 2, 2026",mistercollect,New,https://www.ebay.com/itm/365970982411,N,,,N,N,10.0,11.95,21.95,2026-01-02,bin,False,False,,,
Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 8, 2026",disabled_vet,New,https://www.ebay.com/itm/116160962053,N,,,N,N,2.0,0.0,2.0,2026-03-08,bin,False,False,,2.0,00
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF Rangers",$3.50,$4.95,"Sold Mar 8, 2026",va-979010,New,https://www.ebay.com/itm/177896656473,N,,,Y,N,3.5,4.95,8.45,2026-03-08,auction,False,False,,,
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texas Rangers HOF",$3.20,$4.95,"Sold Mar 8, 2026",va-979010,New,https://www.ebay.com/itm/177896656472,N,,,Y,N,3.2,4.95,8.15,2026-03-08,auction,False,False,,,
1991 STADIUM CLUB CHARTER MEMBERS GEORGE BRETT ROYALS HOF PSA 10,$29.99,$5.00,"Sold Mar 8, 2026",4_sharp_corners,New,https://www.ebay.com/itm/267594948136,Y,PSA,10,N,N,29.99,5.0,34.99,2026-03-08,bin,False,True,PSA,10.0,
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,$5.52,"Sold Mar 8, 2026",pech5548,New,https://www.ebay.com/itm/227220003821,N,,,N,Y,1.99,5.52,7.51,2026-03-08,bin,True,False,,,
NOLAN RYAN Oddball Insert & Regular issue Baseball METS RANGERS YOU CHOOSE,$1.00,$1.25,"Sold Mar 8, 2026",thogalas-0,New,https://www.ebay.com/itm/355405878646,N,,,N,N,1.0,1.25,2.25,2026-03-08,bin,False,False,,,
Ryne Sandberg cards (1987-2022) Cubs - You Choose,$0.99,$0.75,"Sold Mar 7, 2026",sjosing,New,https://www.ebay.com/itm/376570781642,N,,,N,N,0.99,0.75,1.74,2026-03-07,bin,False,False,,,
CAL GRIFFEY J-ROD & other MARINERS - pick your card - ROOKIES/PARALLELS,$0.99,$1.11,"Sold Mar 3, 2026",waxpackgreats,New,https://www.ebay.com/itm/188022755847,N,,,N,N,0.99,1.11,2.1,2026-03-03,bin,False,False,,,
1991 Topps Stadium Club Charter Member Rickey Henderson Oakland Athletics,$2.98,$0.00,"Sold Mar 4, 2026",beatlemanu2,New,https://www.ebay.com/itm/226933217295,N,,,N,N,2.98,0.0,2.98,2026-03-04,bin,False,False,,,
1991 Topps Stadium Club CHARTER MEMBER Rickey Henderson A.L. Recognizes MVP,$2.98,$0.00,"Sold Feb 13, 2026",beatlemanu2,New,https://www.ebay.com/itm/226933217337,N,,,N,N,2.98,0.0,2.98,2026-02-13,bin,False,False,,,
Rickey Henderson Oakland A’s 1991 Stadium Club Charter Member Card Lot #NNO,$2.99,$0.74,"Sold Mar 6, 2026",treasuresgaloreinms92,New,https://www.ebay.com/itm/226973975626,N,,,N,N,2.99,0.74,3.73,2026-03-06,bin,False,False,,,
1991 Stadium Club Charter Member #NNO Randy Johnson,$1.89,$0.00,"Sold Mar 6, 2026",isupete,New,https://www.ebay.com/itm/406648171467,N,,,N,N,1.89,0.0,1.89,2026-03-06,bin,False,False,,,
1991 Stadium Club Charter Member #3 Barry Bonds Pittsburgh Pirates,$0.99,$0.00,"Sold Mar 6, 2026",jsh1082,New,https://www.ebay.com/itm/256484461308,N,,,N,Y,0.99,0.0,0.99,2026-03-06,bin,True,False,,3.0,
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,$10.00,"Sold Mar 6, 2026",kidizop1959,New,https://www.ebay.com/itm/317964874048,N,,,Y,N,4.0,10.0,14.0,2026-03-06,auction,False,False,,,80
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION (LOOK),$10.99,$2.99,"Sold Mar 6, 2026",sdpawnbristol,Brand New,https://www.ebay.com/itm/127532500939,N,,,N,N,10.99,2.99,13.98,2026-03-06,bin,False,False,,,
Barry Bonds 1991 Stadium Club Charter Member #NNO Pittsburgh Pirates,$2.29,$0.00,"Sold Mar 6, 2026",montereysportscards,New,https://www.ebay.com/itm/236300119963,N,,,N,Y,2.29,0.0,2.29,2026-03-06,bin,True,False,,,
1991 Stadium Club Charter Member Ryne Sandberg Oversize proof no foil or gloss,$10.00,$5.07,"Sold Mar 6, 2026",regpata_90,New,https://www.ebay.com/itm/197934300733,N,,,N,Y,10.0,5.07,15.07,2026-03-06,bin,True,False,,,
1991 Stadium Club Charter Member - Barry Bonds g382,$0.99,$0.79,"Sold Mar 6, 2026",goldengra-49,New,https://www.ebay.com/itm/316767673012,N,,,N,N,0.99,0.79,1.78,2026-03-06,bin,False,False,,,G382
Ken Griffey Jr. cards (1990-2022) Mariners Reds - You Choose,$0.99,$0.75,"Sold Mar 6, 2026",sjosing,New,https://www.ebay.com/itm/376775563861,N,,,N,N,0.99,0.75,1.74,2026-03-06,bin,False,False,,,
"1991 Stadium Club Charter Member Box Set - Ryan Medallion, Keychain, 50 Card Set",$10.00,$10.00,"Sold Dec 10, 2025",jsf021408,New,https://www.ebay.com/itm/167869949829,N,,,N,N,10.0,10.0,20.0,2025-12-10,bin,False,False,,,50
1991 Stadium Club Charter Member #NNO Ryne Sandberg Baseball Card 3302C,$1.87,$0.99,"Sold Mar 4, 2026",1800gifts,New,https://www.ebay.com/itm/168187025228,N,,,N,Y,1.87,0.99,2.86,2026-03-04,bin,True,False,,,3302C
Ken Griffey Jr Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 4, 2026",disabled_vet,New,https://www.ebay.com/itm/115536798038,N,,,N,N,2.0,0.0,2.0,2026-03-04,bin,False,False,,2.0,00
1991 Stadium Club Charter Topps Stadium Club Members Only Fernando Valenzuela,$1.65,$0.75,"Sold Mar 4, 2026",michaeorteg_63,New,https://www.ebay.com/itm/188025609801,N,,,N,N,1.65,0.75,2.4,2026-03-04,bin,False,False,,,
Andy Hawkins 1991 Topps Stadium Club Charter Member New York Yankees NO HITTER,$1.49,$0.75,"Sold Mar 3, 2026",henrys.games,New,https://www.ebay.com/itm/325529484337,N,,,N,N,1.49,0.75,2.24,2026-03-03,bin,False,False,,,
Ken Griffey & Ken Griffey Jr 1991 Stadium Club Topps Charter Member,$3.12,$0.00,"Sold Mar 3, 2026",fbcdaw,New,https://www.ebay.com/itm/277535434006,N,,,N,N,3.12,0.0,3.12,2026-03-03,bin,False,False,,,
1991 STADIUM CLUB CHARTER MEMBERS RICKEY HENDERSON HOF A.L. MVP PSA 10,$81.00,$5.00,"Sold Mar 3, 2026",4_sharp_corners,New,https://www.ebay.com/itm/389665256080,Y,PSA,10,Y,N,81.0,5.0,86.0,2026-03-03,auction,False,True,PSA,10.0,
1991 Topps Stadium Club Ken Griffey Jr. & Sr. Charter Members PSA 10 Gem Mint,$125.00,$5.07,"Sold Mar 3, 2026",baseballneversleeps,New,https://www.ebay.com/itm/206099763361,Y,PSA,10,Y,N,125.0,5.07,130.07,2026-03-03,auction,False,True,PSA,10.0,
1991 Topps Stadium Club Bronze Nolan Ryan Charter Member Commemorative Medallion,$11.99,$0.00,"Sold Mar 3, 2026",selfon007,New,https://www.ebay.com/itm/127671999808,N,,,N,N,11.99,0.0,11.99,2026-03-03,bin,False,False,,,
Barry Bonds MLB Baseball Singles (Pick Your Cards),$1.95,$0.00,"Sold Mar 3, 2026",avzensportscards,New,https://www.ebay.com/itm/174277401016,N,,,N,N,1.95,0.0,1.95,2026-03-03,bin,False,False,,,
"1991 Topps Stadium Club Charter Member Kit ⚾️ Card Set, medallion & Key Chain",$30.00,$8.46,"Sold Mar 2, 2026",lauricardina_0,Brand New,https://www.ebay.com/itm/227238032605,N,,,Y,N,30.0,8.46,38.46,2026-03-02,auction,False,False,,,
A9512- 1991 Stadium Club Charter Member Cards -You Pick- 15+ FREE US SHIP,$0.99,$1.09,"Sold Mar 1, 2026",richindeals7,New,https://www.ebay.com/itm/334477631814,N,,,N,N,0.99,1.09,2.08,2026-03-01,bin,False,False,,,A9512
FREE SHIPPING-MINT-1991 Stadium Club Charter Member Ellis Burks RED SOX,$1.48,$0.00,"Sold Mar 1, 2026",howarmavesj-0,New,https://www.ebay.com/itm/126099685867,N,,,N,Y,1.48,0.0,1.48,2026-03-01,bin,True,False,,,
VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$15.43,$5.99,"Sold Feb 28, 2026",burbankcardcollector,New,https://www.ebay.com/itm/236641043041,N,,,N,Y,15.43,5.99,21.42,2026-02-28,bin,True,False,,,
1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) HOF 5sb,$1.38,$4.99,"Sold Feb 28, 2026",comc_consignment,New,https://www.ebay.com/itm/257382960873,N,,,N,N,1.38,4.99,6.37,2026-02-28,bin,False,False,,,
1991 STADIUM CLUB CHARTER MEMBER #NNO BARRY BONDS PITTSBURGH PIRATES,$1.75,$0.00,"Sold Feb 28, 2026",topps55,New,https://www.ebay.com/itm/236560046158,N,,,N,N,1.75,0.0,1.75,2026-02-28,bin,False,False,,,
1991 Stadium Club Charter Member Ken Griffey Jr ~ NM-MT ~,$0.99,$1.00,"Sold Feb 28, 2026",kazoo88,New,https://www.ebay.com/itm/376983643368,N,,,N,N,0.99,1.0,1.99,2026-02-28,bin,False,False,,,
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$4.99,$4.95,"Sold Feb 27, 2026",brunerfamilystore,New,https://www.ebay.com/itm/116836053452,N,,,N,N,4.99,4.95,9.94,2026-02-27,bin,False,False,,,
1991/92 TOPPS STADIUM CLUB CHARTER MEMBER BASEBALL RICKEY HENDERSON THIEF KSA 9,$5.78,$8.99,"Sold Feb 27, 2026",pacificauctionslimited,New,https://www.ebay.com/itm/358239862761,N,,,Y,N,5.78,8.99,14.77,2026-02-27,auction,False,False,,9.0,92
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$5.50,$5.45,"Sold Feb 26, 2026",yinzer68,New,https://www.ebay.com/itm/376919270145,N,,,N,N,5.5,5.45,10.95,2026-02-26,bin,False,False,,,
"U Pick from 168 diff Ryne Sandberg Oddball Cards, Stickers, other items",$0.99,$1.50,"Sold Feb 26, 2026",nedco7,New,https://www.ebay.com/itm/133576559706,N,,,N,N,0.99,1.5,2.49,2026-02-26,bin,False,False,,,168
1991 STADIUM CLUB CHARTER MEMBER #NNO FERNANDO VALENZUELA LOS ANGELES DODGERS,$1.99,$0.00,"Sold Feb 26, 2026",topps55,New,https://www.ebay.com/itm/397453911371,N,,,N,N,1.99,0.0,1.99,2026-02-26,bin,False,False,,,
Carlton Fisk 1991 Stadium Club Charter Member #NNO White Sox MLB READ FREE SHIP,$0.30,$0.00,"Sold Feb 26, 2026",autographden,New,https://www.ebay.com/itm/397634931101,N,,,Y,N,0.3,0.0,0.3,2026-02-26,auction,False,False,,,
