title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
1991 Topps Stadium Club Charter Member Nolan Ryan Texas Rangers,$1.05,"Sold Mar 17, 2026",N,,,N,N,$1.50,rueck_5451,New,https://www.ebay.com/itm/376671709199
1991 STADIUM CLUB CHARTER MEMBER RANDY JOHNSON SEATTLE MARINERS,$1.79,"Sold Mar 17, 2026",N,,,N,Y,$0.00,candmcollect,New,https://www.ebay.com/itm/206061491059
Barry Bonds Baseball Cards ***You Pick*** Pirates / Giants Revised 11/21,$1.29,"Sold Mar 16, 2026",N,,,N,N,$0.19,bezimm_59,New,https://www.ebay.com/itm/404270869327
1991 Topps Stadium Club - Charter Member 50 Card Set - KEN GRIFFEY JR. - GRETZKY,$10.99,"Sold Mar 16, 2026",N,,,N,N,$4.95,nsdptch7,Brand New,https://www.ebay.com/itm/358198903359
Rickey Henderson Oakland A's 1991 Topps Stadium Club Charter Member #0,$2.35,"Sold Mar 16, 2026",N,,,N,N,$0.00,fbcdaw,New,https://www.ebay.com/itm/277615728502
Rickey Henderson 1991 Stadium Club Charter Member #NNO! 2 Card Min! See Desc!,$1.50,"Sold Mar 16, 2026",N,,,N,Y,$0.00,grayssportscardsinc,New,https://www.ebay.com/itm/376978598068
"1991 Stadium Club Charter Member Nolan Ryan Medallion, Set of Cards, & Keychain",$0.99,"Sold Mar 15, 2026",N,,,Y,N,$15.60,collectplayandenjoy,Brand New,https://www.ebay.com/itm/306810988671
1991 Stadium Club Charter Member No #00 Ken Griffey Jr SP NMT MINT HOF Star,$1.22,"Sold Mar 14, 2026",N,,,N,N,$1.25,hs588,New,https://www.ebay.com/itm/317672860357
Nolan Ryan 1991 Stadium Club Members Charter Card,$2.50,"Sold Mar 14, 2026",N,,,N,Y,$1.85,flawlessimagesports210,New,https://www.ebay.com/itm/364493082771
1991 STADIUM CLUB CHARTER MEMBERS RICKEY HENDERSON HOF PSA 10,$49.95,"Sold Mar 13, 2026",Y,PSA,10,N,N,$5.95,log4n,New,https://www.ebay.com/itm/226526828716
1991 Stadium Club - Charter Member - Nolan Ryan - “7th No Hitter” - NrMt,$2.07,"Sold Mar 13, 2026",N,,,N,N,$0.00,grover46,New,https://www.ebay.com/itm/267588629846
"RYNE SANDBERG YOU PICK SEE SCANS OF EVERY CARD CUBS SUPERSTAR 100,S",$0.99,"Sold Mar 13, 2026",N,,,N,N,$0.99,uconnbob38,New,https://www.ebay.com/itm/166856945592
B40a Nolan Ryan 300th Win 1991 Stadium club charter member,$2.00,"Sold Mar 13, 2026",N,,,N,N,$1.32,andstr705,New,https://www.ebay.com/itm/317722033275
1991 Topps Stadium Club Nolan Ryan Charter Member Texas Rangers HOF (Medallion),$8.99,"Sold Mar 13, 2026",N,,,N,N,$4.00,pietilacards,New,https://www.ebay.com/itm/366176935363
"Ken Griffey, Jr. 1991 Stadium Club Charter Member Father Son Duo Seattle Mariner",$2.22,"Sold Mar 13, 2026",N,,,N,N,$0.99,photo.hike,New,https://www.ebay.com/itm/365774558593
RICKEY HENDERSON (1981-2021) / Pick Your Cards /Buy4+ Save20%,$0.99,"Sold Mar 13, 2026",N,,,N,N,$0.89,eclectic_eden,New,https://www.ebay.com/itm/175000190869
George Brett - U Pick from 240+ different items - Oddballs (1976-present),$1.00,"Sold Mar 12, 2026",N,,,N,N,$1.50,nedco7,New,https://www.ebay.com/itm/133739743523
Barry Bonds Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 11, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/115728234975
NILAN RYAN 1991 TOPPS STADIUM CLUB CHARTER MEMBER NO NUMBER FREE SHIPPING,$1.30,"Sold Mar 11, 2026",N,,,N,Y,$0.00,walnutchair19,New,https://www.ebay.com/itm/127476902411
Randy Johnson Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 11, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/116380732254
1991 Stadium Club Charter Member Ken Griffey Jr HOF 0e0,$1.58,"Sold Mar 11, 2026",N,,,N,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/336454601656
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,"Sold Mar 11, 2026",N,,,N,N,$5.49,detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,"Sold Mar 11, 2026",N,,,N,N,$6.09,man,New,https://www.ebay.com/itm/227163638275
Ryne Sandberg 1991 Stadium Club Charter Member #NNO! 2 Card Min! See Desc!,$0.99,"Sold Mar 10, 2026",N,,,N,Y,$0.00,grayssportscardsinc,New,https://www.ebay.com/itm/377013751208
Nolan Ryan Commemorative Bronze Medallion 1991 Topps Stadium Club Charter Member,$5.00,"Sold Mar 9, 2026",N,,,N,Y,$7.95,jpd0_17,New,https://www.ebay.com/itm/197985649288
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,"Sold Mar 9, 2026",N,,,Y,N,$6.87,nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933
"1991 Topps Stadium Club Charter Member Box, Card Set, Medallion, & Keychain MINT",$10.00,"Sold Jan 2, 2026",N,,,N,N,$11.95,mistercollect,New,https://www.ebay.com/itm/365970982411
Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 8, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/116160962053
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT HOF Rangers",$3.50,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656473
"1991 Stadium Club ""Charter Member"" NOLAN RYAN 🔥 MINT Texas Rangers HOF",$3.20,"Sold Mar 8, 2026",N,,,Y,N,$4.95,va-979010,New,https://www.ebay.com/itm/177896656472
1991 STADIUM CLUB CHARTER MEMBERS GEORGE BRETT ROYALS HOF PSA 10,$29.99,"Sold Mar 8, 2026",Y,PSA,10,N,N,$5.00,4_sharp_corners,New,https://www.ebay.com/itm/267594948136
1991 Stadium Club Charter Member - Bronze Ingot Nolan Ryan - In Box,$1.99,"Sold Mar 8, 2026",N,,,N,Y,$5.52,pech5548,New,https://www.ebay.com/itm/227220003821
NOLAN RYAN Oddball Insert & Regular issue Baseball METS RANGERS YOU CHOOSE,$1.00,"Sold Mar 8, 2026",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/355405878646
Ryne Sandberg cards (1987-2022) Cubs - You Choose,$0.99,"Sold Mar 7, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376570781642
CAL GRIFFEY J-ROD & other MARINERS - pick your card - ROOKIES/PARALLELS,$0.99,"Sold Mar 3, 2026",N,,,N,N,$1.11,waxpackgreats,New,https://www.ebay.com/itm/188022755847
1991 Topps Stadium Club Charter Member Rickey Henderson Oakland Athletics,$2.98,"Sold Mar 4, 2026",N,,,N,N,$0.00,beatlemanu2,New,https://www.ebay.com/itm/226933217295
1991 Topps Stadium Club CHARTER MEMBER Rickey Henderson A.L. Recognizes MVP,$2.98,"Sold Feb 13, 2026",N,,,N,N,$0.00,beatlemanu2,New,https://www.ebay.com/itm/226933217337
Rickey Henderson Oakland A’s 1991 Stadium Club Charter Member Card Lot #NNO,$2.99,"Sold Mar 6, 2026",N,,,N,N,$0.74,treasuresgaloreinms92,New,https://www.ebay.com/itm/226973975626
1991 Stadium Club Charter Member #NNO Randy Johnson,$1.89,"Sold Mar 6, 2026",N,,,N,N,$0.00,isupete,New,https://www.ebay.com/itm/406648171467
1991 Stadium Club Charter Member #3 Barry Bonds Pittsburgh Pirates,$0.99,"Sold Mar 6, 2026",N,,,N,Y,$0.00,jsh1082,New,https://www.ebay.com/itm/256484461308
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,"Sold Mar 6, 2026",N,,,Y,N,$10.00,kidizop1959,New,https://www.ebay.com/itm/317964874048
1991 TOPPS STADIUM CLUB CHARTER MEMBER SET WITH NOLAN RYAN MEDALLION (LOOK),$10.99,"Sold Mar 6, 2026",N,,,N,N,$2.99,sdpawnbristol,Brand New,https://www.ebay.com/itm/127532500939
Barry Bonds 1991 Stadium Club Charter Member #NNO Pittsburgh Pirates,$2.29,"Sold Mar 6, 2026",N,,,N,Y,$0.00,montereysportscards,New,https://www.ebay.com/itm/236300119963
1991 Stadium Club Charter Member Ryne Sandberg Oversize proof no foil or gloss,$10.00,"Sold Mar 6, 2026",N,,,N,Y,$5.07,regpata_90,New,https://www.ebay.com/itm/197934300733
1991 Stadium Club Charter Member - Barry Bonds g382,$0.99,"Sold Mar 6, 2026",N,,,N,N,$0.79,goldengra-49,New,https://www.ebay.com/itm/316767673012
Ken Griffey Jr. cards (1990-2022) Mariners Reds - You Choose,$0.99,"Sold Mar 6, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376775563861
"1991 Stadium Club Charter Member Box Set - Ryan Medallion, Keychain, 50 Card Set",$10.00,"Sold Dec 10, 2025",N,,,N,N,$10.00,jsf021408,New,https://www.ebay.com/itm/167869949829
1991 Stadium Club Charter Member #NNO Ryne Sandberg Baseball Card 3302C,$1.87,"Sold Mar 4, 2026",N,,,N,Y,$0.99,1800gifts,New,https://www.ebay.com/itm/168187025228
Ken Griffey Jr Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,"Sold Mar 4, 2026",N,,,N,N,$0.00,disabled_vet,New,https://www.ebay.com/itm/115536798038
1991 Stadium Club Charter Topps Stadium Club Members Only Fernando Valenzuela,$1.65,"Sold Mar 4, 2026",N,,,N,N,$0.75,michaeorteg_63,New,https://www.ebay.com/itm/188025609801
Andy Hawkins 1991 Topps Stadium Club Charter Member New York Yankees NO HITTER,$1.49,"Sold Mar 3, 2026",N,,,N,N,$0.75,henrys.games,New,https://www.ebay.com/itm/325529484337
Ken Griffey & Ken Griffey Jr 1991 Stadium Club Topps Charter Member,$3.12,"Sold Mar 3, 2026",N,,,N,N,$0.00,fbcdaw,New,https://www.ebay.com/itm/277535434006
1991 STADIUM CLUB CHARTER MEMBERS RICKEY HENDERSON HOF A.L. MVP PSA 10,$81.00,"Sold Mar 3, 2026",Y,PSA,10,Y,N,$5.00,4_sharp_corners,New,https://www.ebay.com/itm/389665256080
1991 Topps Stadium Club Ken Griffey Jr. & Sr. Charter Members PSA 10 Gem Mint,$125.00,"Sold Mar 3, 2026",Y,PSA,10,Y,N,$5.07,baseballneversleeps,New,https://www.ebay.com/itm/206099763361
1991 Topps Stadium Club Bronze Nolan Ryan Charter Member Commemorative Medallion,$11.99,"Sold Mar 3, 2026",N,,,N,N,$0.00,selfon007,New,https://www.ebay.com/itm/127671999808
Barry Bonds MLB Baseball Singles (Pick Your Cards),$1.95,"Sold Mar 3, 2026",N,,,N,N,$0.00,avzensportscards,New,https://www.ebay.com/itm/174277401016
"1991 Topps Stadium Club Charter Member Kit ⚾️ Card Set, medallion & Key Chain",$30.00,"Sold Mar 2, 2026",N,,,Y,N,$8.46,lauricardina_0,Brand New,https://www.ebay.com/itm/227238032605
A9512- 1991 Stadium Club Charter Member Cards -You Pick- 15+ FREE US SHIP,$0.99,"Sold Mar 1, 2026",N,,,N,N,$1.09,richindeals7,New,https://www.ebay.com/itm/334477631814
FREE SHIPPING-MINT-1991 Stadium Club Charter Member Ellis Burks RED SOX,$1.48,"Sold Mar 1, 2026",N,,,N,Y,$0.00,howarmavesj-0,New,https://www.ebay.com/itm/126099685867
VTG 1991 Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$15.43,"Sold Feb 28, 2026",N,,,N,Y,$5.99,burbankcardcollector,New,https://www.ebay.com/itm/236641043041
1991 Stadium Club Charter Member Nolan Ryan (No-Hitter) HOF 5sb,$1.38,"Sold Feb 28, 2026",N,,,N,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/257382960873
1991 STADIUM CLUB CHARTER MEMBER #NNO BARRY BONDS PITTSBURGH PIRATES,$1.75,"Sold Feb 28, 2026",N,,,N,N,$0.00,topps55,New,https://www.ebay.com/itm/236560046158
1991 Stadium Club Charter Member Ken Griffey Jr ~ NM-MT ~,$0.99,"Sold Feb 28, 2026",N,,,N,N,$1.00,kazoo88,New,https://www.ebay.com/itm/376983643368
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$4.99,"Sold Feb 27, 2026",N,,,N,N,$4.95,brunerfamilystore,New,https://www.ebay.com/itm/116836053452
1991/92 TOPPS STADIUM CLUB CHARTER MEMBER BASEBALL RICKEY HENDERSON THIEF KSA 9,$5.78,"Sold Feb 27, 2026",N,,,Y,N,$8.99,pacificauctionslimited,New,https://www.ebay.com/itm/358239862761
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$5.50,"Sold Feb 26, 2026",N,,,N,N,$5.45,yinzer68,New,https://www.ebay.com/itm/376919270145
"U Pick from 168 diff Ryne Sandberg Oddball Cards, Stickers, other items",$0.99,"Sold Feb 26, 2026",N,,,N,N,$1.50,nedco7,New,https://www.ebay.com/itm/133576559706
1991 STADIUM CLUB CHARTER MEMBER #NNO FERNANDO VALENZUELA LOS ANGELES DODGERS,$1.99,"Sold Feb 26, 2026",N,,,N,N,$0.00,topps55,New,https://www.ebay.com/itm/397453911371
Carlton Fisk 1991 Stadium Club Charter Member #NNO White Sox MLB READ FREE SHIP,$0.30,"Sold Feb 26, 2026",N,,,Y,N,$0.00,autographden,New,https://www.ebay.com/itm/397634931101
Rickey Henderson cards (1986-2024) A's Yankees Red Sox Padres - You Choose,$0.99,"Sold Feb 25, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376536428250
Randy Johnson cards (1990-2002) Mariners Diamondbacks Astros - You Choose,$0.99,"Sold Feb 25, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376536428247
"U Pick from Nolan Ryan 100+ Oddball items - 1982 - 1995 (Food issues, Magazines)",$1.00,"Sold Feb 25, 2026",N,,,N,N,$1.50,nedco7,New,https://www.ebay.com/itm/133749305968
Barry Bonds 1991 Stadium Club Charter Member #NNO Pirates MLB READ FREE SHIPPING,$1.25,"Sold Feb 25, 2026",N,,,Y,N,$0.00,autographden,New,https://www.ebay.com/itm/277741925141
1991 Topps Stadium Club Ken Griffey Jr CHARTER MEMBER Mariners HOF Mint,$2.79,"Sold Feb 24, 2026",N,,,N,N,$0.00,csdcards,New,https://www.ebay.com/itm/389507914530
Nolan Ryan 1991 Stadium Club Charter Members Only “7th No Hitter” Texas Rangers,$1.99,"Sold Feb 24, 2026",N,,,N,N,$0.00,cincysignatures,New,https://www.ebay.com/itm/116999505539
1991 Stadium Club Charter Member Commemorative Bronze Medallion Nolan Ryan,$10.99,"Sold Feb 24, 2026",N,,,N,N,$1.99,mantlemania4ever,New,https://www.ebay.com/itm/177044125064
GEORGE BRETT 1991 TOPPS STADIUM CLUB CHARTER MEMBER,$2.00,"Sold Feb 23, 2026",N,,,Y,N,$1.32,luxluger21,New,https://www.ebay.com/itm/358235091404
Nolan Ryan 1991 Stadium Club Charter Member Commemorative Medallion Card,$3.00,"Sold Feb 22, 2026",N,,,N,Y,$5.75,collectibleswithphil,New,https://www.ebay.com/itm/286543916550
You Pick Ken Griffey Jr. All Cards Ex-NrMT Unless Noted See Images,$1.50,"Sold Feb 23, 2026",N,,,N,N,$0.00,thecollectorsnook,New,https://www.ebay.com/itm/166770710533
1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter Member,$4.00,"Sold Feb 22, 2026",N,,,Y,N,$5.52,bw5-collectibles,New,https://www.ebay.com/itm/298036561120
1991 Stadium Club Charter Members Commemorative Nolan Ryan Medallion With Box,$2.99,"Sold Feb 21, 2026",N,,,N,N,$5.44,billynormick,New,https://www.ebay.com/itm/127595497867
Rickey Henderson 1991 Stadium Club Charter Member AL MVP! 2 Card Min! See Desc!,$0.99,"Sold Feb 21, 2026",N,,,N,Y,$0.00,grayssportscardsinc,New,https://www.ebay.com/itm/376978599693
1991 Stadium Club Charter Member Ryne Sandberg PSA 10 GEM MT HOF 1ec2,$70.40,"Sold Feb 19, 2026",Y,PSA,10,N,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/336434285465
1991 Topps Stadium Club Charter Member Eric Davis PSA/DNA Auto Autograph (Crack),$38.24,"Sold Feb 19, 2026",N,,,N,N,$0.00,threadminer,New,https://www.ebay.com/itm/127144081975
Rickey Henderson-1991 Topps Stadium Club Charter Member Oakland Athletics,$1.75,"Sold Feb 18, 2026",N,,,N,Y,$0.00,danpe2305,New,https://www.ebay.com/itm/287093583740
Nolan Ryan HOF Rangers Signed 1991 Stadium Club Charter Member AUTO BAS,$113.50,"Sold Feb 17, 2026",N,,,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/376954475598
