title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
Ken Griffey JR 1991 Stadium Club Card #270 PSA 10 GEM MINT Mariners HOF,$448.99,$8.30,"Sold Mar 15, 2026",thehobbycollect1,New,https://www.ebay.com/itm/227249986974,Y,PSA,10,N,Y,448.99,8.3,457.29,2026-03-15,bin,True,True,PSA,10.0,270
1991 Topps Stadium Club #270 Ken Griffey Jr Mariners HOF PSA 10 GEM MINT ICONIC,$360.75,$7.00,"Sold Mar 14, 2026",junk_in_our_trunk,New,https://www.ebay.com/itm/377014757213,Y,PSA,10,Y,N,360.75,7.0,367.75,2026-03-14,auction,False,True,PSA,10.0,270
1991 Topps Stadium Club #270 Ken Griffey Jr Mariners HOF PSA 10 GEM MINT,$423.00,$5.50,"Sold Feb 25, 2026",probstein123,New,https://www.ebay.com/itm/366210903948,Y,PSA,10,Y,N,423.0,5.5,428.5,2026-02-25,auction,False,True,PSA,10.0,270
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$299.95,$0.00,"Sold Feb 15, 2026",steelcitycollectibles1,New,https://www.ebay.com/itm/317877217124,Y,PSA,10,N,N,299.95,0.0,299.95,2026-02-15,bin,False,True,PSA,10.0,270
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,$0.00,"Sold Feb 13, 2026",steelcitycollectibles1,New,https://www.ebay.com/itm/317864196746,Y,PSA,10,N,N,285.95,0.0,285.95,2026-02-13,bin,False,True,PSA,10.0,270
Ken Griffey JR 1991 Stadium Club Card #270 Graded PSA 10 GEM MINT Mariners HOF,$449.95,$0.00,"Sold Feb 8, 2026",buttamin1,New,https://www.ebay.com/itm/403074490077,Y,PSA,10,N,N,449.95,0.0,449.95,2026-02-08,bin,False,True,PSA,10.0,270
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,$0.00,"Sold Feb 6, 2026",steelcitycollectibles1,New,https://www.ebay.com/itm/366143040403,Y,PSA,10,N,N,285.95,0.0,285.95,2026-02-06,bin,False,True,PSA,10.0,270
1991 Stadium Club Ken Griffey JR. #270 PSA 10,$399.00,$5.99,"Sold Feb 6, 2026",legacycardz777,New,https://www.ebay.com/itm/267547660170,Y,PSA,10,N,N,399.0,5.99,404.99,2026-02-06,bin,False,True,PSA,10.0,270
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,$0.00,"Sold Jan 21, 2026",steelcitycollectibles1,New,https://www.ebay.com/itm/236522436672,Y,PSA,10,N,N,285.95,0.0,285.95,2026-01-21,bin,False,True,PSA,10.0,270
