title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
Ken Griffey JR 1991 Stadium Club Card #270 PSA 10 GEM MINT Mariners HOF,$448.99,"Sold Mar 15, 2026",Y,PSA,10,N,Y,$8.30,thehobbycollect1,New,https://www.ebay.com/itm/227249986974
1991 Topps Stadium Club #270 Ken Griffey Jr Mariners HOF PSA 10 GEM MINT ICONIC,$360.75,"Sold Mar 14, 2026",Y,PSA,10,Y,N,$7.00,junk_in_our_trunk,New,https://www.ebay.com/itm/377014757213
1991 Topps Stadium Club #270 Ken Griffey Jr Mariners HOF PSA 10 GEM MINT,$423.00,"Sold Feb 25, 2026",Y,PSA,10,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/366210903948
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$299.95,"Sold Feb 15, 2026",Y,PSA,10,N,N,$0.00,steelcitycollectibles1,New,https://www.ebay.com/itm/317877217124
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,"Sold Feb 13, 2026",Y,PSA,10,N,N,$0.00,steelcitycollectibles1,New,https://www.ebay.com/itm/317864196746
Ken Griffey JR 1991 Stadium Club Card #270 Graded PSA 10 GEM MINT Mariners HOF,$449.95,"Sold Feb 8, 2026",Y,PSA,10,N,N,$0.00,buttamin1,New,https://www.ebay.com/itm/403074490077
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,"Sold Feb 6, 2026",Y,PSA,10,N,N,$0.00,steelcitycollectibles1,New,https://www.ebay.com/itm/366143040403
1991 Stadium Club Ken Griffey JR. #270 PSA 10,$399.00,"Sold Feb 6, 2026",Y,PSA,10,N,N,$5.99,legacycardz777,New,https://www.ebay.com/itm/267547660170
Ken Griffey Jr 1991 Topps Stadium Club Autograph Card #270 PSA/DNA 10 (Green),$285.95,"Sold Jan 21, 2026",Y,PSA,10,N,N,$0.00,steelcitycollectibles1,New,https://www.ebay.com/itm/236522436672
1991 Stadium Club #270 Ken Griffey Jr Seattle Mariners HOF PSA 10 GEM MINT,$370.00,"Sold Jan 15, 2026",Y,PSA,10,N,N,$7.90,blanketman1,New,https://www.ebay.com/itm/358081593886
