title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess,item_id,search_results_url,search_result_item_url,result_position_on_page,search_page_number,search_keywords,search_sort_order
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,N,,,N,Y,20.0,,20.0,,bin,True,False,,,,,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,1,1,1991 Stadium Club Baseball mark mcgwire #399,13
Mark McGwire Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Apr 1, 2026",disabled_vet,New,https://www.ebay.com/itm/115816784476?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10MC7G6EA002HHPX69&hash=item1af737e25c:g:IiEAAOSwAY5kcfKg&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAMDCEn5HnaU9Hvx9C%2BuSi59vzHaxs7K6hb3eiVwDUoQTs3tK%2FP5H3qfWhEj8oX7Bm5otXSdMCCL7L4NSAaKM6I90KDlE2wGTkkIJEzU4%2FVbSsEG%2Fp48BSBRlxvol6YB9usDfS1dza56XMdD5sAUDuXYKDfYPD6DRw5T9BqPcrUhdtfRBf09ZJjqoEcYDjNxIjBJywGSEgjL0o0lFar2ApPjOV0YHqn2wYGqiKs%2BsuK1QP8g%2FLk21GyaOO96lLImrAoP4di8DiMDkqQzej9WOzi23Bt2L4CW58fgheCDKnawA%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/IiEAAOSwAY5kcfKg/s-l500.webp,N,,,N,N,2.0,0.0,2.0,2026-04-01,bin,False,False,,2.0,00,115816784476,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/115816784476?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10MC7G6EA002HHPX69&hash=item1af737e25c:g:IiEAAOSwAY5kcfKg&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAMDCEn5HnaU9Hvx9C%2BuSi59vzHaxs7K6hb3eiVwDUoQTs3tK%2FP5H3qfWhEj8oX7Bm5otXSdMCCL7L4NSAaKM6I90KDlE2wGTkkIJEzU4%2FVbSsEG%2Fp48BSBRlxvol6YB9usDfS1dza56XMdD5sAUDuXYKDfYPD6DRw5T9BqPcrUhdtfRBf09ZJjqoEcYDjNxIjBJywGSEgjL0o0lFar2ApPjOV0YHqn2wYGqiKs%2BsuK1QP8g%2FLk21GyaOO96lLImrAoP4di8DiMDkqQzej9WOzi23Bt2L4CW58fgheCDKnawA%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,2,1,1991 Stadium Club Baseball mark mcgwire #399,13
1991 Stadium Club Baseball Cards 301-449 (NM) - Complete Your Set,$0.99,$0.69,"Sold Mar 31, 2026",rasmg311,New,https://www.ebay.com/itm/157550141459?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10RZ8JK1R9JP9B8ESK&hash=item24aeb86013:g:5N8AAeSwNI1pQyI0&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDdh%2B4%2BGNQ4kthSftniWCYSwTxBtbLAKvkJcy51NhwuUJCGUjuZKy5AF9M4vzq8sTps4JOXJ3z85lIcx9ZLGwkN6zmdjRKEiVZSjOododZiId91y%2FbRV%2BEw8%2Fdo1TtBLRw3W%2FgI%2B3IJHRJDwQQS%2BFgkVWuW0pe94eYNy3nAEiS5zbKu9K83KpqH5v5AInw5gdA8rbcEohA4iBpUJ3DT6M5myMefBwEjLiCMHOLDWJ0dwlhJCA%2BjGnr5riarPwxmUQ7YtoQbsGVlU%2Bfd50qZczuLP0Hvk5Ds8QSR5JUkvCZa17W%2BvTKG4kVfYxcQxhWyRPGhAoUfsEluIH%2FD8V6H6ohI%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/5N8AAeSwNI1pQyI0/s-l500.webp,N,,,N,N,0.99,0.69,1.68,2026-03-31,bin,False,False,,,301,157550141459,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/157550141459?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10RZ8JK1R9JP9B8ESK&hash=item24aeb86013:g:5N8AAeSwNI1pQyI0&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDdh%2B4%2BGNQ4kthSftniWCYSwTxBtbLAKvkJcy51NhwuUJCGUjuZKy5AF9M4vzq8sTps4JOXJ3z85lIcx9ZLGwkN6zmdjRKEiVZSjOododZiId91y%2FbRV%2BEw8%2Fdo1TtBLRw3W%2FgI%2B3IJHRJDwQQS%2BFgkVWuW0pe94eYNy3nAEiS5zbKu9K83KpqH5v5AInw5gdA8rbcEohA4iBpUJ3DT6M5myMefBwEjLiCMHOLDWJ0dwlhJCA%2BjGnr5riarPwxmUQ7YtoQbsGVlU%2Bfd50qZczuLP0Hvk5Ds8QSR5JUkvCZa17W%2BvTKG4kVfYxcQxhWyRPGhAoUfsEluIH%2FD8V6H6ohI%7Ctkp%3ABk9SR-bA1sOqZw,3,1,1991 Stadium Club Baseball mark mcgwire #399,13
A1126- 1991 Stadium Club BB Cards 201-400 +Rookies -You Pick- 15+ FREE US SHIP,$0.99,$0.98,"Sold Mar 31, 2026",richindeals7,New,https://www.ebay.com/itm/334116947983?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10WMMCGRQR6BX7JYH1&hash=item4dcaec080f:g:-WAAAOSwT1RhHAYu&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDQPmZMyIQu3b%2Br2sfQhF%2FBWlJ34JhDRrKPUnKB1tTJ3C6T3ICkokoCDudlyz6LYE2%2BAry4C7BEPW9XSdM7%2FzNbGW8pwtYcPO%2B7nxKaOxfVBF8ef5BcmsoCy524Npi32evnd1OcxsV1rsExm%2F1kILHktYw7o9CswI4jG5GX4gXh%2B8Uf6PUoX8gENazGVHUpj%2B%2B5d%2Bi34yljCaehnmH9NYnaAfSdCyz%2Fn43acU8FUJLNdHRTdrjyFV2OIu8VMLIUK0z7pBUBgZgQEGllP0szgmnWMggiPTO%2BhdlI5UXHHwy7eQ%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/-WAAAOSwT1RhHAYu/s-l500.webp,N,,,N,N,0.99,0.98,1.97,2026-03-31,bin,False,False,,,A1126,334116947983,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/334116947983?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM10WMMCGRQR6BX7JYH1&hash=item4dcaec080f:g:-WAAAOSwT1RhHAYu&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDQPmZMyIQu3b%2Br2sfQhF%2FBWlJ34JhDRrKPUnKB1tTJ3C6T3ICkokoCDudlyz6LYE2%2BAry4C7BEPW9XSdM7%2FzNbGW8pwtYcPO%2B7nxKaOxfVBF8ef5BcmsoCy524Npi32evnd1OcxsV1rsExm%2F1kILHktYw7o9CswI4jG5GX4gXh%2B8Uf6PUoX8gENazGVHUpj%2B%2B5d%2Bi34yljCaehnmH9NYnaAfSdCyz%2Fn43acU8FUJLNdHRTdrjyFV2OIu8VMLIUK0z7pBUBgZgQEGllP0szgmnWMggiPTO%2BhdlI5UXHHwy7eQ%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,4,1,1991 Stadium Club Baseball mark mcgwire #399,13
Mark McGwire cards (1988-1998) A's Cardinals - You Choose,$0.99,$0.75,"Sold Mar 29, 2026",sjosing,New,https://www.ebay.com/itm/376550402247?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11QM1GXN9FSA0XHW03&hash=item57ac2728c7:g:cVYAAeSw6jNoxxsK&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCo6tV%2FGVGYzFkZjWcAddTMtIRPZvnE7%2FEG%2Buin0BNXKvsG70aSdMxQss6cEYwhbqz6oRXMWH2WlLFDSMy2BR7f5zhOIYSjwFz54IOOerONEPncUMhodCwVwK4GupK0lNAtKmNGiMDZvs5UozICTfro51hn4uJ9qqqZtosZrc5voDaOOie1ew1k1JGxsOrn3xmbe9byoucHfUran8q%2Bsx%2FshJxbBA1rfTdg%2B%2FK0FSt%2Bp%2BVlOC4Ybo6fZzcI9nxEPehp19QBkIIxQGKmBT141v21zC%2B3kL%2BsiMnR8hiTIr1Row%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/cVYAAeSw6jNoxxsK/s-l500.webp,N,,,N,N,0.99,0.75,1.74,2026-03-29,bin,False,False,,,,376550402247,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/376550402247?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11QM1GXN9FSA0XHW03&hash=item57ac2728c7:g:cVYAAeSw6jNoxxsK&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCo6tV%2FGVGYzFkZjWcAddTMtIRPZvnE7%2FEG%2Buin0BNXKvsG70aSdMxQss6cEYwhbqz6oRXMWH2WlLFDSMy2BR7f5zhOIYSjwFz54IOOerONEPncUMhodCwVwK4GupK0lNAtKmNGiMDZvs5UozICTfro51hn4uJ9qqqZtosZrc5voDaOOie1ew1k1JGxsOrn3xmbe9byoucHfUran8q%2Bsx%2FshJxbBA1rfTdg%2B%2FK0FSt%2Bp%2BVlOC4Ybo6fZzcI9nxEPehp19QBkIIxQGKmBT141v21zC%2B3kL%2BsiMnR8hiTIr1Row%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,5,1,1991 Stadium Club Baseball mark mcgwire #399,13
1991 MARK MCGWIRE Topps Stadium Club #399 Oakland Athletics (1813),$1.59,$0.00,"Sold Mar 25, 2026",gwaltneyenterprises,New,https://www.ebay.com/itm/197462198463?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM115WVNZR701JAJADGP&hash=item2df9aa08bf:g:V50AAOSwbJ5oVuhL&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCqN6V2w7C4QJQULq%2BvdWHbOy%2Bm2Su%2FyfWPpJtM7CuBkn0uhWncNxKlzgnf82AO1ESsZRCJt8e4hDe4D8fNqeYquzjOQ0rNbsR6W6vB9%2B3s4Uli4LrIHlXzaYZh13zKQsQxvQjbQf05G6YszW5bJUrzMXdaQdOKpyIa9qpaoElY2vGv7JsJD994MPPKhUQIXUI7gCE3ScV0xWDAtXV60bhI2UAtL%2F3yEm%2BaZazlyi1YUi82qTXlfWIfCKjIfNblF0wfJKMq4CMVNKokTyLTPeUvLvuVkEsnznWASVQV42MQ8g%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/V50AAOSwbJ5oVuhL/s-l500.webp,N,,,N,N,1.59,0.0,1.59,2026-03-25,bin,False,False,,,399,197462198463,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/197462198463?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM115WVNZR701JAJADGP&hash=item2df9aa08bf:g:V50AAOSwbJ5oVuhL&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCqN6V2w7C4QJQULq%2BvdWHbOy%2Bm2Su%2FyfWPpJtM7CuBkn0uhWncNxKlzgnf82AO1ESsZRCJt8e4hDe4D8fNqeYquzjOQ0rNbsR6W6vB9%2B3s4Uli4LrIHlXzaYZh13zKQsQxvQjbQf05G6YszW5bJUrzMXdaQdOKpyIa9qpaoElY2vGv7JsJD994MPPKhUQIXUI7gCE3ScV0xWDAtXV60bhI2UAtL%2F3yEm%2BaZazlyi1YUi82qTXlfWIfCKjIfNblF0wfJKMq4CMVNKokTyLTPeUvLvuVkEsnznWASVQV42MQ8g%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,6,1,1991 Stadium Club Baseball mark mcgwire #399,13
Mark McGwire Baseball Cards **You Pick** A's/Cardinals. Rev 11/21,$1.39,$0.19,"Sold Mar 16, 2026",bezimm_59,New,https://www.ebay.com/itm/404243520490?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11K9YG1CPSFRG667EE&hash=item5e1eca9bea:g:c-kAAOSwl8hkN19W&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCLAmhtMiO035Jt1B7kUS6MJEQO%2FAaPYHpNZ3%2BMR5u4zQZ6SgFPRkHgR%2BBF1d9eSpFJTVVFXz1F9xUJXuql6BI3aZdkOWdk8KX1H%2FNfHvup4LAGGDN1QhfE9nh3tosjMrGYbjpO3sl7rWXotbpf8wgaLCLkXtS1JCR%2Bd8R0XwpBi21iBiaexzFRjojsJD4NC14ARkGM%2BG4D7cFb7ryzxckZ2sXQ92p6IQAdYsRHF2u7brickcJZFWMl98zOWtnMKccKKbwsTIqk5ilb61kclwkveL6OHSnNQOdJNfkxvGhygo5AYJYz9efS0mtTa5wJQcW%2BgK1dyGSXAZlHr8zOcza1%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/c-kAAOSwl8hkN19W/s-l500.webp,N,,,N,N,1.39,0.19,1.58,2026-03-16,bin,False,False,,,11,404243520490,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/404243520490?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11K9YG1CPSFRG667EE&hash=item5e1eca9bea:g:c-kAAOSwl8hkN19W&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCLAmhtMiO035Jt1B7kUS6MJEQO%2FAaPYHpNZ3%2BMR5u4zQZ6SgFPRkHgR%2BBF1d9eSpFJTVVFXz1F9xUJXuql6BI3aZdkOWdk8KX1H%2FNfHvup4LAGGDN1QhfE9nh3tosjMrGYbjpO3sl7rWXotbpf8wgaLCLkXtS1JCR%2Bd8R0XwpBi21iBiaexzFRjojsJD4NC14ARkGM%2BG4D7cFb7ryzxckZ2sXQ92p6IQAdYsRHF2u7brickcJZFWMl98zOWtnMKccKKbwsTIqk5ilb61kclwkveL6OHSnNQOdJNfkxvGhygo5AYJYz9efS0mtTa5wJQcW%2BgK1dyGSXAZlHr8zOcza1%7Ctkp%3ABk9SR-bA1sOqZw,7,1,1991 Stadium Club Baseball mark mcgwire #399,13
1991 Topps Stadium Club Missing Foil Mark McGwire #399 BGS 9 MINT 0j6,$31.30,$4.99,"Sold Mar 15, 2026",comc_consignment,New,https://www.ebay.com/itm/257369126618?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=6055932064&itmmeta=01KNA3NM118ACDMA3XJR28DMNS&hash=item3bec6536da:g:mUsAAeSwfVxpl9nj&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBJEK31DVAxs7eJPQKXpGKg9Wt7ZYmpDvPdbjtgkZSdpsZuTXNDXG08HeZOhvWZ0iO2FLdI9WdS2bvnxI4BT7x6VGjn8t0Y4%2BptSUem3f7bYPvnNFiQj8fBrlMMHA0gqYofj5xLu74yverAB8vz4JxTdU9Vo4e7S8GBaEIBrpVBYyeFnj8KJwW570TuFcQjgTQ81uC%2Fqfi5F77zZ7IqH%2FQ5LEFN2PPJLuqbf%2BhayqENcrt82Tb8cleJkySXPHrTLAt3Nt4fC%2ByVaFjTs%2BR0YB7kUPZdwb9AzL6im%2B5QA6Hyund54s4zJWRvZic6pmCRi00j1x7Pe4ts9o3DykgHctOE%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/mUsAAeSwfVxpl9nj/s-l500.webp,Y,BGS,9,N,N,31.3,4.99,36.29,2026-03-15,bin,False,True,BGS,9.0,399,257369126618,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/257369126618?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=6055932064&itmmeta=01KNA3NM118ACDMA3XJR28DMNS&hash=item3bec6536da:g:mUsAAeSwfVxpl9nj&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBJEK31DVAxs7eJPQKXpGKg9Wt7ZYmpDvPdbjtgkZSdpsZuTXNDXG08HeZOhvWZ0iO2FLdI9WdS2bvnxI4BT7x6VGjn8t0Y4%2BptSUem3f7bYPvnNFiQj8fBrlMMHA0gqYofj5xLu74yverAB8vz4JxTdU9Vo4e7S8GBaEIBrpVBYyeFnj8KJwW570TuFcQjgTQ81uC%2Fqfi5F77zZ7IqH%2FQ5LEFN2PPJLuqbf%2BhayqENcrt82Tb8cleJkySXPHrTLAt3Nt4fC%2ByVaFjTs%2BR0YB7kUPZdwb9AzL6im%2B5QA6Hyund54s4zJWRvZic6pmCRi00j1x7Pe4ts9o3DykgHctOE%7Ctkp%3ABk9SR-bA1sOqZw,8,1,1991 Stadium Club Baseball mark mcgwire #399,13
"1991 Stadium Club Baseball #1-600 HOF/Stars/RC You Pick ($0.75 Buy 3,Get 1 FREE)",$0.75,$1.25,"Sold Mar 15, 2026",bestinbbcards,New,https://www.ebay.com/itm/197954169845?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM118MKDEJC89HRJ6H5B&hash=item2e16fcebf5:g:YjcAAeSwMEJpQhsO&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDNKFgTcCfaFag4a58iSEhPJCDnRnGSXrTulagfd5XFOThIWRyZVTaYDYv9fjovS908PssV2HCi4iojTWaCFDxJ2gDp%2BmcDRdu%2BJEKYmrP1xkI3t1K2mPjl1g9iKrKtDiN8MAkXu%2BEkgfaW0hbPwzi0m9ClwNNXl81WaUlKt83JS1Y66%2B9YAygHiOHz%2FaFchZPYYP0V%2Flp55f4hvtmmHEei2tUTFcWQHtpNyGLoTCb2bOQ1sA6plQUAj2%2F7BWQgyUgKs7TfwsQAQ6OshwPVzBCNp4MXzQVM4hFf5bnYeBHc%2ByUeWaXcgo3HK9gECqwL78%2BcwYRLjhxZlh5gNVn7K%2FRh%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/YjcAAeSwMEJpQhsO/s-l500.webp,N,,,N,N,0.75,1.25,2.0,2026-03-15,bin,False,False,,1.0,600,197954169845,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/197954169845?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM118MKDEJC89HRJ6H5B&hash=item2e16fcebf5:g:YjcAAeSwMEJpQhsO&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDNKFgTcCfaFag4a58iSEhPJCDnRnGSXrTulagfd5XFOThIWRyZVTaYDYv9fjovS908PssV2HCi4iojTWaCFDxJ2gDp%2BmcDRdu%2BJEKYmrP1xkI3t1K2mPjl1g9iKrKtDiN8MAkXu%2BEkgfaW0hbPwzi0m9ClwNNXl81WaUlKt83JS1Y66%2B9YAygHiOHz%2FaFchZPYYP0V%2Flp55f4hvtmmHEei2tUTFcWQHtpNyGLoTCb2bOQ1sA6plQUAj2%2F7BWQgyUgKs7TfwsQAQ6OshwPVzBCNp4MXzQVM4hFf5bnYeBHc%2ByUeWaXcgo3HK9gECqwL78%2BcwYRLjhxZlh5gNVn7K%2FRh%7Ctkp%3ABk9SR-bA1sOqZw,9,1,1991 Stadium Club Baseball mark mcgwire #399,13
1991 Stadium Club #399 Mark McGwire Oakland Athletics,$1.65,$0.00,"Sold Mar 14, 2026",bills_card_corner,New,https://www.ebay.com/itm/297696173188?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11A1WM92GE54GWKWCK&hash=item4550131c84:g:~tIAAeSwJQJo9QUo&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBLQgXXE8dogGS5PZw6zGp18ajxu%2B%2FiEPv55LInme0wkKh5n6U9Iqth%2BOYZMrO%2BzQ0vSgJILw26xelY%2FT8Sbzc1QkBv1uGlkU%2FuWcoy0amPvMocainOOPyxecJORAfwW7DJOwXdrXY8e0XWS3aGAvjOy70WT5s3swUA3CjlAiDlTc3AD8jtYFk97GXax74KBKE4DgRjUz2l6OFiixiVbVoKAdq%2FUAbO0nETPQwqbFZ6ARzNAJnE6NzBt2rjnk0%2BYljfthy31ymehPuRpYtJznzaJrlRi9%2BWVXX5ui4bEfPRTg%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,https://i.ebayimg.com/images/g/~tIAAeSwJQJo9QUo/s-l500.webp,N,,,N,N,1.65,0.0,1.65,2026-03-14,bin,False,False,,,399,297696173188,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/297696173188?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11A1WM92GE54GWKWCK&hash=item4550131c84:g:~tIAAeSwJQJo9QUo&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBLQgXXE8dogGS5PZw6zGp18ajxu%2B%2FiEPv55LInme0wkKh5n6U9Iqth%2BOYZMrO%2BzQ0vSgJILw26xelY%2FT8Sbzc1QkBv1uGlkU%2FuWcoy0amPvMocainOOPyxecJORAfwW7DJOwXdrXY8e0XWS3aGAvjOy70WT5s3swUA3CjlAiDlTc3AD8jtYFk97GXax74KBKE4DgRjUz2l6OFiixiVbVoKAdq%2FUAbO0nETPQwqbFZ6ARzNAJnE6NzBt2rjnk0%2BYljfthy31ymehPuRpYtJznzaJrlRi9%2BWVXX5ui4bEfPRTg%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,10,1,1991 Stadium Club Baseball mark mcgwire #399,13
