price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note,item_id,search_results_url,search_result_item_url,result_position_on_page,search_page_number,search_keywords,search_sort_order
1.59,0.0,1.59,2026-03-25,bin,False,399,,,1991 MARK MCGWIRE Topps Stadium Club #399 Oakland Athleti...,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,197462198463,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/197462198463?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM115WVNZR701JAJADGP&hash=item2df9aa08bf:g:V50AAOSwbJ5oVuhL&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCqN6V2w7C4QJQULq%2BvdWHbOy%2Bm2Su%2FyfWPpJtM7CuBkn0uhWncNxKlzgnf82AO1ESsZRCJt8e4hDe4D8fNqeYquzjOQ0rNbsR6W6vB9%2B3s4Uli4LrIHlXzaYZh13zKQsQxvQjbQf05G6YszW5bJUrzMXdaQdOKpyIa9qpaoElY2vGv7JsJD994MPPKhUQIXUI7gCE3ScV0xWDAtXV60bhI2UAtL%2F3yEm%2BaZazlyi1YUi82qTXlfWIfCKjIfNblF0wfJKMq4CMVNKokTyLTPeUvLvuVkEsnznWASVQV42MQ8g%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,6,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.65,0.0,1.65,2026-03-14,bin,False,399,,,1991 Stadium Club #399 Mark McGwire Oakland Athletics,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,297696173188,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/297696173188?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11A1WM92GE54GWKWCK&hash=item4550131c84:g:~tIAAeSwJQJo9QUo&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBLQgXXE8dogGS5PZw6zGp18ajxu%2B%2FiEPv55LInme0wkKh5n6U9Iqth%2BOYZMrO%2BzQ0vSgJILw26xelY%2FT8Sbzc1QkBv1uGlkU%2FuWcoy0amPvMocainOOPyxecJORAfwW7DJOwXdrXY8e0XWS3aGAvjOy70WT5s3swUA3CjlAiDlTc3AD8jtYFk97GXax74KBKE4DgRjUz2l6OFiixiVbVoKAdq%2FUAbO0nETPQwqbFZ6ARzNAJnE6NzBt2rjnk0%2BYljfthy31ymehPuRpYtJznzaJrlRi9%2BWVXX5ui4bEfPRTg%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,10,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.59,0.0,1.59,2026-03-09,bin,True,399,,,1991 Topps Stadium Club Mark McGwire #399 A's,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,267306814870,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/267306814870?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11X9ARQJ193XX2JRZ2&hash=item3e3cba4d96:g:F6EAAeSwt4NoYJG0&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCcVBwcVTvdalFDkzDQwpw3N1AwK%2FUnkGgsqIS0X4xZ1Cal5TQhLBD3DwjZ%2BnrZNxRCBUgruJbIetxMx%2FuTE6O4cWafEG8jWytf%2BPcrJXnUPuD83Bj4cDgzrKE%2Bnr%2FIaPCq2qzAlt4ss4R98PwV0DXlkxsjXLxpsNcR2PvW5hlO4hNyQFFG2E4miGt98TxFKn9w2sXghHtKGVtDkc3xIvTjNXZDgR%2FyDRo0shK5SEexIELZxdeDQsmqiHBxhQX5wXH23Giq4G050CKcK1es2ifbJLg4F6OjoTQ7Om7OwAlxb2eintJuKYtbP%2Bojdk--CqdjNGWnhKEWMtOLnuyGbvI7%7Ctkp%3ABk9SR-bA1sOqZw,13,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.43,2.15,3.58,2026-02-22,bin,True,399,,,1991 TOPPS STADIUM CLUB BASEBALL #399 MARK MCGWIRE,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,227226420603,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/227226420603?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&itmmeta=01KNA3NM115DPS63XZKGAF530J&hash=item34e7c0057b:g:TXkAAeSw1KlpmT2x&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA3qzyGg2ASJKlSfUc6pTFG585f9%2BgAvXDF9O93Lrx9qrtqNwDOhSt4c7fqgC6g92wVgPlVVMMZ3gECgU1UbNwjKrgcOT13PgcdvQ9zX3cexgCy3gQBWzAvJPKhsDqq17Awihv3x2pgDQa9Mq3zSRniXTwvQxzYnMOEuGelA3vJNacGesqOx0mFfAPYs17KKNVmE6YiMfieSfDIjRVifKjnj5V%2Ff4FcK%2FzhdMKRg2V%2Bm%2BBW7otRnSrOFUKAqzxmudwHvQVglQK0I9KOvR9UgFQ9uFyf76y7lxWH3ilXhLf%2BPw%3D%3D%7Ctkp%3ABk9SR-bA1sOqZw,14,1,1991 Stadium Club Baseball mark mcgwire #399,13
0.99,0.95,1.94,2026-03-06,bin,False,399,,,1991 Topps Stadium Club #399 Mark McGwire Oakland Athleti...,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,364176639141,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/364176639141?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM11FJSB9RMHQQKJP1EX&hash=item54ca9e84a5:g:O9UAAOSwRRpgQtP-&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDft%2FyF4k4I4DJ1v8e784ihKNdceU%2Bsv5%2Fs4bEVkTzqGGUPsCygO%2FfHbqhxYKNGOvYDjBH0reoHg0n0zBrFvnvS2WL6zC2EQKYS1aW41myzP9YIdljQkbSWTc2BSVTX61xqcUoG7RNjMcx8365SoMXXgie8vQZGMBhKjCuH5Ut5qgu9Fv8ZN4Zt4rrSh5lMRX4c%2Fxuka3x21FhqudcgJdxtvWoZx2xe1ZhMdnYxGromHPlQsGNwGh6xmf6IlVhMdlxZ3r25PhBDEQVgMe6r0iQ2u4zwhWSnWP4ck2TKK9y8sg%3D%3D%7Ctkp%3ABk9SR-jA1sOqZw,16,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.59,0.0,1.59,2026-03-01,bin,False,399,,,MARK MCGWIRE ATHLETICS 1991 TOPPS STADIUM CLUB BASE CARD ...,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,157682145712,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/157682145712?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM116RWPYCAM848GHV4X&hash=item24b69699b0:g:QFUAAeSwo7hpkKVo&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDSzKDzf32M1cFCd5v3Zd76SACnyUTNmhkTdcA6DbcI%2FkciCCiJj7wpnUi5DWVaoec%2BwXXVJau1a2GZu5ovr9S6yj3SMNrisHpE9Ow441FJYj15hDeAazLph%2B6gD22Pgw15gl4JdC8izgCgdB%2F%2BhTrnmkKf8osGd1YsyCYNzoHRHE7%2FzjNVSz2He%2F203vdFkfc611I3FpKjunE%2BGZN8yTMxTa2NmowNdkbJ%2FL4F2xOR8f3zgBOBC9IuHHiMSj668SHItP40Jp1ZLHu2ZcKcakLLVPL98VDhR97f85PtPMw6dA%3D%3D%7Ctkp%3ABk9SR-jA1sOqZw,17,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.25,0.0,1.25,2026-02-21,bin,True,399,,,1991 Stadium Club Baseball #399 Mark McGwire - VG - Oakla...,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,336417956963,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/336417956963?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM129G95KG5TKP9RH0EX&hash=item4e5412a463:g:EZcAAeSwLU1pgP1h&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBMNajxSG1bVhWt0M3doteED%2BqDWBfVE1FSHxM95MNHvs7yLy7SWfg958hZyq7gaeipCpz%2BguZSzdSEn22xoi8H0rDqi8yz7wXocgPk3wD%2Fevp6V2XcRaPHQO61uuZUUmAs05nIZ%2FJgysBsPvbEaNcATlpGpuPrSkgHn%2FFAiLMPlnFWOgPM7cezCIWUUSI%2B%2BuVKhJPMLPsRwsYVHUzyFfWlQdNC8%2BEB7B9K2ie39iY9Fs%2F1m6Eu4%2Bei0squkwZidb5YBM%2FRv7n9A87u1hgh%2BbGIL5no2JijHLrPCZnMss2%2FCHVqnfR%2FuP7zv3j4PIHfsWV2XMEJHR6Pj5Q%2BnXeyRYJe%7Ctkp%3ABk9SR-jA1sOqZw,20,1,1991 Stadium Club Baseball mark mcgwire #399,13
1.59,0.74,2.33,2026-02-05,bin,True,399,,,1991 Stadium Club #399 Mark McGwire Oakland Athletics,eBay Raw,$2-$2-$2,eBay Raw | raw only | 8 comps,147138907590,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/147138907590?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM12GTFVMMV1J38VXTXQ&hash=item2242298dc6:g:SwMAAeSwgdNphQS0&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBx8GjoJG7X5%2BpxcGA%2FEbtzIiofzkWQ8P6s4l%2BE0PxUGt%2BY2GazaopXqyUzco6t7a3MAN0R7DhCRbyJUDoGPz0kesbDoQ1pXsI0V4b5n1UI%2FHC3STIA54q8eDkbEEVWFzskvp0WC53nVlUZhWatmWpeGWoQesKkguL1YVXAaZZPZ7j9CZ13lJw%2BADQYr3nuDPVHcbApksBJYuSTYpjROcUdxC8quSjCa9UnRSJtW4pjeKfqjc57EyRxa4cUNjVPMRjU7EzlFfLiTUbXZvAxmXV%2FF6BHZYd1m0CiJtpZBZsoJ1arAJcWGTVzGiljzFI80%2FvAHFiCLGWEzkaTmr1q2qs2%7Ctkp%3ABk9SR-jA1sOqZw,22,1,1991 Stadium Club Baseball mark mcgwire #399,13
31.3,4.99,36.29,2026-03-15,bin,False,399,BGS,9.0,1991 Topps Stadium Club Missing Foil Mark McGwire #399 BG...,eBay BGS 9,$36-$33-$33,eBay BGS 9 | 1 comp,257369126618,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/257369126618?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=6055932064&itmmeta=01KNA3NM118ACDMA3XJR28DMNS&hash=item3bec6536da:g:mUsAAeSwfVxpl9nj&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xBJEK31DVAxs7eJPQKXpGKg9Wt7ZYmpDvPdbjtgkZSdpsZuTXNDXG08HeZOhvWZ0iO2FLdI9WdS2bvnxI4BT7x6VGjn8t0Y4%2BptSUem3f7bYPvnNFiQj8fBrlMMHA0gqYofj5xLu74yverAB8vz4JxTdU9Vo4e7S8GBaEIBrpVBYyeFnj8KJwW570TuFcQjgTQ81uC%2Fqfi5F77zZ7IqH%2FQ5LEFN2PPJLuqbf%2BhayqENcrt82Tb8cleJkySXPHrTLAt3Nt4fC%2ByVaFjTs%2BR0YB7kUPZdwb9AzL6im%2B5QA6Hyund54s4zJWRvZic6pmCRi00j1x7Pe4ts9o3DykgHctOE%7Ctkp%3ABk9SR-bA1sOqZw,8,1,1991 Stadium Club Baseball mark mcgwire #399,13
18.0,5.5,23.5,2026-02-17,bin,False,399,PSA,9.0,"1991 Stadium Club baseball card, #399, Mark McGwire, PSA-...",eBay PSA 9,$24-$21-$21,eBay PSA 9 | 1 comp,177746993531,https://www.ebay.com/sch/i.html?_nkw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&LH_Sold=1&LH_Complete=1&_sop=13,https://www.ebay.com/itm/177746993531?_skw=1991+Stadium+Club+Baseball+mark+mcgwire+%23399&epid=12055875461&itmmeta=01KNA3NM12PY3VMMFTNG2GMD1F&hash=item29628be17b:g:8goAAeSwCm5pUU0H&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCjaLhKONXWL3%2FCM1C0qRNFRxV%2B4TSowj44T9m6ONYfi1mp%2F0s9H3EePoETaHSNz0EXr3WoMFUiR9%2FID1asDS8x9K%2BHngUFzaPKdLfmmnfDAYntYqA7wvygEQx%2F6VWbkl5j9Ura5xMpl0PE%2F6Yyliu%2BgHvek%2BtDSgOEY3jMXb3%2BVy9%2B2Y3a%2Bwurc1yKGmD5GmMva5UkgtlAdAF7UsF3pWxq4%2BaGd1HEklWvmJjHUllA%2FjK6L%2FKcpbs3ybeynHpaPBOkJYS8X4dbU4swe86HJaz9GfSMqN5cSQAmpmt9VJoEJ2IJF2hwKnMf3r0qcp9ThOVqU%2BjshhzczjcyFzpsfrg6%7Ctkp%3ABk9SR-jA1sOqZw,21,1,1991 Stadium Club Baseball mark mcgwire #399,13
