title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 Stadium Club Members Only - Rickey Henderson - Lot Of 25 Cards,$8.00,$6.50,"Sold Mar 16, 2026",cjmayvi68,New,https://www.ebay.com/itm/127661580801,N,,,N,N,8.0,6.5,14.5,2026-03-16,bin,False,False,,,25
Lot of 7 Packs - 1991 & 1992 Topps Stadium Club Members Only Packs - 5 Unopened,$7.99,$6.49,"Sold Mar 15, 2026",hers_6291,Brand New,https://www.ebay.com/itm/287132726007,N,,,N,Y,7.99,6.49,14.48,2026-03-15,bin,True,False,,7.0,
1991-92 Topps Stadium Club Members Only Lot Set Unique 90's,$0.99,$8.72,"Sold Mar 15, 2026",jdogden,Brand New,https://www.ebay.com/itm/257392080842,N,,,Y,N,0.99,8.72,9.71,2026-03-15,auction,False,False,,,92
1991 Topps Stadium Club Members Only - Paul Molitor - Milwaukee Brewers,$1.11,$0.00,"Sold Mar 14, 2026",alicensattic,New,https://www.ebay.com/itm/127545530359,N,,,N,Y,1.11,0.0,1.11,2026-03-14,bin,True,False,,,
ATHLETICS A'S RICKEY HENDERSON 1991 TOPPS STADIUM CLUB MEMBERS ONLY CARD,$0.99,$1.00,"Sold Mar 14, 2026",kjmortgage,New,https://www.ebay.com/itm/298066354078,N,,,N,Y,0.99,1.0,1.99,2026-03-14,bin,True,False,,,
1991 Stadium Club Members Only #NNO Cal Ripken Baltimore Orioles,$1.50,$0.00,"Sold Mar 13, 2026",theshow37,New,https://www.ebay.com/itm/177409583506,N,,,N,Y,1.5,0.0,1.5,2026-03-13,bin,True,False,,,
1991 Stadium Club Members Only Cecil Fielder/Jose Canseco Oakland Athletics 🔥,$3.00,$0.00,"Sold Mar 13, 2026",powercouplecollections,New,https://www.ebay.com/itm/317990329171,N,,,N,Y,3.0,0.0,3.0,2026-03-13,bin,True,False,,,
"1991 Topps Stadium Club Members Only - Jose Canseco, Cecil Fielder (MBB)",$2.00,$0.74,"Sold Mar 13, 2026",brru-98,New,https://www.ebay.com/itm/298083746874,N,,,N,Y,2.0,0.74,2.74,2026-03-13,bin,True,False,,,
1991 Topps Stadium Club Members Only Nolan Ryan RANGERS HOF,$3.50,$0.00,"Sold Mar 13, 2026",bds-sportscards11,New,https://www.ebay.com/itm/296057113510,N,,,N,N,3.5,0.0,3.5,2026-03-13,bin,False,False,,,
1991 Topps Stadium Club Members Only Tommy Greene 0c4,$0.99,$4.99,"Sold Mar 13, 2026",comc_consignment,New,https://www.ebay.com/itm/236635548857,N,,,N,N,0.99,4.99,5.98,2026-03-13,bin,False,False,,,
NOLAN RYAN 1991 STADIUM CLUB MEMBERS ONLY #200 TEXAS RANGERS,$1.50,$1.00,"Sold Mar 13, 2026",hbcsportscards,New,https://www.ebay.com/itm/326809265190,N,,,N,N,1.5,1.0,2.5,2026-03-13,bin,False,False,,,200
1991 Stadium Club Members Only Nolan Ryan Texas Rangers #200,$3.99,$0.00,"Sold Mar 13, 2026",swami-lee,New,https://www.ebay.com/itm/355831656833,N,,,N,N,3.99,0.0,3.99,2026-03-13,bin,False,False,,,200
1991 Topps Stadium Club Chuck Knoblauch Rookie Members Only Minnesota Twins RC,$2.09,$0.00,"Sold Mar 12, 2026",erikscardsandgames,New,https://www.ebay.com/itm/136100578735,N,,,N,N,2.09,0.0,2.09,2026-03-12,bin,False,False,,,
Paul Molitor cards (1987-2022) Brewers Twins Blue Jays - You Choose,$0.99,$0.75,"Sold Mar 11, 2026",sjosing,New,https://www.ebay.com/itm/388968605063,N,,,N,N,0.99,0.75,1.74,2026-03-11,bin,False,False,,,
Topps Stadium Club Members Only Charter Member 1991 Key Chain New Never Used,$0.99,$5.49,"Sold Mar 11, 2026",detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306801097703,N,,,N,N,0.99,5.49,6.48,2026-03-11,bin,False,False,,,
1991 Topps Stadium Club Charter Member Box Set Nolan Ryan Medallion Members Only,$12.00,$6.09,"Sold Mar 11, 2026",man,New,https://www.ebay.com/itm/227163638275,N,,,N,N,12.0,6.09,18.09,2026-03-11,bin,False,False,,,
1991 Stadium Club Members Only #10 Orioles No-Hitter/Bob Milacki/Mike Flanagan,$0.99,$1.50,"Sold Mar 10, 2026",1967dew,New,https://www.ebay.com/itm/236567943825,N,,,N,N,0.99,1.5,2.49,2026-03-10,bin,False,True,,10.0,
Nolan Ryan Stadium Club Members Only Commemorative Medallion New 50 Lot,$40.00,$0.00,"Sold Mar 10, 2026",detroitcitycollectibles,Brand New,https://www.ebay.com/itm/306814201179,N,,,N,N,40.0,0.0,40.0,2026-03-10,bin,False,False,,,50
Nolan Ryan Stadium Club Members Only Commemorative Medallion New In Box,$2.75,$5.51,"Sold Mar 10, 2026",detroitcitycollectibles,New,https://www.ebay.com/itm/306758719856,N,,,N,Y,2.75,5.51,8.26,2026-03-10,bin,True,False,,,
1991 Stadium Club Members Only #6 Paul Molitor - BB,$0.99,$1.50,"Sold Mar 10, 2026",1967dew,New,https://www.ebay.com/itm/376841589045,N,,,N,N,0.99,1.5,2.49,2026-03-10,bin,False,False,,6.0,
1991 Stadium Club Members Only #5 Denny Martinez - BB,$0.99,$1.50,"Sold Mar 10, 2026",1967dew,New,https://www.ebay.com/itm/236567943827,N,,,N,N,0.99,1.5,2.49,2026-03-10,bin,False,False,,5.0,
1991 Stadium Club Members Only Cal Ripken Jr. – Orioles HOF,$1.64,$0.00,"Sold Oct 9, 2025",gottahavethecards,New,https://www.ebay.com/itm/297609110922,N,,,N,Y,1.64,0.0,1.64,2025-10-09,bin,True,False,,,
Rickey Henderson Baseball Cards - You Pick - A's Yankees Mets Jays Sox - Part 2,$1.99,$0.00,"Sold Mar 9, 2026",bestseller20_7,New,https://www.ebay.com/itm/317024362513,N,,,N,N,1.99,0.0,1.99,2026-03-09,bin,False,False,,2.0,
1991 Topps Stadium Club Charter Members Only Nolan Ryan Bronze Medallion Set,$5.50,$6.87,"Sold Mar 9, 2026",nostalgictreasures2079,New,https://www.ebay.com/itm/366240627933,N,,,Y,N,5.5,6.87,12.37,2026-03-09,auction,False,False,,,
Nolan Ryan Base/Inserts - You Pick - $2.00 or 2 Card Minimum,$2.00,$0.00,"Sold Mar 8, 2026",disabled_vet,New,https://www.ebay.com/itm/116160962053,N,,,N,N,2.0,0.0,2.0,2026-03-08,bin,False,False,,2.0,00
1991 STADIUM CLUB MEMBERS ONLY #NNO JEFF BAGWELL HOUSTON ASTROS,$1.75,$0.00,"Sold Mar 8, 2026",topps55,New,https://www.ebay.com/itm/236560046167,N,,,N,N,1.75,0.0,1.75,2026-03-08,bin,False,False,,,
1991 Topps Stadium Club Cal Ripken Jr MEMBERS ONLY card Orioles,$5.99,$0.00,"Sold Mar 8, 2026",minisnstuff2014,New,https://www.ebay.com/itm/256698578166,N,,,N,Y,5.99,0.0,5.99,2026-03-08,bin,True,False,,,
"1991 Stadium Club Jeff Bagwell, Members Only, Rookie RC, PSA 10",$50.00,$5.29,"Sold Mar 8, 2026",ak-1212,New,https://www.ebay.com/itm/298044935789,Y,PSA,10,Y,N,50.0,5.29,55.29,2026-03-08,auction,False,True,PSA,10.0,
Cal Ripken Jr 1991 Topps Stadium Club Members Only - [Base] #CARI,$0.99,$0.99,"Sold Mar 7, 2026",ronnyberry1,New,https://www.ebay.com/itm/303679381048,N,,,N,N,0.99,0.99,1.98,2026-03-07,bin,False,False,,,
"Jose Canseco Baseball Cards - RC's, Base Cards, Inserts, etc. - You Pick",$0.99,$0.00,"Sold Mar 7, 2026",maple_city_card_corner,New,https://www.ebay.com/itm/274882421862,N,,,N,N,0.99,0.0,0.99,2026-03-07,bin,False,False,,,
Jeff Bagwell - 1991 Stadium Club Members Only RC BGS 9.5 with Sub grades Rookie,$39.95,$3.45,"Sold Mar 7, 2026",bellzinc,New,https://www.ebay.com/itm/298076219416,Y,BGS,9.5,Y,N,39.95,3.45,43.4,2026-03-07,auction,False,True,BGS,9.5,
1991 Stadium Club Members Only # nolan ryan,$2.00,$0.00,"Sold Mar 7, 2026",crete_card_store,New,https://www.ebay.com/itm/334893962617,N,,,N,Y,2.0,0.0,2.0,2026-03-07,bin,True,False,,,
1991 Topps Stadium Club Members Only Rickey Henderson Athletics,$1.25,$1.25,"Sold Mar 7, 2026",lsbeads,New,https://www.ebay.com/itm/116879236599,N,,,N,N,1.25,1.25,2.5,2026-03-07,bin,False,False,,,
1991 Topps Stadium Club Members Only Nolan Ryan Ryan 7th No Hitter,$1.50,$0.99,"Sold Mar 6, 2026",crankerbob,New,https://www.ebay.com/itm/277760260340,N,,,Y,N,1.5,0.99,2.49,2026-03-06,auction,False,False,,,
1991 Topps Stadium Club Charter Member Nolan Ryan Medallion 80 MEMBERS ONLY card,$4.00,$10.00,"Sold Mar 6, 2026",kidizop1959,New,https://www.ebay.com/itm/317964874048,N,,,Y,N,4.0,10.0,14.0,2026-03-06,auction,False,False,,,80
(3) Sealed Boxes Topps Stadium Club 1991 MEMBERS ONLY LIMITED Edition Cards,$15.00,$0.00,"Sold Mar 6, 2026",bcab,Brand New,https://www.ebay.com/itm/317945779473,N,,,N,Y,15.0,0.0,15.0,2026-03-06,bin,True,False,,3.0,
