title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
1991 Stadium Club Members Only - Rickey Henderson - Lot Of 25 Cards,$8.00,"Sold Mar 16, 2026",N,,,N,N,$6.50,cjmayvi68,New,https://www.ebay.com/itm/127661580801
Lot of 7 Packs - 1991 & 1992 Topps Stadium Club Members Only Packs - 5 Unopened,$7.99,"Sold Mar 15, 2026",N,,,N,Y,$6.49,hers_6291,Brand New,https://www.ebay.com/itm/287132726007
1991-92 Topps Stadium Club Members Only Lot Set Unique 90's,$0.99,"Sold Mar 15, 2026",N,,,Y,N,$8.72,jdogden,Brand New,https://www.ebay.com/itm/257392080842
1991 Topps Stadium Club Members Only - Paul Molitor - Milwaukee Brewers,$1.11,"Sold Mar 14, 2026",N,,,N,Y,$0.00,alicensattic,New,https://www.ebay.com/itm/127545530359
ATHLETICS A'S RICKEY HENDERSON 1991 TOPPS STADIUM CLUB MEMBERS ONLY CARD,$0.99,"Sold Mar 14, 2026",N,,,N,Y,$1.00,kjmortgage,New,https://www.ebay.com/itm/298066354078
1991 Stadium Club Members Only #NNO Cal Ripken Baltimore Orioles,$1.50,"Sold Mar 13, 2026",N,,,N,Y,$0.00,theshow37,New,https://www.ebay.com/itm/177409583506
1991 Stadium Club Members Only Cecil Fielder/Jose Canseco Oakland Athletics 🔥,$3.00,"Sold Mar 13, 2026",N,,,N,Y,$0.00,powercouplecollections,New,https://www.ebay.com/itm/317990329171
"1991 Topps Stadium Club Members Only - Jose Canseco, Cecil Fielder (MBB)",$2.00,"Sold Mar 13, 2026",N,,,N,Y,$0.74,brru-98,New,https://www.ebay.com/itm/298083746874
1991 Topps Stadium Club Members Only Nolan Ryan RANGERS HOF,$3.50,"Sold Mar 13, 2026",N,,,N,N,$0.00,bds-sportscards11,New,https://www.ebay.com/itm/296057113510
1991 Topps Stadium Club Members Only Tommy Greene 0c4,$0.99,"Sold Mar 13, 2026",N,,,N,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/236635548857
NOLAN RYAN 1991 STADIUM CLUB MEMBERS ONLY #200 TEXAS RANGERS,$1.50,"Sold Mar 13, 2026",N,,,N,N,$1.00,hbcsportscards,New,https://www.ebay.com/itm/326809265190
