title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 Michael Jordan Upper Deck #SP1 Gem Mint 10 RC Rookie Chicago White Sox,$99.99,$0.00,"Sold Mar 22, 2026",gradedstuff,New,https://www.ebay.com/itm/137043148784,https://i.ebayimg.com/images/g/M2YAAeSwoZ9pk47B/s-l500.webp,N,,,N,N,99.99,0.0,99.99,2026-03-22,bin,False,True,,10.0,
⭐️ MICHEAL JORDAN 1991 UPPER DECK #SP1 SGC 8 NM-MT GRADED BASEBALL CARD RC SP 🔥,$40.00,$0.00,"Sold Mar 22, 2026",the_collectionverse,New,https://www.ebay.com/itm/325894507196,https://i.ebayimg.com/images/g/gV0AAOSwSzhlW9Zl/s-l500.webp,Y,SGC,8,N,N,40.0,0.0,40.0,2026-03-22,bin,False,True,SGC,8.0,
NEW LISTING1991 Upper Deck #SP1 Michael Jordan Baseball Rookie RC,$20.00,$0.00,"Sold Mar 21, 2026",basketball_card_collection,New,https://www.ebay.com/itm/177980729263,https://i.ebayimg.com/images/g/3tAAAeSwV8xpv01X/s-l500.webp,N,,,N,N,20.0,0.0,20.0,2026-03-21,bin,False,False,,,
1991 Upper Deck - #SP1 Michael Jordan NM. GOAT!,$29.99,$1.99,"Sold Mar 21, 2026",aquariussoul26,New,https://www.ebay.com/itm/257151260870,https://i.ebayimg.com/images/g/XiMAAeSwXZlo6dlU/s-l500.webp,N,,,N,Y,29.99,1.99,31.98,2026-03-21,bin,True,False,,,
1991 Upper Deck Michael Jordan SP1 Short Print Chicago **GCC GOLD**,$21.50,$0.00,"Sold Mar 21, 2026",gocards2475,New,https://www.ebay.com/itm/327045391164,https://i.ebayimg.com/images/g/i5QAAeSwTkFpsrxV/s-l500.webp,N,,,Y,N,21.5,0.0,21.5,2026-03-21,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$22.50,$4.99,"Sold Mar 21, 2026",dcsports87,New,https://www.ebay.com/itm/127748867388,https://i.ebayimg.com/images/g/uNgAAeSwkshpuC6a/s-l500.webp,N,,,Y,N,22.5,4.99,27.49,2026-03-21,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 White Sox,$21.50,$4.99,"Sold Mar 21, 2026",dcsports87,New,https://www.ebay.com/itm/127748888175,https://i.ebayimg.com/images/g/0B4AAeSwutNpuDHm/s-l500.webp,N,,,Y,N,21.5,4.99,26.49,2026-03-21,auction,False,False,,,
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox PSA 8,$42.00,$4.99,"Sold Mar 21, 2026",dcsports87,New,https://www.ebay.com/itm/377039425279,https://i.ebayimg.com/images/g/2XsAAeSwlYJpuC~f/s-l500.webp,Y,PSA,8,Y,N,42.0,4.99,46.99,2026-03-21,auction,False,True,PSA,8.0,
Michael Jordan 1991 Upper Deck - Short Print #SP1 1st Baseball Card NM/MT,$17.50,$13.62,"Sold Mar 21, 2026",gipari6178,New,https://www.ebay.com/itm/358327701197,https://i.ebayimg.com/images/g/qqgAAeSwzORptNbv/s-l500.webp,N,,,Y,N,17.5,13.62,31.12,2026-03-21,auction,False,False,,,
Michael Jordan 1991 Upper Deck Baseball SP1 • PSA 8 Chicago White Sox Rookie,$23.32,$14.57,"Sold Mar 21, 2026",raxa,New,https://www.ebay.com/itm/257406786743,https://i.ebayimg.com/images/g/CLEAAeSwIM5ppj3v/s-l500.webp,Y,PSA,8,Y,N,23.32,14.57,37.89,2026-03-21,auction,False,True,PSA,8.0,
