title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
1991 Michael Jordan Upper Deck #SP1 Gem Mint 10 RC Rookie Chicago White Sox,$99.99,"Sold Mar 22, 2026",N,,,N,N,$0.00,gradedstuff,New,https://www.ebay.com/itm/137043148784,https://i.ebayimg.com/images/g/M2YAAeSwoZ9pk47B/s-l500.webp
⭐️ MICHEAL JORDAN 1991 UPPER DECK #SP1 SGC 8 NM-MT GRADED BASEBALL CARD RC SP 🔥,$40.00,"Sold Mar 22, 2026",Y,SGC,8,N,N,$0.00,the_collectionverse,New,https://www.ebay.com/itm/325894507196,https://i.ebayimg.com/images/g/gV0AAOSwSzhlW9Zl/s-l500.webp
NEW LISTING1991 Upper Deck #SP1 Michael Jordan Baseball Rookie RC,$20.00,"Sold Mar 21, 2026",N,,,N,N,$0.00,basketball_card_collection,New,https://www.ebay.com/itm/177980729263,https://i.ebayimg.com/images/g/3tAAAeSwV8xpv01X/s-l500.webp
1991 Upper Deck - #SP1 Michael Jordan NM. GOAT!,$29.99,"Sold Mar 21, 2026",N,,,N,Y,$1.99,aquariussoul26,New,https://www.ebay.com/itm/257151260870,https://i.ebayimg.com/images/g/XiMAAeSwXZlo6dlU/s-l500.webp
1991 Upper Deck Michael Jordan SP1 Short Print Chicago **GCC GOLD**,$21.50,"Sold Mar 21, 2026",N,,,Y,N,$0.00,gocards2475,New,https://www.ebay.com/itm/327045391164,https://i.ebayimg.com/images/g/i5QAAeSwTkFpsrxV/s-l500.webp
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$22.50,"Sold Mar 21, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127748867388,https://i.ebayimg.com/images/g/uNgAAeSwkshpuC6a/s-l500.webp
1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 White Sox,$21.50,"Sold Mar 21, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127748888175,https://i.ebayimg.com/images/g/0B4AAeSwutNpuDHm/s-l500.webp
1991 Upper Deck Michael Jordan Inserts #SP1 White Sox PSA 8,$42.00,"Sold Mar 21, 2026",Y,PSA,8,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/377039425279,https://i.ebayimg.com/images/g/2XsAAeSwlYJpuC~f/s-l500.webp
Michael Jordan 1991 Upper Deck - Short Print #SP1 1st Baseball Card NM/MT,$17.50,"Sold Mar 21, 2026",N,,,Y,N,$13.62,gipari6178,New,https://www.ebay.com/itm/358327701197,https://i.ebayimg.com/images/g/qqgAAeSwzORptNbv/s-l500.webp
Michael Jordan 1991 Upper Deck Baseball SP1 • PSA 8 Chicago White Sox Rookie,$23.32,"Sold Mar 21, 2026",Y,PSA,8,Y,N,$14.57,raxa,New,https://www.ebay.com/itm/257406786743,https://i.ebayimg.com/images/g/CLEAAeSwIM5ppj3v/s-l500.webp
🔥📈💎1991 Upper Deck - Michael Jordan #SP1 SGC 96(9.5)Mint💎📈🔥,$134.99,"Sold Mar 21, 2026",Y,SGC,9.5,N,N,$5.77,p3radoxx,New,https://www.ebay.com/itm/389778944897,https://i.ebayimg.com/images/g/LAgAAeSwaItpvrHi/s-l500.webp
1991 Upper Deck - Michael Jordan #SP1,$109.31,"Sold Mar 21, 2026",N,,,N,N,$20.75,redstu94,New,https://www.ebay.com/itm/168112855228,https://i.ebayimg.com/images/g/-IoAAeSwD7Jpd6Wp/s-l500.webp
