price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
20.0,0.0,20.0,2026-03-21,bin,False,,,,NEW LISTING1991 Upper Deck #SP1 Michael Jordan Baseball R...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
29.99,1.99,31.98,2026-03-21,bin,True,,,,1991 Upper Deck - #SP1 Michael Jordan NM. GOAT!,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
21.5,0.0,21.5,2026-03-21,auction,False,,,,1991 Upper Deck Michael Jordan SP1 Short Print Chicago **...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.5,4.99,27.49,2026-03-21,auction,False,,,,1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
21.5,4.99,26.49,2026-03-21,auction,False,,,,1991 Upper Deck Michael Jordan Inserts RC Rookie #SP1 Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
17.5,13.62,31.12,2026-03-21,auction,False,,,,Michael Jordan 1991 Upper Deck - Short Print #SP1 1st Bas...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
109.31,20.75,130.06,2026-03-21,bin,False,,,,1991 Upper Deck - Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.0,19.99,2026-03-21,bin,False,,,,NEW LISTINGUpper Deck 1991 Michael Jordan #SP1 Short Prin...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
18.99,5.2,24.19,2026-03-21,bin,True,,,,NEW LISTING1991 Upper Deck Michael Jordan #SP1 Baseball C...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.99,5.52,29.51,2026-03-21,bin,False,,,,Upper Deck 1991 Michael Jordan #SP1 Short Print Chicago W...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.0,5.52,28.52,2026-03-21,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,5.52,25.52,2026-03-21,bin,True,,,,1991 Upper Deck Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.0,5.89,27.89,2026-03-20,auction,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1 Rookie ...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.0,0.0,23.0,2026-03-20,bin,True,,,,1991 Upper Deck Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,1.99,21.98,2026-03-20,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
39.0,5.2,44.2,2026-03-20,auction,False,,,,Upper Deck 1991 Michael Jordan #SP1 Short Print Chicago W...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
16.5,5.0,21.5,2026-03-20,auction,False,,,,1991 Upper Deck - Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.0,19.99,2026-03-20,bin,True,,,,Upper Deck 1991 Michael Jordan SP1 Short Print Insert Chi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,0.74,20.73,2026-03-20,bin,True,,,,1991 Upper Deck Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
26.0,1.99,27.99,2026-03-20,auction,False,,,,1991 Upper Deck - Michael Jordan #SP1 (RC) NM-MT or Better,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
45.0,5.95,50.95,2026-03-20,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
