title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1991 1992 Stadium Club Baseball you pick NM base stars RC rookie insert HOFer's,$1.00,$0.74,"Sold Mar 19, 2026",kempescollectibles,New,https://www.ebay.com/itm/295281122300,N,,,N,N,1.0,0.74,1.74,2026-03-19,bin,False,False,,,
1992 Stadium Club Baseball Card #s 250 - 750 - You Pick,$0.99,$0.74,"Sold Mar 18, 2026",wearecoll-37,New,https://www.ebay.com/itm/236628533156,N,,,N,N,0.99,0.74,1.73,2026-03-18,bin,False,False,,,250
A6796- 1992 Stadium Club Baseball Card #s 501-750 -You Pick- 15+ FREE US SHIP,$1.99,$1.09,"Sold Mar 15, 2026",richindeals7,New,https://www.ebay.com/itm/234121659603,N,,,N,N,1.99,1.09,3.08,2026-03-15,bin,False,False,,,A6796
1992 Stadium Club Dome Baseball,$0.99,$1.00,"Sold Mar 5, 2026",simicards,New,https://www.ebay.com/itm/282851823725,N,,,N,N,0.99,1.0,1.99,2026-03-05,bin,False,False,,,
A6796- 1992 Stadium Club Baseball Card #s 251-500 -You Pick- 15+ FREE US SHIP,$0.99,$1.09,"Sold Mar 4, 2026",richindeals7,New,https://www.ebay.com/itm/334101870041,N,,,N,N,0.99,1.09,2.08,2026-03-04,bin,False,False,,,A6796
"Ken Griffey, Jr. #603b 1992 Stadium Club Baseball (5L)",$1.84,$0.00,"Sold Mar 1, 2026",covenant_cards,New,https://www.ebay.com/itm/327024917938,N,,,N,N,1.84,0.0,1.84,2026-03-01,bin,False,False,,,603B
1992 STADIUM CLUB BASEBALL REGULAR BASE SERIES 2 & 3 SINGLES #'S 451-675,$0.99,$0.95,"Sold Mar 1, 2026",teampulicebelievesllc,New,https://www.ebay.com/itm/113584171897,N,,,N,N,0.99,0.95,1.94,2026-03-01,bin,False,False,,2.0,451
1992 Stadium Club Baseball - #603 Seattle Mariners - KEN GRIFFEY JR.,$1.49,$1.49,"Sold Feb 26, 2026",house_divided,New,https://www.ebay.com/itm/276829017333,N,,,N,Y,1.49,1.49,2.98,2026-02-26,bin,True,False,,,603
1992 Stadium Club Dome Baseball #70 Ken Griffey Jr. Seattle Mariners,$2.00,$1.95,"Sold Feb 25, 2026",traderscornermurphync,New,https://www.ebay.com/itm/405922771836,N,,,N,Y,2.0,1.95,3.95,2026-02-25,bin,True,False,,,70
"1992 Stadium Club Baseball Ken Griffey, Jr. #603 NM",$0.99,$1.99,"Sold Feb 24, 2026",gradientcollects,New,https://www.ebay.com/itm/227179737009,N,,,N,N,0.99,1.99,2.98,2026-02-24,bin,False,False,,,603
