title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1992 Stadium Club Baseball Dwight Gooden Members Choice #602 Set Break NM,$1.69,$0.00,"Sold Mar 15, 2026",snabe3,New,https://www.ebay.com/itm/266515755173,N,,,N,N,1.69,0.0,1.69,2026-03-15,bin,False,False,,,602
1992 Stadium Club Baseball Complete Set 900 Cards,$27.99,$14.99,"Sold Mar 15, 2026",bbomb519,New,https://www.ebay.com/itm/257406638783,N,,,N,N,27.99,14.99,42.98,2026-03-15,bin,False,False,,,900
1992 Stadium Club Baseball Part 1 Main Set Card #1-250,$0.99,$1.00,"Sold Mar 14, 2026",simicards,New,https://www.ebay.com/itm/401495063873,N,,,N,N,0.99,1.0,1.99,2026-03-14,bin,False,False,,1.0,250
1992 Stadium Club Baseball Series 3 Set (601-900),$15.00,$8.99,"Sold Mar 14, 2026",jpwjr1964,Brand New,https://www.ebay.com/itm/227244909177,N,,,N,N,15.0,8.99,23.99,2026-03-14,bin,False,False,,3.0,601
1992 Stadium Club Baseball Series 3 Set (601-900),$19.99,$0.00,"Sold Mar 7, 2026",glocktime,New,https://www.ebay.com/itm/167890735122,N,,,N,N,19.99,0.0,19.99,2026-03-07,bin,False,False,,3.0,601
1992 Stadium Club Baseball Complete Set 900 Cards,$34.99,$8.65,"Sold Mar 7, 2026",jpgrengs,New,https://www.ebay.com/itm/327027589074,N,,,N,N,34.99,8.65,43.64,2026-03-07,bin,False,False,,,900
1992 Stadium Club Baseball Complete Set 1-900,$40.00,$11.29,"Sold Mar 4, 2026",kcjhawk,Brand New,https://www.ebay.com/itm/366040999355,N,,,N,N,40.0,11.29,51.29,2026-03-04,bin,False,False,,1.0,900
1992 Stadium Club Baseball Will Clark #460 Set Break NM,$1.69,$0.00,"Sold Feb 28, 2026",snabe3,New,https://www.ebay.com/itm/266518621592,N,,,N,N,1.69,0.0,1.69,2026-02-28,bin,False,False,,,460
1992 STADIUM CLUB BASEBALL - (GROUP 2 OF 3) - Complete Your Set -YOU PICK!,$0.99,$0.73,"Sold Feb 23, 2026",karsteine_81,New,https://www.ebay.com/itm/225332317125,N,,,N,N,0.99,0.73,1.72,2026-02-23,bin,False,False,,2.0,
1992 Stadium Club Baseball Complete Series 2 Set,$9.99,$8.10,"Sold Feb 20, 2026",dalfredson,New,https://www.ebay.com/itm/114406474008,N,,,N,N,9.99,8.1,18.09,2026-02-20,bin,False,False,,2.0,
Bo Jackson Lot 50 Baseball Cards 1992 Stadium Club Chicago White Sox Set MLB NM,$27.16,$0.00,"Sold Feb 14, 2026",spiritrobyn57,New,https://www.ebay.com/itm/336422801626,N,,,N,N,27.16,0.0,27.16,2026-02-14,bin,False,False,,,50
1992 Stadium Club Baseball Complete 900 Card Set Series 1-3 EX/NM Condition,$19.05,$10.08,"Sold Feb 12, 2026",mach43cards,New,https://www.ebay.com/itm/127667666677,N,,,Y,N,19.05,10.08,29.13,2026-02-12,auction,False,False,,1.0,900
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$33.00,$8.65,"Sold Feb 12, 2026",pherman59,New,https://www.ebay.com/itm/306746792414,N,,,Y,N,33.0,8.65,41.65,2026-02-12,auction,False,False,,1.0,900
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$24.99,$10.00,"Sold Feb 6, 2026",jubl_3298,New,https://www.ebay.com/itm/406666743230,N,,,N,Y,24.99,10.0,34.99,2026-02-06,bin,True,False,,1.0,900
1992 Stadium Club Baseball Complete 900 Card Set Series 1-3 NM Condition,$20.50,$10.08,"Sold Feb 6, 2026",mach43cards,New,https://www.ebay.com/itm/127654817503,N,,,Y,N,20.5,10.08,30.58,2026-02-06,auction,False,False,,1.0,900
1992 STADIUM CLUB BASEBALL - (GROUP 3 OF 3) - Complete Your Set -YOU PICK!,$0.99,$0.73,"Sold Feb 5, 2026",karsteine_81,New,https://www.ebay.com/itm/224669050943,N,,,N,N,0.99,0.73,1.72,2026-02-05,bin,False,False,,3.0,
1992 Stadium Club Baseball Nolan Ryan #770 HOF Set Break NM,$1.69,$0.00,"Sold Jan 31, 2026",snabe3,New,https://www.ebay.com/itm/266515765541,N,,,N,N,1.69,0.0,1.69,2026-01-31,bin,False,False,,,770
1992 Stadium Club Baseball Complete Set (900),$25.00,$15.20,"Sold Jan 29, 2026",bbcexchange2,New,https://www.ebay.com/itm/357807550888,N,,,N,N,25.0,15.2,40.2,2026-01-29,bin,False,False,,,900
1992 Stadium Club Baseball Complete Set 1-900,$22.00,$6.18,"Sold Jan 27, 2026",foresideacres,New,https://www.ebay.com/itm/198009671249,N,,,N,N,22.0,6.18,28.18,2026-01-27,bin,False,False,,1.0,900
1992 Stadium Club Dome Baseball Set,$4.25,$6.00,"Sold Jan 21, 2026",armydan64,New,https://www.ebay.com/itm/198027861788,N,,,Y,N,4.25,6.0,10.25,2026-01-21,auction,False,False,,,
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$24.99,$8.65,"Sold Jan 16, 2026",pherman59,New,https://www.ebay.com/itm/306705918109,N,,,Y,N,24.99,8.65,33.64,2026-01-16,auction,False,False,,1.0,900
1992 Stadium Club Baseball Members Only Set Limited Edition!,$10.00,$5.75,"Sold Jan 15, 2026",shack2003,New,https://www.ebay.com/itm/127524356667,N,,,N,Y,10.0,5.75,15.75,2026-01-15,bin,True,False,,,
1992 Stadium Club Baseball Eddie Murray Members Only HOF Set Break NM,$1.69,$0.00,"Sold Jan 7, 2026",snabe3,New,https://www.ebay.com/itm/267219696550,N,,,N,N,1.69,0.0,1.69,2026-01-07,bin,False,False,,,
1992 Stadium Club BASEBALL Complete 900 Card Set *Griffey Jr*Ryan*BO* EXC-MT !,$24.95,$11.99,"Sold Jan 4, 2026",deebrahib,New,https://www.ebay.com/itm/326932453957,N,,,Y,N,24.95,11.99,36.94,2026-01-04,auction,False,False,,,900
"1992 Stadium Club Baseball Complete Series 3 Set (#601-900) Griffey, Ryan, Bonds",$9.50,$9.49,"Sold Jan 2, 2026",wstdavem,New,https://www.ebay.com/itm/197742615027,N,,,N,Y,9.5,9.49,18.99,2026-01-02,bin,True,False,,3.0,601
1992 STADIUM CLUB BASEBALL DRAFT PICKS OF THE 90'S COMPLETE 3-CARD INSERT SET,$8.00,$5.07,"Sold Dec 30, 2025",puterdude_1,New,https://www.ebay.com/itm/146889224224,N,,,N,Y,8.0,5.07,13.07,2025-12-30,bin,True,False,,3.0,90
1992 Stadium Club Baseball Complete Set (900),$25.00,$15.20,"Sold Dec 28, 2025",bbcexchange2,New,https://www.ebay.com/itm/376646841353,N,,,N,N,25.0,15.2,40.2,2025-12-28,bin,False,False,,,900
1992 Stadium Club Baseball Card Lot 409 Partial Set w/dupes 800ct Box HoFs,$4.25,$7.52,"Sold Dec 27, 2025",tyxander9603,New,https://www.ebay.com/itm/127574533525,N,,,Y,N,4.25,7.52,11.77,2025-12-27,auction,False,False,,,409
1992 Stadium Club Baseball Complete Set (1-900),$35.00,$8.00,"Sold Dec 24, 2025",bibro_3256,New,https://www.ebay.com/itm/396945243858,N,,,N,Y,35.0,8.0,43.0,2025-12-24,bin,True,False,,1.0,900
1992 Stadium Club Baseball Set #4 ~ Pick Your Cards,$0.99,$0.93,"Sold Dec 24, 2025",deninak,New,https://www.ebay.com/itm/185835367470,N,,,N,N,0.99,0.93,1.92,2025-12-24,bin,False,False,,4.0,
1992 Stadium Club Baseball Part 3 Main Set Card #501-750,$0.99,$1.00,"Sold Dec 21, 2025",simicards,New,https://www.ebay.com/itm/372226211369,N,,,N,N,0.99,1.0,1.99,2025-12-21,bin,False,False,,3.0,501
