title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
1992 Stadium Club Baseball Dwight Gooden Members Choice #602 Set Break NM,$1.69,"Sold Mar 15, 2026",N,,,N,N,$0.00,snabe3,New,https://www.ebay.com/itm/266515755173
1992 Stadium Club Baseball Complete Set 900 Cards,$27.99,"Sold Mar 15, 2026",N,,,N,N,$14.99,bbomb519,New,https://www.ebay.com/itm/257406638783
1992 Stadium Club Baseball Part 1 Main Set Card #1-250,$0.99,"Sold Mar 14, 2026",N,,,N,N,$1.00,simicards,New,https://www.ebay.com/itm/401495063873
1992 Stadium Club Baseball Series 3 Set (601-900),$15.00,"Sold Mar 14, 2026",N,,,N,N,$8.99,jpwjr1964,Brand New,https://www.ebay.com/itm/227244909177
1992 Stadium Club Baseball Series 3 Set (601-900),$19.99,"Sold Mar 7, 2026",N,,,N,N,$0.00,glocktime,New,https://www.ebay.com/itm/167890735122
1992 Stadium Club Baseball Complete Set 900 Cards,$34.99,"Sold Mar 7, 2026",N,,,N,N,$8.65,jpgrengs,New,https://www.ebay.com/itm/327027589074
1992 Stadium Club Baseball Complete Set 1-900,$40.00,"Sold Mar 4, 2026",N,,,N,N,$11.29,kcjhawk,Brand New,https://www.ebay.com/itm/366040999355
1992 Stadium Club Baseball Will Clark #460 Set Break NM,$1.69,"Sold Feb 28, 2026",N,,,N,N,$0.00,snabe3,New,https://www.ebay.com/itm/266518621592
1992 STADIUM CLUB BASEBALL - (GROUP 2 OF 3) - Complete Your Set -YOU PICK!,$0.99,"Sold Feb 23, 2026",N,,,N,N,$0.73,karsteine_81,New,https://www.ebay.com/itm/225332317125
1992 Stadium Club Baseball Complete Series 2 Set,$9.99,"Sold Feb 20, 2026",N,,,N,N,$8.10,dalfredson,New,https://www.ebay.com/itm/114406474008
Bo Jackson Lot 50 Baseball Cards 1992 Stadium Club Chicago White Sox Set MLB NM,$27.16,"Sold Feb 14, 2026",N,,,N,N,$0.00,spiritrobyn57,New,https://www.ebay.com/itm/336422801626
1992 Stadium Club Baseball Complete 900 Card Set Series 1-3 EX/NM Condition,$19.05,"Sold Feb 12, 2026",N,,,Y,N,$10.08,mach43cards,New,https://www.ebay.com/itm/127667666677
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$33.00,"Sold Feb 12, 2026",N,,,Y,N,$8.65,pherman59,New,https://www.ebay.com/itm/306746792414
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$24.99,"Sold Feb 6, 2026",N,,,N,Y,$10.00,jubl_3298,New,https://www.ebay.com/itm/406666743230
1992 Stadium Club Baseball Complete 900 Card Set Series 1-3 NM Condition,$20.50,"Sold Feb 6, 2026",N,,,Y,N,$10.08,mach43cards,New,https://www.ebay.com/itm/127654817503
1992 STADIUM CLUB BASEBALL - (GROUP 3 OF 3) - Complete Your Set -YOU PICK!,$0.99,"Sold Feb 5, 2026",N,,,N,N,$0.73,karsteine_81,New,https://www.ebay.com/itm/224669050943
1992 Stadium Club Baseball Nolan Ryan #770 HOF Set Break NM,$1.69,"Sold Jan 31, 2026",N,,,N,N,$0.00,snabe3,New,https://www.ebay.com/itm/266515765541
1992 Stadium Club Baseball Complete Set (900),$25.00,"Sold Jan 29, 2026",N,,,N,N,$15.20,bbcexchange2,New,https://www.ebay.com/itm/357807550888
1992 Stadium Club Baseball Complete Set 1-900,$22.00,"Sold Jan 27, 2026",N,,,N,N,$6.18,foresideacres,New,https://www.ebay.com/itm/198009671249
1992 Stadium Club Dome Baseball Set,$4.25,"Sold Jan 21, 2026",N,,,Y,N,$6.00,armydan64,New,https://www.ebay.com/itm/198027861788
1992 Stadium Club Baseball Complete Set-900 Cards! Series 1-3 NM/ MT Condition!,$24.99,"Sold Jan 16, 2026",N,,,Y,N,$8.65,pherman59,New,https://www.ebay.com/itm/306705918109
1992 Stadium Club Baseball Members Only Set Limited Edition!,$10.00,"Sold Jan 15, 2026",N,,,N,Y,$5.75,shack2003,New,https://www.ebay.com/itm/127524356667
1992 Stadium Club Baseball Eddie Murray Members Only HOF Set Break NM,$1.69,"Sold Jan 7, 2026",N,,,N,N,$0.00,snabe3,New,https://www.ebay.com/itm/267219696550
1992 Stadium Club BASEBALL Complete 900 Card Set *Griffey Jr*Ryan*BO* EXC-MT !,$24.95,"Sold Jan 4, 2026",N,,,Y,N,$11.99,deebrahib,New,https://www.ebay.com/itm/326932453957
"1992 Stadium Club Baseball Complete Series 3 Set (#601-900) Griffey, Ryan, Bonds",$9.50,"Sold Jan 2, 2026",N,,,N,Y,$9.49,wstdavem,New,https://www.ebay.com/itm/197742615027
