title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 PSA 7 Rookie RC HOF,$11.88,$4.99,"Sold Mar 22, 2026",comc_consignment,New,https://www.ebay.com/itm/236682090530,https://i.ebayimg.com/images/g/UvcAAeSwV8lpsja0/s-l500.webp,Y,PSA,7,Y,N,11.88,4.99,16.87,2026-03-22,auction,False,True,PSA,7.0,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$10.50,$5.20,"Sold Mar 22, 2026",cronin_collectibles,New,https://www.ebay.com/itm/397718862397,https://i.ebayimg.com/images/g/rBIAAeSwHqRpt0Vt/s-l500.webp,N,,,Y,N,10.5,5.2,15.7,2026-03-22,auction,False,False,,,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$68.00,$5.07,"Sold Mar 22, 2026",iluv2badaddy,New,https://www.ebay.com/itm/406770676602,https://i.ebayimg.com/images/g/D-gAAeSwO61ptxzC/s-l500.webp,N,,,Y,N,68.0,5.07,73.07,2026-03-22,auction,False,False,,,457
New York Yankees Derek Jeter #457 Pinnacle Baseball Near Mint or Better Rookie,$9.00,$0.00,"Sold Mar 22, 2026",clvsp23,New,https://www.ebay.com/itm/406787618722,https://i.ebayimg.com/images/g/PwQAAeSwM29pvfW8/s-l500.webp,N,,,N,N,9.0,0.0,9.0,2026-03-22,bin,False,False,,,457
1993 Pinnacle Derek Jeter 1st Round Draft Pick #457 Rookie Card,$11.50,$1.99,"Sold Mar 22, 2026",philippians_cardz,New,https://www.ebay.com/itm/397733221419,https://i.ebayimg.com/images/g/gWQAAeSwlvBpu0tr/s-l500.webp,N,,,N,Y,11.5,1.99,13.49,2026-03-22,bin,True,False,,,457
1993 SCORE PINNACLE BASEBALL 457 DEREK JETER NEW YORK YANKEES ROOKIE RC RAW,$2.91,$17.55,"Sold Mar 22, 2026",allennjamie,New,https://www.ebay.com/itm/287206099316,https://i.ebayimg.com/images/g/ayYAAeSwk1pptrXZ/s-l500.webp,N,,,Y,N,2.91,17.55,20.46,2026-03-22,auction,False,False,,,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$9.99,$1.32,"Sold Mar 21, 2026",poboyle782,New,https://www.ebay.com/itm/206156294435,https://i.ebayimg.com/images/g/BdIAAeSw8otpvstW/s-l500.webp,N,,,N,Y,9.99,1.32,11.31,2026-03-21,bin,True,False,,,457
1993 Pinnacle DEREK JETER #457 HOF Yankees RC ROOKIE (PSA 8) **FRESHLY GRADED**,$26.90,$5.80,"Sold Mar 20, 2026",bill2001nyc,New,https://www.ebay.com/itm/277814839354,https://i.ebayimg.com/images/g/4F8AAeSwFvdpuunZ/s-l500.webp,Y,PSA,8,N,N,26.9,5.8,32.7,2026-03-20,bin,False,True,PSA,8.0,457
1993 Pinnacle: #457 Derek Jeter 1st Round DP RC EX-EXMINT,$8.50,$4.95,"Sold Mar 20, 2026",gregmorrismodern,New,https://www.ebay.com/itm/366261711412,https://i.ebayimg.com/images/g/9doAAeSwMA9psHoF/s-l500.webp,N,,,Y,N,8.5,4.95,13.45,2026-03-20,auction,False,False,,,457
DEREK JETER PSA 9 1993 Pinnacle RC #457,$74.99,$5.99,"Sold Mar 20, 2026",hobbygems,New,https://www.ebay.com/itm/406544217246,https://i.ebayimg.com/images/g/6BkAAeSwNNRo~O6e/s-l500.webp,Y,PSA,9,N,N,74.99,5.99,80.98,2026-03-20,bin,False,True,PSA,9.0,457
1993 Pinnacle #457 Derek Jeter New York Yankees RC Rookie HOF PSA 9 MINT,$56.57,$5.50,"Sold Mar 19, 2026",probstein123,New,https://www.ebay.com/itm/389737373231,https://i.ebayimg.com/images/g/gggAAeSwAFRpsyi3/s-l500.webp,Y,PSA,9,Y,N,56.57,5.5,62.07,2026-03-19,auction,False,True,PSA,9.0,457
Pinnacle 1993 Derek Jeter #457 Rookie New York Yankees MLB PSA 9,$59.99,$5.20,"Sold Mar 19, 2026",ha-9340,New,https://www.ebay.com/itm/206146682853,https://i.ebayimg.com/images/g/UagAAeSwprZpubLw/s-l500.webp,Y,PSA,9,N,N,59.99,5.2,65.19,2026-03-19,bin,False,True,PSA,9.0,457
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rookie RC HOF,$4.93,$4.99,"Sold Mar 19, 2026",comc_consignment,New,https://www.ebay.com/itm/336472796537,https://i.ebayimg.com/images/g/wTkAAeSwW5RpsJuy/s-l500.webp,N,,,Y,N,4.93,4.99,9.92,2026-03-19,auction,False,False,,,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) NM/MT SGC 8 HOF,$24.00,$7.50,"Sold Mar 19, 2026",vinylrocks68,New,https://www.ebay.com/itm/326992162766,https://i.ebayimg.com/images/g/TugAAeSwajtpiMfG/s-l500.webp,Y,SGC,8,N,Y,24.0,7.5,31.5,2026-03-19,bin,True,True,SGC,8.0,457
Derek Jeter 1993 Pinnacle #457 New York Yankees PSA Graded Near Mint-Mint 8 HOF,$12.50,$5.95,"Sold Mar 19, 2026",coresclassics6t25,New,https://www.ebay.com/itm/267602666571,https://i.ebayimg.com/images/g/3ToAAeSwp2ZphMVp/s-l500.webp,Y,PSA,8,Y,N,12.5,5.95,18.45,2026-03-19,auction,False,True,PSA,8.0,457
1993 Pinnacle DEREK JETER #457 RC Rookie Yankees SGC 9 MINT,$31.00,$5.00,"Sold Mar 18, 2026",nickosportscards,New,https://www.ebay.com/itm/397710498654,https://i.ebayimg.com/images/g/2ggAAeSwlYJptGnO/s-l500.webp,Y,SGC,9,Y,N,31.0,5.0,36.0,2026-03-18,auction,False,True,SGC,9.0,457
DEREK JETER 1993 Pinnacle Rookie #457 PSA 9 Mint,$50.00,$6.00,"Sold Mar 18, 2026",cards2consignment,New,https://www.ebay.com/itm/157742936844,https://i.ebayimg.com/images/g/xgcAAeSwKDdpsbqI/s-l500.webp,Y,PSA,9,Y,N,50.0,6.0,56.0,2026-03-18,auction,False,True,PSA,9.0,457
2 Card Lot 1993 Pinnacle Derek Jeter #457 RC Yankees Rookie Card NM-MT,$22.99,$5.52,"Sold Mar 18, 2026",bsblislife,Brand New,https://www.ebay.com/itm/389714171917,https://i.ebayimg.com/images/g/0J4AAeSwlVRprPSn/s-l500.webp,N,,,N,Y,22.99,5.52,28.51,2026-03-18,bin,True,False,,2.0,457
Rookie Pinnacle 1993 #457 – Derek Jeter 1st Round Draft Pick – New York Yankees,$10.00,$5.07,"Sold Mar 18, 2026",robertrynemusic,New,https://www.ebay.com/itm/397726555413,https://i.ebayimg.com/images/g/cNYAAeSw4h1puXZS/s-l500.webp,N,,,N,N,10.0,5.07,15.07,2026-03-18,bin,False,False,,,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$7.50,$0.74,"Sold Mar 18, 2026",rkb_sports_cards,New,https://www.ebay.com/itm/198183652128,https://i.ebayimg.com/images/g/GbwAAeSwsV9ptGAJ/s-l500.webp,N,,,Y,N,7.5,0.74,8.24,2026-03-18,auction,False,False,,,457
DEREK JETER 1993 PINNACLE #457 RC ROOKIE *NEW YORK YANKEES*,$14.99,$5.00,"Sold Feb 8, 2026",rookiesonly99,New,https://www.ebay.com/itm/134769866940,https://i.ebayimg.com/images/g/KwEAAOSwqgVlLZ9b/s-l500.webp,N,,,N,Y,14.99,5.0,19.99,2026-02-08,bin,True,False,,,457
DEREK JETER 1993 PINNACLE #457 ROOKIE RC PSA 9 MINT ✨,$55.00,$7.95,"Sold Mar 16, 2026",theserenityshoppingdepot,New,https://www.ebay.com/itm/167651245333,https://i.ebayimg.com/images/g/mfoAAeSwECxoaIfR/s-l500.webp,Y,PSA,9,N,N,55.0,7.95,62.95,2026-03-16,bin,False,True,PSA,9.0,457
1993 Pinnacle Derek Jeter #457 Rookie Card 1st Round Draft Pick Yankees HOF,$9.99,$1.50,"Sold Mar 16, 2026",turn5756,New,https://www.ebay.com/itm/406770289164,https://i.ebayimg.com/images/g/2O8AAeSwk1pptvF1/s-l500.webp,N,,,N,Y,9.99,1.5,11.49,2026-03-16,bin,True,False,,,457
1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter (RC) MINT,$36.00,$5.07,"Sold Mar 15, 2026",kevinknowssportscards,New,https://www.ebay.com/itm/396165959282,https://i.ebayimg.com/images/g/IS0AAOSwNsVnnaEK/s-l500.webp,N,,,N,N,36.0,5.07,41.07,2026-03-15,bin,False,False,,,457
1993 Pinnacle - Derek Jeter 1st Round Draft Pick #457 HoF RC NM-MT,$11.00,$1.32,"Sold Mar 15, 2026",brett_g_collectibles,New,https://www.ebay.com/itm/397690617383,https://i.ebayimg.com/images/g/OtQAAeSwsGZprfhV/s-l500.webp,N,,,Y,N,11.0,1.32,12.32,2026-03-15,auction,False,False,,,457
New York Yankees 1993 Pinnacle Derek Jeter Rookie Card # 457 PSA 10,$800.00,$8.30,"Sold Mar 14, 2026",nlrmhl,New,https://www.ebay.com/itm/155130049753,https://i.ebayimg.com/images/g/BykAAOSwkbNjA8G9/s-l500.webp,Y,PSA,10,N,Y,800.0,8.3,808.3,2026-03-14,bin,True,True,PSA,10.0,457
DEREK JETER 1993 PINNACLE #457 ROOKIE RC PSA 9 MINT ✨,$55.00,$7.95,"Sold Mar 14, 2026",theserenityshoppingdepot,New,https://www.ebay.com/itm/167651245349,https://i.ebayimg.com/images/g/Z-0AAeSwJHJocaBj/s-l500.webp,Y,PSA,9,N,N,55.0,7.95,62.95,2026-03-14,bin,False,True,PSA,9.0,457
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees BGS 9.5,$430.00,$4.99,"Sold Mar 14, 2026",dcsports87,New,https://www.ebay.com/itm/127729157553,https://i.ebayimg.com/images/g/~zwAAeSwW5Rprtks/s-l500.webp,Y,BGS,9.5,Y,N,430.0,4.99,434.99,2026-03-14,auction,False,True,BGS,9.5,457
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,$10.50,$4.99,"Sold Mar 14, 2026",dcsports87,New,https://www.ebay.com/itm/127729431306,https://i.ebayimg.com/images/g/cuEAAeSw-olprvSl/s-l500.webp,N,,,Y,N,10.5,4.99,15.49,2026-03-14,auction,False,False,,,457
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC) & 1996 Gold Leaf Rookie,$9.50,$1.32,"Sold Mar 14, 2026",stlouiecat,New,https://www.ebay.com/itm/227245221668,https://i.ebayimg.com/images/g/xEEAAeSwk1ppqzLJ/s-l500.webp,N,,,Y,N,9.5,1.32,10.82,2026-03-14,auction,False,False,,,457
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 PSA 8 Rookie RC HOF,$24.50,$4.99,"Sold Mar 14, 2026",comc_consignment,New,https://www.ebay.com/itm/336465561070,https://i.ebayimg.com/images/g/wQoAAeSwMQhpqhCw/s-l500.webp,Y,PSA,8,Y,N,24.5,4.99,29.49,2026-03-14,auction,False,True,PSA,8.0,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) Plus Bonus Gift 🎁!,$72.12,$0.00,"Sold Mar 14, 2026",lexajoncardsllc,New,https://www.ebay.com/itm/397706676114,https://i.ebayimg.com/images/g/-2MAAeSwFENpryln/s-l500.webp,N,,,N,Y,72.12,0.0,72.12,2026-03-14,bin,True,False,,,457
Derek Jeter 1993 Pinnacle Rookie 1st Round Draft Pick #457 RC EX NY Yankees HOF,$13.99,$0.00,"Sold Mar 14, 2026",the_slab_lab_chicago,New,https://www.ebay.com/itm/168141299979,https://i.ebayimg.com/images/g/oXcAAeSwGwNphqRs/s-l500.webp,N,,,N,Y,13.99,0.0,13.99,2026-03-14,bin,True,False,,,457
