title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 PSA 7 Rookie RC HOF,$11.88,"Sold Mar 22, 2026",Y,PSA,7,Y,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/236682090530,https://i.ebayimg.com/images/g/UvcAAeSwV8lpsja0/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$10.50,"Sold Mar 22, 2026",N,,,Y,N,$5.20,cronin_collectibles,New,https://www.ebay.com/itm/397718862397,https://i.ebayimg.com/images/g/rBIAAeSwHqRpt0Vt/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$68.00,"Sold Mar 22, 2026",N,,,Y,N,$5.07,iluv2badaddy,New,https://www.ebay.com/itm/406770676602,https://i.ebayimg.com/images/g/D-gAAeSwO61ptxzC/s-l500.webp
New York Yankees Derek Jeter #457 Pinnacle Baseball Near Mint or Better Rookie,$9.00,"Sold Mar 22, 2026",N,,,N,N,$0.00,clvsp23,New,https://www.ebay.com/itm/406787618722,https://i.ebayimg.com/images/g/PwQAAeSwM29pvfW8/s-l500.webp
1993 Pinnacle Derek Jeter 1st Round Draft Pick #457 Rookie Card,$11.50,"Sold Mar 22, 2026",N,,,N,Y,$1.99,philippians_cardz,New,https://www.ebay.com/itm/397733221419,https://i.ebayimg.com/images/g/gWQAAeSwlvBpu0tr/s-l500.webp
1993 SCORE PINNACLE BASEBALL 457 DEREK JETER NEW YORK YANKEES ROOKIE RC RAW,$2.91,"Sold Mar 22, 2026",N,,,Y,N,$17.55,allennjamie,New,https://www.ebay.com/itm/287206099316,https://i.ebayimg.com/images/g/ayYAAeSwk1pptrXZ/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$9.99,"Sold Mar 21, 2026",N,,,N,Y,$1.32,poboyle782,New,https://www.ebay.com/itm/206156294435,https://i.ebayimg.com/images/g/BdIAAeSw8otpvstW/s-l500.webp
1993 Pinnacle DEREK JETER #457 HOF Yankees RC ROOKIE (PSA 8) **FRESHLY GRADED**,$26.90,"Sold Mar 20, 2026",Y,PSA,8,N,N,$5.80,bill2001nyc,New,https://www.ebay.com/itm/277814839354,https://i.ebayimg.com/images/g/4F8AAeSwFvdpuunZ/s-l500.webp
1993 Pinnacle: #457 Derek Jeter 1st Round DP RC EX-EXMINT,$8.50,"Sold Mar 20, 2026",N,,,Y,N,$4.95,gregmorrismodern,New,https://www.ebay.com/itm/366261711412,https://i.ebayimg.com/images/g/9doAAeSwMA9psHoF/s-l500.webp
DEREK JETER PSA 9 1993 Pinnacle RC #457,$74.99,"Sold Mar 20, 2026",Y,PSA,9,N,N,$5.99,hobbygems,New,https://www.ebay.com/itm/406544217246,https://i.ebayimg.com/images/g/6BkAAeSwNNRo~O6e/s-l500.webp
1993 Pinnacle #457 Derek Jeter New York Yankees RC Rookie HOF PSA 9 MINT,$56.57,"Sold Mar 19, 2026",Y,PSA,9,Y,N,$5.50,probstein123,New,https://www.ebay.com/itm/389737373231,https://i.ebayimg.com/images/g/gggAAeSwAFRpsyi3/s-l500.webp
Pinnacle 1993 Derek Jeter #457 Rookie New York Yankees MLB PSA 9,$59.99,"Sold Mar 19, 2026",Y,PSA,9,N,N,$5.20,ha-9340,New,https://www.ebay.com/itm/206146682853,https://i.ebayimg.com/images/g/UagAAeSwprZpubLw/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rookie RC HOF,$4.93,"Sold Mar 19, 2026",N,,,Y,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/336472796537,https://i.ebayimg.com/images/g/wTkAAeSwW5RpsJuy/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) NM/MT SGC 8 HOF,$24.00,"Sold Mar 19, 2026",Y,SGC,8,N,Y,$7.50,vinylrocks68,New,https://www.ebay.com/itm/326992162766,https://i.ebayimg.com/images/g/TugAAeSwajtpiMfG/s-l500.webp
Derek Jeter 1993 Pinnacle #457 New York Yankees PSA Graded Near Mint-Mint 8 HOF,$12.50,"Sold Mar 19, 2026",Y,PSA,8,Y,N,$5.95,coresclassics6t25,New,https://www.ebay.com/itm/267602666571,https://i.ebayimg.com/images/g/3ToAAeSwp2ZphMVp/s-l500.webp
1993 Pinnacle DEREK JETER #457 RC Rookie Yankees SGC 9 MINT,$31.00,"Sold Mar 18, 2026",Y,SGC,9,Y,N,$5.00,nickosportscards,New,https://www.ebay.com/itm/397710498654,https://i.ebayimg.com/images/g/2ggAAeSwlYJptGnO/s-l500.webp
DEREK JETER 1993 Pinnacle Rookie #457 PSA 9 Mint,$50.00,"Sold Mar 18, 2026",Y,PSA,9,Y,N,$6.00,cards2consignment,New,https://www.ebay.com/itm/157742936844,https://i.ebayimg.com/images/g/xgcAAeSwKDdpsbqI/s-l500.webp
2 Card Lot 1993 Pinnacle Derek Jeter #457 RC Yankees Rookie Card NM-MT,$22.99,"Sold Mar 18, 2026",N,,,N,Y,$5.52,bsblislife,Brand New,https://www.ebay.com/itm/389714171917,https://i.ebayimg.com/images/g/0J4AAeSwlVRprPSn/s-l500.webp
Rookie Pinnacle 1993 #457 – Derek Jeter 1st Round Draft Pick – New York Yankees,$10.00,"Sold Mar 18, 2026",N,,,N,N,$5.07,robertrynemusic,New,https://www.ebay.com/itm/397726555413,https://i.ebayimg.com/images/g/cNYAAeSw4h1puXZS/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$7.50,"Sold Mar 18, 2026",N,,,Y,N,$0.74,rkb_sports_cards,New,https://www.ebay.com/itm/198183652128,https://i.ebayimg.com/images/g/GbwAAeSwsV9ptGAJ/s-l500.webp
DEREK JETER 1993 PINNACLE #457 RC ROOKIE *NEW YORK YANKEES*,$14.99,"Sold Feb 8, 2026",N,,,N,Y,$5.00,rookiesonly99,New,https://www.ebay.com/itm/134769866940,https://i.ebayimg.com/images/g/KwEAAOSwqgVlLZ9b/s-l500.webp
DEREK JETER 1993 PINNACLE #457 ROOKIE RC PSA 9 MINT ✨,$55.00,"Sold Mar 16, 2026",Y,PSA,9,N,N,$7.95,theserenityshoppingdepot,New,https://www.ebay.com/itm/167651245333,https://i.ebayimg.com/images/g/mfoAAeSwECxoaIfR/s-l500.webp
1993 Pinnacle Derek Jeter #457 Rookie Card 1st Round Draft Pick Yankees HOF,$9.99,"Sold Mar 16, 2026",N,,,N,Y,$1.50,turn5756,New,https://www.ebay.com/itm/406770289164,https://i.ebayimg.com/images/g/2O8AAeSwk1pptvF1/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter (RC) MINT,$36.00,"Sold Mar 15, 2026",N,,,N,N,$5.07,kevinknowssportscards,New,https://www.ebay.com/itm/396165959282,https://i.ebayimg.com/images/g/IS0AAOSwNsVnnaEK/s-l500.webp
1993 Pinnacle - Derek Jeter 1st Round Draft Pick #457 HoF RC NM-MT,$11.00,"Sold Mar 15, 2026",N,,,Y,N,$1.32,brett_g_collectibles,New,https://www.ebay.com/itm/397690617383,https://i.ebayimg.com/images/g/OtQAAeSwsGZprfhV/s-l500.webp
New York Yankees 1993 Pinnacle Derek Jeter Rookie Card # 457 PSA 10,$800.00,"Sold Mar 14, 2026",Y,PSA,10,N,Y,$8.30,nlrmhl,New,https://www.ebay.com/itm/155130049753,https://i.ebayimg.com/images/g/BykAAOSwkbNjA8G9/s-l500.webp
DEREK JETER 1993 PINNACLE #457 ROOKIE RC PSA 9 MINT ✨,$55.00,"Sold Mar 14, 2026",Y,PSA,9,N,N,$7.95,theserenityshoppingdepot,New,https://www.ebay.com/itm/167651245349,https://i.ebayimg.com/images/g/Z-0AAeSwJHJocaBj/s-l500.webp
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees BGS 9.5,$430.00,"Sold Mar 14, 2026",Y,BGS,9.5,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127729157553,https://i.ebayimg.com/images/g/~zwAAeSwW5Rprtks/s-l500.webp
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,$10.50,"Sold Mar 14, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127729431306,https://i.ebayimg.com/images/g/cuEAAeSw-olprvSl/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC) & 1996 Gold Leaf Rookie,$9.50,"Sold Mar 14, 2026",N,,,Y,N,$1.32,stlouiecat,New,https://www.ebay.com/itm/227245221668,https://i.ebayimg.com/images/g/xEEAAeSwk1ppqzLJ/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 PSA 8 Rookie RC HOF,$24.50,"Sold Mar 14, 2026",Y,PSA,8,Y,N,$4.99,comc_consignment,New,https://www.ebay.com/itm/336465561070,https://i.ebayimg.com/images/g/wQoAAeSwMQhpqhCw/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) Plus Bonus Gift 🎁!,$72.12,"Sold Mar 14, 2026",N,,,N,Y,$0.00,lexajoncardsllc,New,https://www.ebay.com/itm/397706676114,https://i.ebayimg.com/images/g/-2MAAeSwFENpryln/s-l500.webp
Derek Jeter 1993 Pinnacle Rookie 1st Round Draft Pick #457 RC EX NY Yankees HOF,$13.99,"Sold Mar 14, 2026",N,,,N,Y,$0.00,the_slab_lab_chicago,New,https://www.ebay.com/itm/168141299979,https://i.ebayimg.com/images/g/oXcAAeSwGwNphqRs/s-l500.webp
Derek Jeter RC 1993 Pinnacle #457 1st Round Draft Pick NY Yankees HOF,$12.00,"Sold Mar 13, 2026",N,,,N,Y,$1.32,canteau2338,New,https://www.ebay.com/itm/267337330024,https://i.ebayimg.com/images/g/vR4AAeSwOWtofuV7/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$18.00,"Sold Mar 13, 2026",N,,,Y,N,$1.32,leftovercards,New,https://www.ebay.com/itm/227245185940,https://i.ebayimg.com/images/g/T-YAAeSwd0Bpqy53/s-l500.webp
1993 Score- Pinnacle: 1st Round Draft Pick Derek Jeter Card #457,$14.99,"Sold Mar 12, 2026",N,,,N,N,$0.00,ramirezfan99,New,https://www.ebay.com/itm/257157423433,https://i.ebayimg.com/images/g/tKoAAeSwXVho7xBE/s-l500.webp
1993 Pinnacle Derek Jeter #457 New York Yankees Rookie,$9.99,"Sold Mar 12, 2026",N,,,N,N,$1.00,unbreakable.cardz,New,https://www.ebay.com/itm/358310633251,https://i.ebayimg.com/images/g/gMAAAeSwfyppsGjj/s-l500.webp
Pinnacle 1993 Derek Jeter #457 1st Round Draft Pick New York Yankees Card,$10.50,"Sold Mar 11, 2026",N,,,Y,N,$1.32,covar381,New,https://www.ebay.com/itm/298090472153,https://i.ebayimg.com/images/g/fQoAAeSwAvJpqRjz/s-l500.webp
1993 Pinnacle #457 Derek Jeter RC ROOKIE Yankees,$14.38,"Sold Mar 11, 2026",N,,,Y,N,$5.75,hoodyscollectibles,New,https://www.ebay.com/itm/147185848191,https://i.ebayimg.com/images/g/mssAAeSwCzBpqPN0/s-l500.webp
1993 Pinnacle Derek Jeter PSA 9 #457,$49.00,"Sold Mar 11, 2026",Y,PSA,9,Y,N,$5.20,je_590578,New,https://www.ebay.com/itm/206111357406,https://i.ebayimg.com/images/g/fXAAAeSw4h1pqL2b/s-l500.webp
1993 Pinnacle Derek Jeter RC HOF PSA 8 #457 Yankees,$20.50,"Sold Mar 11, 2026",Y,PSA,8,Y,N,$6.00,fsu1025,New,https://www.ebay.com/itm/117069949805,https://i.ebayimg.com/images/g/A-AAAeSwDq5pqGAj/s-l500.webp
1993 Pinnacle #457 Derek Jeter Rookie Card BGS BCCG 9 Near Mint+,$50.00,"Sold Mar 5, 2026",Y,BGS,9,N,N,$0.00,alotofrookies,New,https://www.ebay.com/itm/267593083989,https://i.ebayimg.com/images/g/gBAAAeSwmrdppxMs/s-l500.webp
"DEREK JETER BASEBALL CARDS YOU PICK YOUR CARD, ASST. YEARS & COMPANIES (item#G8)",$0.99,"Sold Mar 10, 2026",N,,,N,N,$1.00,fireonmtn59,New,https://www.ebay.com/itm/126579957992,https://i.ebayimg.com/images/g/nCEAAOSwv1FmluiK/s-l500.webp
1993 Pinnacle Derek Jeter RC #457 PSA 10 GEM MINT HOF 💎,$650.00,"Sold Aug 16, 2025",Y,PSA,10,N,N,$0.00,kcfutures9,Brand New,https://www.ebay.com/itm/167639869838,https://i.ebayimg.com/images/g/eIYAAeSwPtdocDqv/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$9.45,"Sold Mar 10, 2026",N,,,N,N,$1.32,tc_classic_cardboard,New,https://www.ebay.com/itm/366185926181,https://i.ebayimg.com/images/g/YOgAAeSw779piMpY/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$10.07,"Sold Mar 10, 2026",N,,,N,N,$1.32,mic-473271,New,https://www.ebay.com/itm/366249427673,https://i.ebayimg.com/images/g/2fwAAeSw5BNpqjlB/s-l500.webp
