price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_lane,valuation_range,valuation_note
10.5,5.2,15.7,2026-03-22,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
68.0,5.07,73.07,2026-03-22,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.0,0.0,9.0,2026-03-22,bin,False,457,,,New York Yankees Derek Jeter #457 Pinnacle Baseball Near ...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.5,1.99,13.49,2026-03-22,bin,True,457,,,1993 Pinnacle Derek Jeter 1st Round Draft Pick #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
2.91,17.55,20.46,2026-03-22,auction,False,457,,,1993 SCORE PINNACLE BASEBALL 457 DEREK JETER NEW YORK YAN...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.32,11.31,2026-03-21,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
8.5,4.95,13.45,2026-03-20,auction,False,457,,,1993 Pinnacle: #457 Derek Jeter 1st Round DP RC EX-EXMINT,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
4.93,4.99,9.92,2026-03-19,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.0,5.07,15.07,2026-03-18,bin,False,457,,,Rookie Pinnacle 1993 #457 – Derek Jeter 1st Round Draft P...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
7.5,0.74,8.24,2026-03-18,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.99,5.0,19.99,2026-02-08,bin,True,457,,,DEREK JETER 1993 PINNACLE #457 RC ROOKIE *NEW YORK YANKEES*,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.5,11.49,2026-03-16,bin,True,457,,,1993 Pinnacle Derek Jeter #457 Rookie Card 1st Round Draf...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
36.0,5.07,41.07,2026-03-15,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick #457 Derek Jeter (RC...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
11.0,1.32,12.32,2026-03-15,auction,False,457,,,1993 Pinnacle - Derek Jeter 1st Round Draft Pick #457 HoF...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,4.99,15.49,2026-03-14,auction,False,457,,,1993 Pinnacle Derek Jeter Rookie RC #457 Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.5,1.32,10.82,2026-03-14,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC) ...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
72.12,0.0,72.12,2026-03-14,bin,True,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
13.99,0.0,13.99,2026-03-14,bin,True,457,,,Derek Jeter 1993 Pinnacle Rookie 1st Round Draft Pick #45...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
12.0,1.32,13.32,2026-03-13,bin,True,457,,,Derek Jeter RC 1993 Pinnacle #457 1st Round Draft Pick NY...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
18.0,1.32,19.32,2026-03-13,auction,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.99,0.0,14.99,2026-03-12,bin,False,457,,,1993 Score- Pinnacle: 1st Round Draft Pick Derek Jeter Ca...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.99,1.0,10.99,2026-03-12,bin,False,457,,,1993 Pinnacle Derek Jeter #457 New York Yankees Rookie,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.5,1.32,11.82,2026-03-11,auction,False,457,,,Pinnacle 1993 Derek Jeter #457 1st Round Draft Pick New Y...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
14.38,5.75,20.13,2026-03-11,auction,False,457,,,1993 Pinnacle #457 Derek Jeter RC ROOKIE Yankees,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
9.45,1.32,10.77,2026-03-10,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
10.07,1.32,11.39,2026-03-10,bin,False,457,,,1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
7.0,4.99,11.99,2026-03-10,auction,False,457,,,1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rooki...,eBay Raw,$12-$72-$72,eBay Raw | raw only | Model B - Star / High Liquidity | 200 comps
