title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
Frank Thomas cards (1991-1999) White Sox - You Choose,$0.99,"Sold Feb 28, 2026",N,,,N,N,$0.75,sjosing,New,https://www.ebay.com/itm/376575621761
FRANK THOMAS cards (1990 - 2024) *** U PICK *** (Buy 2 or more for 60% DISCOUNT),$1.00,"Sold Feb 2, 2026",N,,,N,N,$1.00,tfpf,New,https://www.ebay.com/itm/384458050145
1996 Zenith #22 Frank Thomas ~ Chicago White Sox,$0.99,"Sold Jan 16, 2026",N,,,N,Y,$0.74,kissimmeecards_n_toys,New,https://www.ebay.com/itm/317450636035
FRANK THOMAS 1996 PINNACLE ZENITH ARTISTS PROOF INSERT PARALLEL #133 RARE,$15.85,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589930955
FRANK THOMAS 1996 PINNACLE ZENITH ARTISTS PROOF INSERT PARALLEL #22 RARE,$16.50,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/116952883296
1996 Zenith Frank Thomas Artist’s Proof #22,$25.00,"Sold Dec 21, 2025",N,,,N,N,$5.50,sochbag,New,https://www.ebay.com/itm/236221376240
NEW LISTINGFrank Thomas 1996 Pinnacle Skylines #2,$400.00,"Sold Mar 19, 2026",N,,,N,Y,$5.29,vikeshawks2180,New,https://www.ebay.com/itm/227264695584
FRANK THOMAS 1996 PINNACLE ZENITH DIAMOND CLUB INSERT #8,$6.01,"Sold Jan 18, 2026",N,,,Y,N,$1.50,retro_sports_co,New,https://www.ebay.com/itm/116978540139
Frank Thomas-1996 Pinnacle Zenith Honor Roll #133 White Sox,$1.75,"Sold Feb 18, 2026",N,,,N,Y,$0.00,danpe2305,New,https://www.ebay.com/itm/286424969167
1996 Pinnacle Zenith Z-Team Sample #4 Frank Thomas,$1.99,"Sold Jan 14, 2026",N,,,N,N,$1.32,mosmemorabilia35,New,https://www.ebay.com/itm/146741515723
1996 Pinnacle Zenith Mozaics #3 Frank Thomas / Durham / Ventura,$1.00,"Sold Feb 2, 2026",N,,,N,Y,$1.32,josh_thecardmaster,New,https://www.ebay.com/itm/358097857308
1996 Pinnacle Zenith Frank Thomas #133 White Sox,$1.55,"Sold Mar 18, 2026",N,,,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127740055394
FRANK THOMAS 1995 ZENITH Z-TEAM INSERT #3 GRADABLE DUFEX TECHNOLOGY very nice,$32.13,"Sold Feb 25, 2026",N,,,Y,N,$5.07,tktopgun,New,https://www.ebay.com/itm/317895253312
1995 Pinnacle Zenith Z Team Frank Thomas Chicago White Sox HOF,$49.99,"Sold Feb 26, 2026",N,,,N,Y,$5.00,3pierce4,New,https://www.ebay.com/itm/188066381213
1996 Pinnacle Zenith Frank Thomas Z TEAM Acetate #4 & 5 Cards Read Description,$36.69,"Sold Jan 15, 2026",N,,,Y,N,$5.00,koro359,New,https://www.ebay.com/itm/358097648496
1996 Zenith #133 Frank Thomas,$1.99,"Sold Feb 8, 2026",N,,,N,Y,$0.00,dodoubledcollectibles,New,https://www.ebay.com/itm/326076847461
1996 Pinnacle Zenith Frank Thomas Z Team PROMO #4 White Sox HOF FREE SHIPPING,$2.99,"Sold Jan 1, 2026",N,,,N,Y,$0.00,ssien78,New,https://www.ebay.com/itm/116927975642
1996 Pinnacle - Starburst Frank Thomas #101,$1.25,"Sold Jan 12, 2026",N,,,Y,N,$1.25,cireward,New,https://www.ebay.com/itm/147075255062
FRANK THOMAS 1998 PINNACLE ZENITH Z-TEAM GOLD INSERT #1 RARE!!!,$23.25,"Sold Jan 21, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/116984003034
Frank Thomas 1996 Pinnacle Zenith Z-Team 4 Chicago White Sox,$12.00,"Sold Mar 4, 2026",N,,,N,Y,$1.99,tcb_sports_cards,New,https://www.ebay.com/itm/306752679547
FRANK THOMAS 1998 PINNACLE ZENITH Z-GOLD (NO SERIAL #) RARE #6,$51.01,"Sold Jan 21, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127624360416
FRANK THOMAS 1996 PINNACLE ZENITH MOZAICS DUFEX INSERT #3,$3.25,"Sold Jan 18, 2026",N,,,Y,N,$1.50,retro_sports_co,New,https://www.ebay.com/itm/116978541802
FRANK THOMAS 1996 PINNACLE SUMMIT ARTISTS PROOF INSERT PARALLEL #88 RARE,$9.99,"Sold Jan 12, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/116967635779
1996 Pinnacle Zenith - Diamond Club Frank Thomas #8 White Sox HOF Legend,$15.00,"Sold Feb 20, 2026",N,,,N,N,$1.32,gtigges13,New,https://www.ebay.com/itm/177813931963
