title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
Shop on eBay,$20.00,,,,Brand New,https://ebay.com/itm/123456,N,,,N,Y,20.0,,20.0,,bin,True,False,,,
FRANK THOMAS 1996 PINNACLE ZENITH ARTISTS PROOF INSERT PARALLEL #133 RARE,$15.85,$5.99,"Sold Jan 4, 2026",retro_sports_co,New,https://www.ebay.com/itm/127589930955,N,,,Y,N,15.85,5.99,21.84,2026-01-04,auction,False,False,,,133
Frank Thomas-1996 Pinnacle Zenith Honor Roll #133 White Sox,$1.75,$0.00,"Sold Feb 18, 2026",danpe2305,New,https://www.ebay.com/itm/286424969167,N,,,N,Y,1.75,0.0,1.75,2026-02-18,bin,True,False,,,133
1995 Pinnacle Zenith Z Team Frank Thomas Chicago White Sox HOF,$49.99,$5.00,"Sold Feb 26, 2026",3pierce4,New,https://www.ebay.com/itm/188066381213,N,,,N,Y,49.99,5.0,54.99,2026-02-26,bin,True,False,,,
1996 Zenith #133 Frank Thomas,$1.99,$0.00,"Sold Feb 8, 2026",dodoubledcollectibles,New,https://www.ebay.com/itm/326076847461,N,,,N,Y,1.99,0.0,1.99,2026-02-08,bin,True,False,,,133
Frank Thomas 1996 Pinnacle Zenith Z-Team 4 Chicago White Sox,$12.00,$1.99,"Sold Mar 4, 2026",tcb_sports_cards,New,https://www.ebay.com/itm/306752679547,N,,,N,Y,12.0,1.99,13.99,2026-03-04,bin,True,False,,4.0,
FRANK THOMAS 1996 PINNACLE SUMMIT ARTISTS PROOF INSERT PARALLEL #88 RARE,$9.99,$5.99,"Sold Jan 12, 2026",retro_sports_co,New,https://www.ebay.com/itm/116967635779,N,,,Y,N,9.99,5.99,15.98,2026-01-12,auction,False,False,,,88
1996 Pinnacle Zenith Mozaics #3 Frank Thomas / Durham / Ventura,$1.00,$1.32,"Sold Feb 2, 2026",josh_thecardmaster,New,https://www.ebay.com/itm/358097857308,N,,,N,Y,1.0,1.32,2.32,2026-02-02,bin,True,False,,3.0,
1996 Select Frank Thomas En Fuego Insert White Sox #2,$9.99,$5.52,"Sold Mar 21, 2026",prospects151,New,https://www.ebay.com/itm/127749463236,N,,,Y,N,9.99,5.52,15.51,2026-03-21,auction,False,False,,2.0,
1996 Zenith #22 Frank Thomas ~ Chicago White Sox,$0.99,$0.74,"Sold Jan 16, 2026",kissimmeecards_n_toys,New,https://www.ebay.com/itm/317450636035,N,,,N,Y,0.99,0.74,1.73,2026-01-16,bin,True,False,,,22
1996 Pinnacle Zenith - Diamond Club Frank Thomas #8 White Sox HOF Legend,$15.00,$1.32,"Sold Feb 20, 2026",gtigges13,New,https://www.ebay.com/itm/177813931963,N,,,N,N,15.0,1.32,16.32,2026-02-20,bin,False,False,,8.0,
FRANK THOMAS 1995 ZENITH Z-TEAM INSERT #3 GRADABLE DUFEX TECHNOLOGY very nice,$32.13,$5.07,"Sold Feb 25, 2026",tktopgun,New,https://www.ebay.com/itm/317895253312,N,,,Y,N,32.13,5.07,37.2,2026-02-25,auction,False,False,,3.0,
1996 Pinnacle Zenith Frank Thomas Z Team PROMO #4 White Sox HOF FREE SHIPPING,$2.99,$0.00,"Sold Jan 1, 2026",ssien78,New,https://www.ebay.com/itm/116927975642,N,,,N,Y,2.99,0.0,2.99,2026-01-01,bin,True,False,,4.0,
1998 Pinnacle Zenith Baseball Raising the Bar Frank Thomas Card #2 Hall of Famer,$9.99,$1.30,"Sold Mar 8, 2026",rog1935,New,https://www.ebay.com/itm/326953483695,N,,,N,N,9.99,1.3,11.29,2026-03-08,bin,False,False,,2.0,
FRANK THOMAS 1998 PINNACLE ZENITH Z-TEAM GOLD INSERT #1 RARE!!!,$23.25,$5.99,"Sold Jan 21, 2026",retro_sports_co,New,https://www.ebay.com/itm/116984003034,N,,,Y,N,23.25,5.99,29.24,2026-01-21,auction,False,False,,1.0,
Frank Thomas cards (1991-1999) White Sox - You Choose,$0.99,$0.75,"Sold Feb 28, 2026",sjosing,New,https://www.ebay.com/itm/376575621761,N,,,N,N,0.99,0.75,1.74,2026-02-28,bin,False,False,,,
1996 Pinnacle - Starburst Frank Thomas #101,$1.25,$1.25,"Sold Jan 12, 2026",cireward,New,https://www.ebay.com/itm/147075255062,N,,,Y,N,1.25,1.25,2.5,2026-01-12,auction,False,True,,,101
1996 Pinnacle Zenith Honor Roll Frank Thomas - Artist Proof - Card#: 133,$28.73,$0.00,"Sold Dec 21, 2025",fortunescardsplus,New,https://www.ebay.com/itm/396773233261,N,,,N,N,28.73,0.0,28.73,2025-12-21,bin,False,False,,,133
FRANK THOMAS Cards ***YOU PICK*** CHICAGO WHITE SOX,$1.00,$0.00,"Sold Mar 17, 2026",big_dans_cards,New,https://www.ebay.com/itm/127623208061,N,,,N,N,1.0,0.0,1.0,2026-03-17,bin,False,False,,,
